Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	2.059195166	2.101746826	2472.0	7168.7	Aerodramus_maximus-ML219358.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Aerodramus_maximus-ML219358.wav	1	a
2	Spectrogram 1	1	2.123022655	2.254223605	2051.7	6229.4	Aerodramus_maximus-ML219358.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Aerodramus_maximus-ML219358.wav	1	b
3	Spectrogram 1	1	2.268407491	2.287910335	1779.8	7069.8	Aerodramus_maximus-ML219358.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Aerodramus_maximus-ML219358.wav	1	c
4	Spectrogram 1	1	2.351737824	2.385424555	2422.5	6699.0	Aerodramus_maximus-ML219358.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Aerodramus_maximus-ML219358.wav	1	d
5	Spectrogram 1	1	2.555631192	2.839308921	2027.0	7292.3	Aerodramus_maximus-ML219358.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Aerodramus_maximus-ML219358.wav	1	e
6	Spectrogram 1	1	2.891087095	2.930092783	1507.9	4152.9	Aerodramus_maximus-ML219358.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Aerodramus_maximus-ML219358.wav	1	f
7	Spectrogram 1	1	3.060932147	3.108802764	2348.4	7069.8	Aerodramus_maximus-ML219358.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Aerodramus_maximus-ML219358.wav	2	a
8	Spectrogram 1	1	3.130078594	3.261279543	1680.9	6624.9	Aerodramus_maximus-ML219358.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Aerodramus_maximus-ML219358.wav	2	b
9	Spectrogram 1	1	3.326880018	3.371204663	1680.9	6995.7	Aerodramus_maximus-ML219358.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Aerodramus_maximus-ML219358.wav	2	d
10	Spectrogram 1	1	3.578571144	3.846292001	1730.4	7218.2	Aerodramus_maximus-ML219358.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Aerodramus_maximus-ML219358.wav	2	e
11	Spectrogram 1	1	3.968628022	4.085645085	2620.3	7218.2	Aerodramus_maximus-ML219358.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Aerodramus_maximus-ML219358.wav	2	f
12	Spectrogram 1	1	4.175379397	4.191336270	2570.9	6921.5	Aerodramus_maximus-ML219358.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Aerodramus_maximus-ML219358.wav	2	c
