Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	4.902866117	6.431995209	417.3	3360.2	Agelaius_tricolor-ML50919891.wav	E:\Escritorio\Cantos\Icteridae\Agelaius_tricolor-ML50919891.wav	1	a
2	Spectrogram 1	1	6.842908804	6.955404753	790.6	3360.2	Agelaius_tricolor-ML50919891.wav	E:\Escritorio\Cantos\Icteridae\Agelaius_tricolor-ML50919891.wav	1	b
3	Spectrogram 1	1	6.992903402	7.020402412	658.9	1910.7	Agelaius_tricolor-ML50919891.wav	E:\Escritorio\Cantos\Icteridae\Agelaius_tricolor-ML50919891.wav	1	c
4	Spectrogram 1	1	7.037901782	7.100399531	614.9	3206.5	Agelaius_tricolor-ML50919891.wav	E:\Escritorio\Cantos\Icteridae\Agelaius_tricolor-ML50919891.wav	1	d
5	Spectrogram 1	1	8.367681899	9.827629321	583.2	3138.1	Agelaius_tricolor-ML50919891.wav	E:\Escritorio\Cantos\Icteridae\Agelaius_tricolor-ML50919891.wav	1	e
6	Spectrogram 1	1	16.459770818	18.224707256	638.7	3277.0	Agelaius_tricolor-ML50919891.wav	E:\Escritorio\Cantos\Icteridae\Agelaius_tricolor-ML50919891.wav	2	a
7	Spectrogram 1	1	18.547620226	18.678430269	694.3	3554.7	Agelaius_tricolor-ML50919891.wav	E:\Escritorio\Cantos\Icteridae\Agelaius_tricolor-ML50919891.wav	2	b
8	Spectrogram 1	1	18.699642709	18.749138401	694.3	2305.0	Agelaius_tricolor-ML50919891.wav	E:\Escritorio\Cantos\Icteridae\Agelaius_tricolor-ML50919891.wav	2	c
9	Spectrogram 1	1	18.759744621	18.826917346	694.3	3526.9	Agelaius_tricolor-ML50919891.wav	E:\Escritorio\Cantos\Icteridae\Agelaius_tricolor-ML50919891.wav	2	d
10	Spectrogram 1	1	19.643596266	19.760264683	722.0	3554.7	Agelaius_tricolor-ML50919891.wav	E:\Escritorio\Cantos\Icteridae\Agelaius_tricolor-ML50919891.wav	2	b
11	Spectrogram 1	1	19.777941716	19.820366595	722.0	2082.8	Agelaius_tricolor-ML50919891.wav	E:\Escritorio\Cantos\Icteridae\Agelaius_tricolor-ML50919891.wav	2	c
12	Spectrogram 1	1	19.834508222	19.915822573	694.3	3554.7	Agelaius_tricolor-ML50919891.wav	E:\Escritorio\Cantos\Icteridae\Agelaius_tricolor-ML50919891.wav	2	d
13	Spectrogram 1	1	22.518941349	23.971993454	666.5	3277.0	Agelaius_tricolor-ML50919891.wav	E:\Escritorio\Cantos\Icteridae\Agelaius_tricolor-ML50919891.wav	3	a
