Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	8.482916089	8.550413659	4414.4	5007.4	Alcippe_davidi-ML146127.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_davidi-ML146127.wav	1	a
2	Spectrogram 1	1	8.575412758	8.640410418	3579.8	4809.7	Alcippe_davidi-ML146127.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_davidi-ML146127.wav	1	b
3	Spectrogram 1	1	8.655409877	8.777905466	4326.5	4831.7	Alcippe_davidi-ML146127.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_davidi-ML146127.wav	1	c
4	Spectrogram 1	1	8.832903485	8.967898623	3667.7	4546.2	Alcippe_davidi-ML146127.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_davidi-ML146127.wav	1	d
5	Spectrogram 1	1	8.997897543	9.097893942	4743.8	5380.7	Alcippe_davidi-ML146127.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_davidi-ML146127.wav	1	e
6	Spectrogram 1	1	9.160391691	9.292886919	3250.4	4282.6	Alcippe_davidi-ML146127.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_davidi-ML146127.wav	1	f
7	Spectrogram 1	1	9.305386469	9.405382868	4634.0	5227.0	Alcippe_davidi-ML146127.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_davidi-ML146127.wav	1	g
8	Spectrogram 1	1	9.410382688	9.555377466	2415.8	3667.7	Alcippe_davidi-ML146127.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_davidi-ML146127.wav	1	h
9	Spectrogram 1	1	14.960046726	15.030044205	4370.5	5029.3	Alcippe_davidi-ML146127.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_davidi-ML146127.wav	2	a
10	Spectrogram 1	1	15.065042945	15.115041144	3535.9	4194.8	Alcippe_davidi-ML146127.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_davidi-ML146127.wav	2	b
11	Spectrogram 1	1	15.137540334	15.242536553	4238.7	5095.2	Alcippe_davidi-ML146127.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_davidi-ML146127.wav	2	c
12	Spectrogram 1	1	15.315033942	15.450029080	3579.8	4677.9	Alcippe_davidi-ML146127.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_davidi-ML146127.wav	2	d
13	Spectrogram 1	1	15.477528090	15.572524668	4809.7	5314.8	Alcippe_davidi-ML146127.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_davidi-ML146127.wav	2	e
14	Spectrogram 1	1	15.632522508	15.770017556	3140.6	4326.5	Alcippe_davidi-ML146127.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_davidi-ML146127.wav	2	f
15	Spectrogram 1	1	15.795016656	15.852514585	4414.4	5468.6	Alcippe_davidi-ML146127.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_davidi-ML146127.wav	2	g
16	Spectrogram 1	1	15.890013234	16.062507022	2503.7	3931.2	Alcippe_davidi-ML146127.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_davidi-ML146127.wav	2	h
17	Spectrogram 1	1	21.946864280	22.026861399	4392.4	5095.2	Alcippe_davidi-ML146127.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_davidi-ML146127.wav	3	a
18	Spectrogram 1	1	22.059360229	22.124357888	3623.8	4370.5	Alcippe_davidi-ML146127.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_davidi-ML146127.wav	3	b
19	Spectrogram 1	1	22.140607303	22.251853296	4260.7	5241.9	Alcippe_davidi-ML146127.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_davidi-ML146127.wav	3	c
20	Spectrogram 1	1	22.309351226	22.449346184	3601.8	4634.0	Alcippe_davidi-ML146127.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_davidi-ML146127.wav	3	d
21	Spectrogram 1	1	22.476845194	22.604340602	4787.7	5336.8	Alcippe_davidi-ML146127.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_davidi-ML146127.wav	3	e
22	Spectrogram 1	1	22.639339341	22.771834570	3206.5	4326.5	Alcippe_davidi-ML146127.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_davidi-ML146127.wav	3	f
23	Spectrogram 1	1	22.794333760	22.861831329	4370.5	5534.5	Alcippe_davidi-ML146127.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_davidi-ML146127.wav	3	g
24	Spectrogram 1	1	22.881830608	23.064324036	2525.6	3799.5	Alcippe_davidi-ML146127.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_davidi-ML146127.wav	3	h
