Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	1.538921878	1.718915395	3703.4	4512.2	Alcippe_morrisonia-ML172384511.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_morrisonia-ML172384511.wav	1	a
2	Spectrogram 1	1	1.801412424	1.913908373	3384.1	4076.7	Alcippe_morrisonia-ML172384511.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_morrisonia-ML172384511.wav	1	b
3	Spectrogram 1	1	1.936407563	2.128900630	2298.6	3171.3	Alcippe_morrisonia-ML172384511.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_morrisonia-ML172384511.wav	1	c
4	Spectrogram 1	1	2.173899010	2.311394058	3717.7	4692.0	Alcippe_morrisonia-ML172384511.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_morrisonia-ML172384511.wav	1	d
5	Spectrogram 1	1	2.348892707	2.718879383	1384.5	3974.1	Alcippe_morrisonia-ML172384511.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_morrisonia-ML172384511.wav	1	e
6	Spectrogram 1	1	2.796376592	3.111365248	1230.7	3922.8	Alcippe_morrisonia-ML172384511.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_morrisonia-ML172384511.wav	1	f
7	Spectrogram 1	1	64.160669834	64.353162902	3703.4	4512.2	Alcippe_morrisonia-ML172384511.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_morrisonia-ML172384511.wav	2	a
8	Spectrogram 1	1	64.418160561	64.525656689	3341.6	3894.9	Alcippe_morrisonia-ML172384511.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_morrisonia-ML172384511.wav	2	b
9	Spectrogram 1	1	64.558155519	64.743148857	2085.8	3192.6	Alcippe_morrisonia-ML172384511.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_morrisonia-ML172384511.wav	2	c
10	Spectrogram 1	1	64.793147056	64.938141834	3703.4	4852.7	Alcippe_morrisonia-ML172384511.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_morrisonia-ML172384511.wav	2	d
11	Spectrogram 1	1	64.975640484	65.335627519	1404.7	3937.5	Alcippe_morrisonia-ML172384511.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_morrisonia-ML172384511.wav	2	e
12	Spectrogram 1	1	65.415624638	65.733113204	1213.2	3873.6	Alcippe_morrisonia-ML172384511.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_morrisonia-ML172384511.wav	2	f
13	Spectrogram 1	1	74.327437721	74.504931329	3703.4	4299.3	Alcippe_morrisonia-ML172384511.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_morrisonia-ML172384511.wav	3	a
14	Spectrogram 1	1	74.582428538	74.684924846	3341.6	3873.6	Alcippe_morrisonia-ML172384511.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_morrisonia-ML172384511.wav	3	b
15	Spectrogram 1	1	74.707424036	74.894917284	2043.2	3171.3	Alcippe_morrisonia-ML172384511.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_morrisonia-ML172384511.wav	3	c
16	Spectrogram 1	1	74.939915663	75.079910621	3745.9	4597.3	Alcippe_morrisonia-ML172384511.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_morrisonia-ML172384511.wav	3	d
17	Spectrogram 1	1	75.117409271	75.472396486	1404.7	3873.6	Alcippe_morrisonia-ML172384511.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_morrisonia-ML172384511.wav	3	e
18	Spectrogram 1	1	75.539894055	75.857382621	1298.3	3894.9	Alcippe_morrisonia-ML172384511.wav	E:\Escritorio\Cantos\Leiothrichidae\Alcippe_morrisonia-ML172384511.wav	3	f
