Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	70.930493959	70.981691429	864.2	3535.3	Amphispiza_bilineata-ML265248021.wav	D:\Andean\Passerellidae\Amphispiza_bilineata-ML265248021.wav	1	a
2	Spectrogram 1	1	70.989949085	71.036191961	838.0	3404.4	Amphispiza_bilineata-ML265248021.wav	D:\Andean\Passerellidae\Amphispiza_bilineata-ML265248021.wav	1	a
3	Spectrogram 1	1	71.050079279	71.092563592	785.6	3535.3	Amphispiza_bilineata-ML265248021.wav	D:\Andean\Passerellidae\Amphispiza_bilineata-ML265248021.wav	1	a
4	Spectrogram 1	1	71.117667958	71.127323484	864.2	2618.8	Amphispiza_bilineata-ML265248021.wav	D:\Andean\Passerellidae\Amphispiza_bilineata-ML265248021.wav	1	b
5	Spectrogram 1	1	71.127026181	71.321906871	2435.5	6835.0	Amphispiza_bilineata-ML265248021.wav	D:\Andean\Passerellidae\Amphispiza_bilineata-ML265248021.wav	1	c
6	Spectrogram 1	1	71.349982902	71.391271184	4216.2	5735.1	Amphispiza_bilineata-ML265248021.wav	D:\Andean\Passerellidae\Amphispiza_bilineata-ML265248021.wav	1	d
7	Spectrogram 1	1	71.396225778	71.478802341	5708.9	6887.4	Amphispiza_bilineata-ML265248021.wav	D:\Andean\Passerellidae\Amphispiza_bilineata-ML265248021.wav	1	e
8	Spectrogram 1	1	71.500272248	71.546515123	4216.2	5630.3	Amphispiza_bilineata-ML265248021.wav	D:\Andean\Passerellidae\Amphispiza_bilineata-ML265248021.wav	1	d
9	Spectrogram 1	1	71.544863592	71.624137093	5630.3	6887.4	Amphispiza_bilineata-ML265248021.wav	D:\Andean\Passerellidae\Amphispiza_bilineata-ML265248021.wav	1	e
10	Spectrogram 1	1	71.658819250	71.700107532	4137.6	5682.7	Amphispiza_bilineata-ML265248021.wav	D:\Andean\Passerellidae\Amphispiza_bilineata-ML265248021.wav	1	d
11	Spectrogram 1	1	71.703410594	71.787638689	5630.3	6835.0	Amphispiza_bilineata-ML265248021.wav	D:\Andean\Passerellidae\Amphispiza_bilineata-ML265248021.wav	1	e
12	Spectrogram 1	1	71.805805655	71.847093937	2356.9	5001.8	Amphispiza_bilineata-ML265248021.wav	D:\Andean\Passerellidae\Amphispiza_bilineata-ML265248021.wav	1	f
13	Spectrogram 1	1	71.863609249	71.901594469	2252.1	5028.0	Amphispiza_bilineata-ML265248021.wav	D:\Andean\Passerellidae\Amphispiza_bilineata-ML265248021.wav	1	f
