Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	1.428126500	1.481973135	423.0	2481.3	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
2	Spectrogram 1	1	1.495434794	1.538811250	394.8	2594.1	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
3	Spectrogram 1	1	1.541802730	1.591162145	394.8	2565.9	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
4	Spectrogram 1	1	1.595649365	1.640521560	535.7	2453.1	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
5	Spectrogram 1	1	1.643513040	1.695863935	479.3	2424.9	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
6	Spectrogram 1	1	1.700351155	1.745223350	394.8	2509.5	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
7	Spectrogram 1	1	1.745223350	1.791591286	423.0	2396.7	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
8	Spectrogram 1	1	1.797574246	1.843942181	451.2	2481.3	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
9	Spectrogram 1	1	1.851420880	1.905267515	507.5	2537.7	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
10	Spectrogram 1	1	1.914241955	1.965097110	423.0	2622.3	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
11	Spectrogram 1	1	1.966592850	2.041379842	563.9	2565.9	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
12	Spectrogram 1	1	2.048858542	2.095226477	310.2	2537.7	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
13	Spectrogram 1	1	2.117662575	2.174500690	310.2	2424.9	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
14	Spectrogram 1	1	2.177492170	2.226851585	507.5	2340.3	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
15	Spectrogram 1	1	2.234330284	2.285185439	479.3	2340.3	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
16	Spectrogram 1	1	2.291168399	2.342023554	451.2	2453.1	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
17	Spectrogram 1	1	2.349502253	2.403348888	563.9	2453.1	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
18	Spectrogram 1	1	2.440742385	2.499076239	394.8	2340.3	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
19	Spectrogram 1	1	2.509546418	2.557410094	394.8	2424.9	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
20	Spectrogram 1	1	2.567880273	2.620231168	423.0	2453.1	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
21	Spectrogram 1	1	2.623222647	2.674077803	394.8	2396.7	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
22	Spectrogram 1	1	2.689035201	2.742881836	366.6	2340.3	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
23	Spectrogram 1	1	2.751856348	2.798224283	338.4	2396.7	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
24	Spectrogram 1	1	2.807198722	2.841600739	310.2	2424.9	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
25	Spectrogram 1	1	2.847583699	2.883481455	479.3	2565.9	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
26	Spectrogram 1	1	2.889464415	2.926857911	451.2	2565.9	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
27	Spectrogram 1	1	2.943311049	2.985191766	507.5	2565.9	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
28	Spectrogram 1	1	2.988183245	3.033055441	423.0	2650.5	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
29	Spectrogram 1	1	3.037542661	3.085406336	423.0	2763.3	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
30	Spectrogram 1	1	3.092885035	3.139252971	423.0	2791.5	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
31	Spectrogram 1	1	3.143740191	3.188612386	310.2	2791.5	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
32	Spectrogram 1	1	3.194595346	3.237971802	394.8	2735.1	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
33	Spectrogram 1	1	3.240963281	3.282843997	366.6	2735.1	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
34	Spectrogram 1	1	3.293314176	3.336690632	479.3	2706.9	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
35	Spectrogram 1	1	3.338186372	3.378571348	394.8	2763.3	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
36	Spectrogram 1	1	3.386050048	3.421947804	423.0	2847.9	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
37	Spectrogram 1	1	3.429426504	3.459341301	479.3	2932.5	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
38	Spectrogram 1	1	3.465324260	3.496734797	423.0	2876.1	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	1	a
39	Spectrogram 1	1	14.331202713	14.365604729	338.4	2002.0	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	2	a
40	Spectrogram 1	1	14.388040827	14.429921543	394.8	2847.9	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	2	a
41	Spectrogram 1	1	14.443383202	14.486759658	310.2	2960.7	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	2	a
42	Spectrogram 1	1	14.500221317	14.540606293	394.8	3073.5	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	2	a
43	Spectrogram 1	1	14.552572212	14.600435887	366.6	3158.1	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	2	a
44	Spectrogram 1	1	14.610906066	14.639325123	310.2	3242.6	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	2	a
45	Spectrogram 1	1	14.643812343	14.685693059	366.6	3383.6	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	2	a
46	Spectrogram 1	1	14.693171758	14.741035434	394.8	3440.0	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	2	a
47	Spectrogram 1	1	14.747018393	14.793386329	479.3	3524.6	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	2	a
48	Spectrogram 1	1	14.802360768	14.845737224	451.2	3609.2	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	2	a
49	Spectrogram 1	1	14.853215923	14.895096639	535.7	3693.8	Anthropoides_paradiseus-ML214445551.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Anthropoides_paradiseus-ML214445551.wav	2	a
