Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	8.734326777	8.802059697	3064.0	7384.9	Anthus_lineiventris-ML212070311.wav	E:\Andean\Motacillidae\Anthus_lineiventris-ML212070311.wav	1	a
2	Spectrogram 1	1	8.911833739	9.007594074	3168.7	7489.7	Anthus_lineiventris-ML212070311.wav	E:\Andean\Motacillidae\Anthus_lineiventris-ML212070311.wav	1	a
3	Spectrogram 1	1	9.096347555	9.185101036	3221.1	7411.1	Anthus_lineiventris-ML212070311.wav	E:\Andean\Motacillidae\Anthus_lineiventris-ML212070311.wav	1	a
4	Spectrogram 1	1	9.280861371	9.369614852	3037.8	7463.5	Anthus_lineiventris-ML212070311.wav	E:\Andean\Motacillidae\Anthus_lineiventris-ML212070311.wav	1	a
5	Spectrogram 1	1	9.451361479	9.537779342	3037.8	7568.2	Anthus_lineiventris-ML212070311.wav	E:\Andean\Motacillidae\Anthus_lineiventris-ML212070311.wav	1	a
6	Spectrogram 1	1	9.638210913	9.724628776	3037.8	7725.4	Anthus_lineiventris-ML212070311.wav	E:\Andean\Motacillidae\Anthus_lineiventris-ML212070311.wav	1	a
7	Spectrogram 1	1	9.818053493	10.035265959	2121.2	8720.5	Anthus_lineiventris-ML212070311.wav	E:\Andean\Motacillidae\Anthus_lineiventris-ML212070311.wav	1	b
8	Spectrogram 1	1	10.191752360	10.236129101	1649.8	8118.2	Anthus_lineiventris-ML212070311.wav	E:\Andean\Motacillidae\Anthus_lineiventris-ML212070311.wav	1	c
9	Spectrogram 1	1	10.322546964	10.481368982	2173.6	4478.1	Anthus_lineiventris-ML212070311.wav	E:\Andean\Motacillidae\Anthus_lineiventris-ML212070311.wav	1	d
10	Spectrogram 1	1	32.577248913	32.644981833	3202.5	6693.7	Anthus_lineiventris-ML212070311.wav	E:\Andean\Motacillidae\Anthus_lineiventris-ML212070311.wav	2	a
11	Spectrogram 1	1	33.107434182	33.182173955	3150.0	6720.0	Anthus_lineiventris-ML212070311.wav	E:\Andean\Motacillidae\Anthus_lineiventris-ML212070311.wav	2	a
12	Spectrogram 1	1	33.298954851	33.378365861	2992.5	7350.0	Anthus_lineiventris-ML212070311.wav	E:\Andean\Motacillidae\Anthus_lineiventris-ML212070311.wav	2	a
13	Spectrogram 1	1	33.490475521	33.574557766	3018.7	7376.2	Anthus_lineiventris-ML212070311.wav	E:\Andean\Motacillidae\Anthus_lineiventris-ML212070311.wav	2	a
14	Spectrogram 1	1	33.672653719	33.766078436	3255.0	7612.5	Anthus_lineiventris-ML212070311.wav	E:\Andean\Motacillidae\Anthus_lineiventris-ML212070311.wav	2	a
15	Spectrogram 1	1	33.859503153	33.948256634	3045.0	7743.7	Anthus_lineiventris-ML212070311.wav	E:\Andean\Motacillidae\Anthus_lineiventris-ML212070311.wav	2	a
16	Spectrogram 1	1	34.062701912	34.261229435	2231.2	8820.0	Anthus_lineiventris-ML212070311.wav	E:\Andean\Motacillidae\Anthus_lineiventris-ML212070311.wav	2	b
17	Spectrogram 1	1	34.382681567	34.434065161	1470.0	8295.0	Anthus_lineiventris-ML212070311.wav	E:\Andean\Motacillidae\Anthus_lineiventris-ML212070311.wav	2	c
18	Spectrogram 1	1	34.518147406	34.674633807	2152.5	4567.5	Anthus_lineiventris-ML212070311.wav	E:\Andean\Motacillidae\Anthus_lineiventris-ML212070311.wav	2	d
19	Spectrogram 1	1	34.803092586	34.847469327	1443.7	8032.5	Anthus_lineiventris-ML212070311.wav	E:\Andean\Motacillidae\Anthus_lineiventris-ML212070311.wav	2	c
20	Spectrogram 1	1	34.924544718	35.106722916	1995.0	4567.5	Anthus_lineiventris-ML212070311.wav	E:\Andean\Motacillidae\Anthus_lineiventris-ML212070311.wav	2	d
21	Spectrogram 1	1	35.169784600	35.263209317	3911.2	6037.5	Anthus_lineiventris-ML212070311.wav	E:\Andean\Motacillidae\Anthus_lineiventris-ML212070311.wav	2	e
22	Spectrogram 1	1	51.291071418	51.363475573	2940.0	6273.7	Anthus_lineiventris-ML212070311.wav	E:\Andean\Motacillidae\Anthus_lineiventris-ML212070311.wav	3	a
23	Spectrogram 1	1	51.539814407	51.616889798	3228.7	6982.5	Anthus_lineiventris-ML212070311.wav	E:\Andean\Motacillidae\Anthus_lineiventris-ML212070311.wav	3	a
24	Spectrogram 1	1	51.736006312	51.815417322	3202.5	7350.0	Anthus_lineiventris-ML212070311.wav	E:\Andean\Motacillidae\Anthus_lineiventris-ML212070311.wav	3	a
25	Spectrogram 1	1	51.922855746	52.016280463	3097.5	7533.7	Anthus_lineiventris-ML212070311.wav	E:\Andean\Motacillidae\Anthus_lineiventris-ML212070311.wav	3	a
26	Spectrogram 1	1	52.133061359	52.210136751	3202.5	7533.7	Anthus_lineiventris-ML212070311.wav	E:\Andean\Motacillidae\Anthus_lineiventris-ML212070311.wav	3	a
27	Spectrogram 1	1	52.326917647	52.527780788	2205.0	8767.5	Anthus_lineiventris-ML212070311.wav	E:\Andean\Motacillidae\Anthus_lineiventris-ML212070311.wav	3	b
28	Spectrogram 1	1	52.691274042	52.737986401	2152.5	8426.2	Anthus_lineiventris-ML212070311.wav	E:\Andean\Motacillidae\Anthus_lineiventris-ML212070311.wav	3	c
29	Spectrogram 1	1	52.822068646	52.969212575	2231.2	4541.2	Anthus_lineiventris-ML212070311.wav	E:\Andean\Motacillidae\Anthus_lineiventris-ML212070311.wav	3	d
