Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	42.439335124	42.472365749	4556.7	6416.0	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	1	a
2	Spectrogram 1	1	43.301434447	43.341071198	4478.1	6416.0	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	1	a
3	Spectrogram 1	1	43.496315137	43.552467200	4006.7	6337.4	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	1	a
4	Spectrogram 1	1	43.684589702	43.734135640	4085.3	6363.6	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	1	a
5	Spectrogram 1	1	43.833227517	43.895985705	3954.3	6363.6	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	1	a
6	Spectrogram 1	1	44.014895956	44.074351082	3980.5	6311.2	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	1	a
7	Spectrogram 1	1	44.196564396	44.256019522	3928.1	6363.6	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	1	a
8	Spectrogram 1	1	44.368323648	44.427778774	3954.3	6468.3	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	1	a
9	Spectrogram 1	1	44.533476775	44.589628839	4006.7	6442.2	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	1	a
10	Spectrogram 1	1	44.698629902	44.754781966	3980.5	6416.0	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	1	a
11	Spectrogram 1	1	44.853873842	46.330342798	1885.5	8668.1	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	1	b
12	Spectrogram 1	1	49.757182006	49.793515694	4294.8	6494.5	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	2	a
13	Spectrogram 1	1	50.447522077	50.483855765	4373.3	6782.6	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	2	a
14	Spectrogram 1	1	52.131389658	52.180935596	4321.0	6939.7	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	2	a
15	Spectrogram 1	1	52.534363288	52.583909226	3928.1	7096.9	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	2	a
16	Spectrogram 1	1	52.699516415	52.758971541	3928.1	6442.2	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	2	a
17	Spectrogram 1	1	52.871275667	52.927427730	3823.4	6468.3	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	2	a
18	Spectrogram 1	1	53.046337982	53.095883920	3797.2	6258.8	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	2	a
19	Spectrogram 1	1	53.211491109	53.270946234	3849.6	6442.2	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	2	a
20	Spectrogram 1	1	53.383250361	53.439402424	3980.5	6468.3	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	2	a
21	Spectrogram 1	1	53.538494300	53.601252489	3849.6	6468.3	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	2	a
22	Spectrogram 1	1	53.716859678	53.779617866	3875.8	6389.8	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	2	a
23	Spectrogram 1	1	53.891921992	53.961286306	3875.8	6416.0	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	2	a
24	Spectrogram 1	1	54.043862551	56.022397013	1806.9	8537.2	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	2	b
25	Spectrogram 1	1	59.763525098	59.813071036	4190.0	6704.0	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	3	a
26	Spectrogram 1	1	60.206135478	60.249075291	4137.6	6494.5	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	3	a
27	Spectrogram 1	1	60.424137606	60.476986607	3954.3	6520.7	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	3	a
28	Spectrogram 1	1	60.602502983	60.658655046	3902.0	6677.9	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	3	a
29	Spectrogram 1	1	60.770959173	60.837020424	3928.1	6573.1	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	3	a
30	Spectrogram 1	1	60.952627613	61.012082738	3902.0	6442.2	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	3	a
31	Spectrogram 1	1	61.117780740	61.177235865	3954.3	6416.0	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	3	a
32	Spectrogram 1	1	61.279630804	63.162376453	1571.3	8406.2	Anthus_peruvianus-ML10449.wav	E:\Andean\Motacillidae\Anthus_peruvianus-ML10449.wav	3	b
