Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	1.216607748	1.262866598	282.0	6316.1	Antigone_canadensis-ML240885071.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Antigone_canadensis-ML240885071.wav	1	a
2	Spectrogram 1	1	1.302186620	1.369261953	451.2	18722.8	Antigone_canadensis-ML240885071.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Antigone_canadensis-ML240885071.wav	1	a
3	Spectrogram 1	1	1.380826665	1.436337285	282.0	21091.3	Antigone_canadensis-ML240885071.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Antigone_canadensis-ML240885071.wav	1	a
5	Spectrogram 1	1	1.452527882	1.503412617	338.4	21373.3	Antigone_canadensis-ML240885071.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Antigone_canadensis-ML240885071.wav	1	a
6	Spectrogram 1	1	1.512664387	1.558923237	282.0	21147.7	Antigone_canadensis-ML240885071.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Antigone_canadensis-ML240885071.wav	1	a
7	Spectrogram 1	1	1.577426776	1.614433856	394.8	21204.1	Antigone_canadensis-ML240885071.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Antigone_canadensis-ML240885071.wav	1	a
8	Spectrogram 1	1	1.630624454	1.676883303	451.2	21147.7	Antigone_canadensis-ML240885071.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Antigone_canadensis-ML240885071.wav	1	a
9	Spectrogram 1	1	1.688448016	1.737019808	394.8	21260.5	Antigone_canadensis-ML240885071.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Antigone_canadensis-ML240885071.wav	1	a
10	Spectrogram 1	1	1.743958636	1.794843370	338.4	21373.3	Antigone_canadensis-ML240885071.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Antigone_canadensis-ML240885071.wav	1	a
11	Spectrogram 1	1	1.799469255	1.838789278	225.6	21373.3	Antigone_canadensis-ML240885071.wav	C:\Users\Carlos PC\Desktop\Marcelo\Gruidae\Antigone_canadensis-ML240885071.wav	1	a
