Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	4.204590461	4.227621815	2849.7	4578.2	Apalis_binotata-ML1271.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Apalis_binotata-ML1271.wav	1	a
2	Spectrogram 1	1	4.254196455	4.273684524	2849.7	4788.4	Apalis_binotata-ML1271.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Apalis_binotata-ML1271.wav	1	b
3	Spectrogram 1	1	4.333920374	4.362266656	3036.5	5022.0	Apalis_binotata-ML1271.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Apalis_binotata-ML1271.wav	1	c
4	Spectrogram 1	1	4.394156223	4.441990574	2476.0	5232.2	Apalis_binotata-ML1271.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Apalis_binotata-ML1271.wav	1	d
5	Spectrogram 1	1	4.459707001	4.488053283	1378.1	2826.3	Apalis_binotata-ML1271.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Apalis_binotata-ML1271.wav	1	e
6	Spectrogram 1	1	4.642186192	4.666989189	2803.0	4438.0	Apalis_binotata-ML1271.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Apalis_binotata-ML1271.wav	2	a
7	Spectrogram 1	1	4.693563829	4.718366826	2919.8	4741.7	Apalis_binotata-ML1271.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Apalis_binotata-ML1271.wav	2	b
8	Spectrogram 1	1	4.769744462	4.799862387	2919.8	4928.5	Apalis_binotata-ML1271.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Apalis_binotata-ML1271.wav	2	c
9	Spectrogram 1	1	4.824665384	4.883129591	2405.9	5278.9	Apalis_binotata-ML1271.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Apalis_binotata-ML1271.wav	2	d
10	Spectrogram 1	1	4.890216161	4.916790801	1658.4	3223.4	Apalis_binotata-ML1271.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Apalis_binotata-ML1271.wav	2	e
11	Spectrogram 1	1	4.918562444	4.950452011	3270.1	5465.8	Apalis_binotata-ML1271.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Apalis_binotata-ML1271.wav	2	f
12	Spectrogram 1	1	5.522964798	5.547767795	2849.7	4461.4	Apalis_binotata-ML1271.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Apalis_binotata-ML1271.wav	3	a
13	Spectrogram 1	1	5.574342434	5.599145431	2896.4	4951.9	Apalis_binotata-ML1271.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Apalis_binotata-ML1271.wav	3	b
14	Spectrogram 1	1	5.652294710	5.677097707	2709.5	5232.2	Apalis_binotata-ML1271.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Apalis_binotata-ML1271.wav	3	c
15	Spectrogram 1	1	5.710758917	5.763908196	2429.2	5769.4	Apalis_binotata-ML1271.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Apalis_binotata-ML1271.wav	3	d
16	Spectrogram 1	1	5.778081337	5.808199262	1635.1	3200.1	Apalis_binotata-ML1271.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Apalis_binotata-ML1271.wav	3	e
17	Spectrogram 1	1	5.820600761	5.854261971	2966.5	5676.0	Apalis_binotata-ML1271.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Apalis_binotata-ML1271.wav	3	f
