Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	3.899619296	4.163864299	378.8	640.1	Apaloderma_narina-ML33652651.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Apaloderma_narina-ML33652651.wav	1	a
2	Spectrogram 1	1	4.454533803	4.665929805	411.5	614.0	Apaloderma_narina-ML33652651.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Apaloderma_narina-ML33652651.wav	1	a
3	Spectrogram 1	1	4.956599309	5.220844312	365.8	600.9	Apaloderma_narina-ML33652651.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Apaloderma_narina-ML33652651.wav	1	a
4	Spectrogram 1	1	5.485089316	5.709697569	365.8	614.0	Apaloderma_narina-ML33652651.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Apaloderma_narina-ML33652651.wav	1	a
5	Spectrogram 1	1	6.026791573	6.238187575	365.8	600.9	Apaloderma_narina-ML33652651.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Apaloderma_narina-ML33652651.wav	1	a
6	Spectrogram 1	1	6.489220328	6.700616331	378.8	614.0	Apaloderma_narina-ML33652651.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Apaloderma_narina-ML33652651.wav	1	a
7	Spectrogram 1	1	7.044134835	7.255530838	404.9	600.9	Apaloderma_narina-ML33652651.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Apaloderma_narina-ML33652651.wav	1	a
8	Spectrogram 1	1	7.559412592	7.823657595	404.9	587.8	Apaloderma_narina-ML33652651.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Apaloderma_narina-ML33652651.wav	1	a
9	Spectrogram 1	1	8.114327099	8.338935352	404.9	600.9	Apaloderma_narina-ML33652651.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Apaloderma_narina-ML33652651.wav	1	a
10	Spectrogram 1	1	8.682453856	8.920274359	418.0	587.8	Apaloderma_narina-ML33652651.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Apaloderma_narina-ML33652651.wav	1	a
11	Spectrogram 1	1	9.250580613	9.448764366	378.8	679.3	Apaloderma_narina-ML33652651.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Apaloderma_narina-ML33652651.wav	1	b
12	Spectrogram 1	1	9.818707370	10.030103373	378.8	640.1	Apaloderma_narina-ML33652651.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Apaloderma_narina-ML33652651.wav	1	b
13	Spectrogram 1	1	10.347197377	10.558593380	378.8	679.3	Apaloderma_narina-ML33652651.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Apaloderma_narina-ML33652651.wav	1	b
14	Spectrogram 1	1	10.888899634	11.100295637	352.7	731.5	Apaloderma_narina-ML33652651.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Apaloderma_narina-ML33652651.wav	1	c
15	Spectrogram 1	1	11.443814141	11.641997893	365.8	783.8	Apaloderma_narina-ML33652651.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Apaloderma_narina-ML33652651.wav	1	c
16	Spectrogram 1	1	11.972304147	12.157275650	365.8	783.8	Apaloderma_narina-ML33652651.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Apaloderma_narina-ML33652651.wav	1	c
17	Spectrogram 1	1	12.540430905	12.725402407	365.8	718.5	Apaloderma_narina-ML33652651.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Apaloderma_narina-ML33652651.wav	1	c
18	Spectrogram 1	1	13.095345412	13.267104664	352.7	770.7	Apaloderma_narina-ML33652651.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Apaloderma_narina-ML33652651.wav	1	c
19	Spectrogram 1	1	13.597410918	13.808806921	352.7	757.6	Apaloderma_narina-ML33652651.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Apaloderma_narina-ML33652651.wav	1	c
20	Spectrogram 1	1	14.099476424	14.363721428	352.7	783.8	Apaloderma_narina-ML33652651.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Apaloderma_narina-ML33652651.wav	1	c
21	Spectrogram 1	1	14.694027682	14.918635935	339.6	770.7	Apaloderma_narina-ML33652651.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Apaloderma_narina-ML33652651.wav	1	c
22	Spectrogram 1	1	15.182880938	15.381064690	339.6	783.8	Apaloderma_narina-ML33652651.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Apaloderma_narina-ML33652651.wav	1	c
23	Spectrogram 1	1	15.737795445	15.975615948	378.8	823.0	Apaloderma_narina-ML33652651.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Apaloderma_narina-ML33652651.wav	1	d
24	Spectrogram 1	1	16.266285452	16.477681454	365.8	744.6	Apaloderma_narina-ML33652651.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Apaloderma_narina-ML33652651.wav	1	c
25	Spectrogram 1	1	16.821199959	16.992959211	352.7	823.0	Apaloderma_narina-ML33652651.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Apaloderma_narina-ML33652651.wav	1	d
26	Spectrogram 1	1	17.323265465	17.521449217	352.7	783.8	Apaloderma_narina-ML33652651.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Apaloderma_narina-ML33652651.wav	1	d
27	Spectrogram 1	1	17.838543221	18.023514724	313.5	770.7	Apaloderma_narina-ML33652651.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Apaloderma_narina-ML33652651.wav	1	c
29	Spectrogram 1	1	67.963842623	68.245033533	378.8	587.8	Apaloderma_narina-ML33652651.wav	C:\Users\pfmar\Downloads\Andean\Trogonidae\Apaloderma_narina-ML33652651.wav	2	e
