Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	23.663293335	23.680970368	2262.1	3184.5	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	a
2	Spectrogram 1	1	23.691576588	23.714556731	1822.9	3382.2	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
3	Spectrogram 1	1	23.728698357	23.749910796	1735.0	3535.9	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
4	Spectrogram 1	1	23.765018027	23.786267262	1757.0	3557.9	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
5	Spectrogram 1	1	23.798766812	23.822515956	1735.0	3777.5	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
6	Spectrogram 1	1	23.833765551	23.855014786	1735.0	3645.7	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
7	Spectrogram 1	1	23.865014426	23.890013525	1669.1	3623.8	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
8	Spectrogram 1	1	23.903763030	23.928762130	1669.1	3623.8	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
9	Spectrogram 1	1	23.937511815	23.957511095	1625.2	3513.9	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
10	Spectrogram 1	1	23.968760689	23.992509834	1735.0	3579.8	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
11	Spectrogram 1	1	24.005009384	24.030008484	1669.1	3601.8	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
12	Spectrogram 1	1	24.042508033	24.066257178	1713.0	3601.8	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
13	Spectrogram 1	1	24.078756728	24.100005963	1757.0	3601.8	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
14	Spectrogram 1	1	24.115576027	24.140575127	1647.2	3645.7	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
15	Spectrogram 1	1	24.150574766	24.174323911	1822.9	3645.7	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
16	Spectrogram 1	1	24.186823461	24.210572606	1716.2	3640.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
17	Spectrogram 1	1	24.224322111	24.250571165	1716.2	3692.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
18	Spectrogram 1	1	24.261820760	24.285569905	1664.2	3692.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
19	Spectrogram 1	1	24.296819500	24.320568644	1612.1	3692.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
20	Spectrogram 1	1	24.333068194	24.360567204	1690.2	3744.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
21	Spectrogram 1	1	24.373066754	24.395565943	1742.2	3744.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
22	Spectrogram 1	1	24.411815358	24.436814458	1690.2	3666.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
23	Spectrogram 1	1	24.446814098	24.471813197	1664.2	3692.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
24	Spectrogram 1	1	24.485395135	24.511644190	1690.2	3666.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
25	Spectrogram 1	1	24.522893785	24.546642930	1690.2	3692.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
26	Spectrogram 1	1	24.556642570	24.585391534	1690.2	3692.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
27	Spectrogram 1	1	24.596641129	24.622890184	1716.2	3744.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
28	Spectrogram 1	1	24.631639869	24.657888923	1690.2	3692.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
29	Spectrogram 1	1	24.670388473	24.699137438	1690.2	3692.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
30	Spectrogram 1	1	24.706637168	24.732886222	1638.1	3640.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
31	Spectrogram 1	1	24.742885862	24.769134917	1716.2	3640.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
32	Spectrogram 1	1	24.784134377	24.807883521	1664.2	3692.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
33	Spectrogram 1	1	24.817883161	24.846632126	1716.2	3640.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
34	Spectrogram 1	1	24.856631766	24.880380911	1716.2	3640.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
35	Spectrogram 1	1	24.891630505	24.919129515	1716.2	3666.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
36	Spectrogram 1	1	24.927879200	24.955378210	1664.2	3666.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
37	Spectrogram 1	1	24.964127894	24.989126994	1716.2	3692.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
38	Spectrogram 1	1	25.000376589	25.025375689	1638.1	3666.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
39	Spectrogram 1	1	25.039125194	25.064124293	1638.1	3640.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
40	Spectrogram 1	1	25.076623843	25.099123033	1638.1	3562.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
41	Spectrogram 1	1	25.111622583	25.139121592	1612.1	3588.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
42	Spectrogram 1	1	25.149121232	25.176620242	1534.1	3536.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
43	Spectrogram 1	1	25.190369747	25.214118891	1508.1	3484.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
44	Spectrogram 1	1	25.229118351	25.255367406	1508.1	3354.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	1	b
45	Spectrogram 1	1	35.828469277	35.845968647	2158.2	3380.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	2	a
46	Spectrogram 1	1	35.862218062	35.883467296	1794.2	3380.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	2	b
47	Spectrogram 1	1	35.895966846	35.920965946	1586.1	3380.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	2	b
48	Spectrogram 1	1	35.935965406	35.957214640	1612.1	3588.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	2	b
49	Spectrogram 1	1	35.967214280	35.990963425	1612.1	3666.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	2	b
50	Spectrogram 1	1	35.999713110	36.027212120	1560.1	3718.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	2	b
51	Spectrogram 1	1	36.035961804	36.063460814	1560.1	3744.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	2	b
52	Spectrogram 1	1	36.074710409	36.100959464	1560.1	3744.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	2	b
53	Spectrogram 1	1	36.109709397	36.137208407	1586.1	3770.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	2	b
54	Spectrogram 1	1	36.144708137	36.170957192	1612.1	3796.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	2	b
55	Spectrogram 1	1	36.178456921	36.204705976	1612.1	3796.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	2	b
56	Spectrogram 1	1	36.214705616	36.243454581	1586.1	3822.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	2	b
57	Spectrogram 1	1	36.253454221	36.282203185	1560.1	3770.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	2	b
58	Spectrogram 1	1	36.289702915	36.314702015	1586.1	3822.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	2	b
59	Spectrogram 1	1	36.324701655	36.352200664	1586.1	3796.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	2	b
60	Spectrogram 1	1	36.363450259	36.389699314	1586.1	3848.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	2	b
61	Spectrogram 1	1	36.400948909	36.427197963	1612.1	3796.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	2	b
62	Spectrogram 1	1	36.439697513	36.467196523	1586.1	3770.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	2	b
63	Spectrogram 1	1	36.475946208	36.500945307	1560.1	3744.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	2	b
64	Spectrogram 1	1	36.510944947	36.540943867	1586.1	3822.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	2	b
65	Spectrogram 1	1	36.550943507	36.575942606	1612.1	3744.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	2	b
66	Spectrogram 1	1	36.585942246	36.613441256	1612.1	3770.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	2	b
67	Spectrogram 1	1	36.625940806	36.652189861	1612.1	3796.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	2	b
68	Spectrogram 1	1	36.662189500	36.692188420	1612.1	3744.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	2	b
69	Spectrogram 1	1	36.702188060	36.728437115	1638.1	3744.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	2	b
70	Spectrogram 1	1	36.738436754	36.765935764	1560.1	3744.3	Aphrastura_spinicauda-ML146599.wav	E:\Escritorio\Cantos\Furnariidae\Aphrastura_spinicauda-ML146599.wav	2	b
