Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	1.487562253	1.575059160	2964.9	4699.9	Asthenes_fuliginosa-ML67642071.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_fuliginosa-ML67642071.wav	1	a
2	Spectrogram 1	1	1.648688204	1.682555289	3175.8	4260.2	Asthenes_fuliginosa-ML67642071.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_fuliginosa-ML67642071.wav	1	b
3	Spectrogram 1	1	2.212536202	2.310032691	3140.6	4699.9	Asthenes_fuliginosa-ML67642071.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_fuliginosa-ML67642071.wav	1	a
4	Spectrogram 1	1	2.335031732	2.372530382	3201.6	4260.7	Asthenes_fuliginosa-ML67642071.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_fuliginosa-ML67642071.wav	1	b
5	Spectrogram 1	1	2.780015707	2.907511115	2375.4	4656.0	Asthenes_fuliginosa-ML67642071.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_fuliginosa-ML67642071.wav	1	c
6	Spectrogram 1	1	2.927510395	2.975008684	2298.0	4106.9	Asthenes_fuliginosa-ML67642071.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_fuliginosa-ML67642071.wav	1	d
7	Spectrogram 1	1	3.344995360	3.447491668	2323.8	4621.7	Asthenes_fuliginosa-ML67642071.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_fuliginosa-ML67642071.wav	1	c
8	Spectrogram 1	1	3.467490948	3.497489868	2246.3	4105.3	Asthenes_fuliginosa-ML67642071.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_fuliginosa-ML67642071.wav	1	e
9	Spectrogram 1	1	3.531344880	3.575537462	2323.8	4182.8	Asthenes_fuliginosa-ML67642071.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_fuliginosa-ML67642071.wav	1	d
10	Spectrogram 1	1	3.916704197	4.003321658	2039.8	4492.6	Asthenes_fuliginosa-ML67642071.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_fuliginosa-ML67642071.wav	1	f
11	Spectrogram 1	1	4.054585054	4.107616153	2349.6	4260.2	Asthenes_fuliginosa-ML67642071.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_fuliginosa-ML67642071.wav	1	g
12	Spectrogram 1	1	4.425802745	4.503581690	2143.0	4492.6	Asthenes_fuliginosa-ML67642071.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_fuliginosa-ML67642071.wav	1	f
13	Spectrogram 1	1	4.542471095	4.593734490	2349.6	4260.2	Asthenes_fuliginosa-ML67642071.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_fuliginosa-ML67642071.wav	1	h
14	Spectrogram 1	1	4.641462479	4.689190468	2143.0	4260.2	Asthenes_fuliginosa-ML67642071.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_fuliginosa-ML67642071.wav	1	h
15	Spectrogram 1	1	4.836551335	4.905491763	2091.4	4363.5	Asthenes_fuliginosa-ML67642071.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_fuliginosa-ML67642071.wav	1	f
16	Spectrogram 1	1	4.974432191	5.032766400	1884.8	4234.4	Asthenes_fuliginosa-ML67642071.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_fuliginosa-ML67642071.wav	1	i
17	Spectrogram 1	1	5.144131707	5.206001323	1988.1	4182.8	Asthenes_fuliginosa-ML67642071.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_fuliginosa-ML67642071.wav	1	i
