Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	6.067456073	6.380633891	2371.9	3733.6	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	1	a
2	Spectrogram 1	1	6.486696088	6.694808905	1674.1	4567.8	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	1	b
3	Spectrogram 1	1	6.784930234	6.935692724	1647.2	4853.6	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	1	c
4	Spectrogram 1	1	7.012422041	7.139917449	1554.5	4950.5	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	1	d
5	Spectrogram 1	1	7.206165064	7.317411057	1626.2	5070.1	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	1	e
6	Spectrogram 1	1	7.381158311	7.478654800	1650.2	5117.9	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	1	f
7	Spectrogram 1	1	7.533652819	7.622399623	1650.2	5141.8	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	1	g
8	Spectrogram 1	1	7.668647957	7.742395301	1650.2	5165.7	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	1	h
9	Spectrogram 1	1	7.777394041	7.846141565	1626.2	5237.5	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	1	i
10	Spectrogram 1	1	7.878640395	7.939888189	1626.2	5237.5	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	1	j
11	Spectrogram 1	1	7.965595388	8.024885128	1650.2	5309.2	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	1	k
12	Spectrogram 1	1	8.056133696	8.114881580	1578.4	5285.3	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	1	k
13	Spectrogram 1	1	8.149880320	8.209878159	1578.4	5261.4	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	1	k
14	Spectrogram 1	1	8.244876899	8.304874738	1626.2	5261.4	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	1	k
15	Spectrogram 1	1	8.333623703	8.388621722	1626.2	5261.4	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	1	l
16	Spectrogram 1	1	8.418620641	8.473618661	1650.2	5213.6	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	1	l
17	Spectrogram 1	1	8.501117670	8.554865735	1650.2	5070.1	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	1	m
18	Spectrogram 1	1	8.583614699	8.634862854	1650.2	5070.1	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	1	m
19	Spectrogram 1	1	8.661111908	8.714859973	1626.2	5094.0	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	1	m
20	Spectrogram 1	1	8.738609117	8.792357182	1674.1	4998.3	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	1	n
21	Spectrogram 1	1	8.816106326	8.873604256	1626.2	4711.3	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	1	o
22	Spectrogram 1	1	8.896103101	8.956100940	1650.2	3946.0	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	1	p
23	Spectrogram 1	1	8.989849725	9.042347834	1650.2	4280.9	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	1	q
24	Spectrogram 1	1	9.074846663	9.124844863	1626.2	4041.7	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	1	r
25	Spectrogram 1	1	9.168593287	9.214841622	1985.0	2606.8	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	1	s
26	Spectrogram 1	1	93.031635029	93.066989095	2319.8	2869.8	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	2	t
27	Spectrogram 1	1	93.155924339	93.229617797	2200.2	3252.5	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	2	u
28	Spectrogram 1	1	93.298419207	93.373416506	2008.9	3324.2	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	2	v
29	Spectrogram 1	1	93.433042695	93.517892453	2224.1	3539.5	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	2	w
30	Spectrogram 1	1	93.576226661	93.666379529	1745.8	3635.1	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	2	x
31	Spectrogram 1	1	93.715875221	93.807795792	1841.5	3706.9	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	2	y
32	Spectrogram 1	1	93.862594594	93.943908946	1698.0	3874.3	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	2	z
33	Spectrogram 1	1	93.989869231	94.074718989	1626.2	3922.1	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	2	z
34	Spectrogram 1	1	94.127750088	94.209064439	1650.2	3899.7	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	2	z
35	Spectrogram 1	1	94.251489318	94.334571373	1650.2	4256.9	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	2	e
36	Spectrogram 1	1	94.376996252	94.447704384	1602.3	4113.4	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	2	g
37	Spectrogram 1	1	94.488361559	94.559069691	1650.2	4137.4	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	2	g
38	Spectrogram 1	1	94.594423757	94.661596482	1626.2	4161.3	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	2	h
39	Spectrogram 1	1	94.698718251	94.758820163	1626.2	3802.5	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	2	p
40	Spectrogram 1	1	94.801245042	94.864882360	1913.2	3419.9	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	2	aa
41	Spectrogram 1	1	94.905539536	94.967409151	1985.0	2893.8	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	2	z
42	Spectrogram 1	1	118.008585193	118.073990215	2176.3	3132.9	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	3	u
43	Spectrogram 1	1	118.158839973	118.234851215	1721.9	3491.6	Asthenes_moreirae-ML32215.wav	E:\Escritorio\Cantos\Furnariidae\Asthenes_moreirae-ML32215.wav	3	y
