Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	12.503493362	12.529917863	1597.4	4268.6	Baeolophus_wollweberi-ML65437301.wav	E:\Andean\Paridae\Baeolophus_wollweberi-ML65437301.wav	1	a
2	Spectrogram 1	1	12.536523988	12.581115332	2409.3	3613.9	Baeolophus_wollweberi-ML65437301.wav	E:\Andean\Paridae\Baeolophus_wollweberi-ML65437301.wav	1	b
3	Spectrogram 1	1	12.604236770	12.627358208	1676.0	4556.7	Baeolophus_wollweberi-ML65437301.wav	E:\Andean\Paridae\Baeolophus_wollweberi-ML65437301.wav	1	a
4	Spectrogram 1	1	12.637267395	12.731404678	2514.0	4085.3	Baeolophus_wollweberi-ML65437301.wav	E:\Andean\Paridae\Baeolophus_wollweberi-ML65437301.wav	1	b
5	Spectrogram 1	1	12.762783772	12.785905210	1885.5	4609.0	Baeolophus_wollweberi-ML65437301.wav	E:\Andean\Paridae\Baeolophus_wollweberi-ML65437301.wav	1	a
6	Spectrogram 1	1	12.795814397	12.883345555	2540.2	4059.1	Baeolophus_wollweberi-ML65437301.wav	E:\Andean\Paridae\Baeolophus_wollweberi-ML65437301.wav	1	b
7	Spectrogram 1	1	12.927936899	12.954361399	1885.5	4504.3	Baeolophus_wollweberi-ML65437301.wav	E:\Andean\Paridae\Baeolophus_wollweberi-ML65437301.wav	1	a
8	Spectrogram 1	1	12.964270587	13.045195619	2487.8	4268.6	Baeolophus_wollweberi-ML65437301.wav	E:\Andean\Paridae\Baeolophus_wollweberi-ML65437301.wav	1	b
9	Spectrogram 1	1	13.086483901	13.111256870	1859.3	4661.4	Baeolophus_wollweberi-ML65437301.wav	E:\Andean\Paridae\Baeolophus_wollweberi-ML65437301.wav	1	a
10	Spectrogram 1	1	13.119514526	13.203742621	2592.6	4163.8	Baeolophus_wollweberi-ML65437301.wav	E:\Andean\Paridae\Baeolophus_wollweberi-ML65437301.wav	1	b
11	Spectrogram 1	1	13.264849278	13.287970716	1833.1	4478.1	Baeolophus_wollweberi-ML65437301.wav	E:\Andean\Paridae\Baeolophus_wollweberi-ML65437301.wav	1	a
