Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	0.832497536	0.949189412	6401.557	10356.700	Bangsia_flavovirens-ML31411491.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Bangsia_flavovirens-ML31411491.wav	1	a
2	Spectrogram 1	1	1.110600702	1.203086453	5659.965	11608.700	Bangsia_flavovirens-ML31411491.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Bangsia_flavovirens-ML31411491.wav	1	b
3	Spectrogram 1	1	1.260890048	1.331905892	7765.100	10630.300	Bangsia_flavovirens-ML31411491.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Bangsia_flavovirens-ML31411491.wav	1	c
4	Spectrogram 1	1	1.331905892	1.447513081	3781.265	10569.900	Bangsia_flavovirens-ML31411491.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Bangsia_flavovirens-ML31411491.wav	1	d
5	Spectrogram 1	1	1.549908020	1.590143931	8099.100	10834.600	Bangsia_flavovirens-ML31411491.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Bangsia_flavovirens-ML31411491.wav	1	e
6	Spectrogram 1	1	1.592087536	1.644529240	6065.100	10774.200	Bangsia_flavovirens-ML31411491.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Bangsia_flavovirens-ML31411491.wav	1	f
7	Spectrogram 1	1	1.731545734	1.784426052	2732.516	9329.800	Bangsia_flavovirens-ML31411491.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Bangsia_flavovirens-ML31411491.wav	1	g
8	Spectrogram 1	1	1.863883318	1.938209907	6270.200	9475.100	Bangsia_flavovirens-ML31411491.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Bangsia_flavovirens-ML31411491.wav	1	h
9	Spectrogram 1	1	1.987156685	2.025203847	2818.049	8206.951	Bangsia_flavovirens-ML31411491.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Bangsia_flavovirens-ML31411491.wav	1	i
10	Spectrogram 1	1	2.027039245	2.052419056	2818.049	8330.549	Bangsia_flavovirens-ML31411491.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Bangsia_flavovirens-ML31411491.wav	1	i
11	Spectrogram 1	1	2.126745644	2.168933640	3238.285	8244.400	Bangsia_flavovirens-ML31411491.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Bangsia_flavovirens-ML31411491.wav	1	i
12	Spectrogram 1	1	2.172066735	2.213762139	2373.094	8492.300	Bangsia_flavovirens-ML31411491.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Bangsia_flavovirens-ML31411491.wav	1	m
13	Spectrogram 1	1	2.297152945	2.344286880	5979.600	8919.600	Bangsia_flavovirens-ML31411491.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Bangsia_flavovirens-ML31411491.wav	1	l
14	Spectrogram 1	1	2.366734996	2.396218098	2570.852	7920.200	Bangsia_flavovirens-ML31411491.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Bangsia_flavovirens-ML31411491.wav	1	i
15	Spectrogram 1	1	2.402627468	2.433392445	2620.291	7672.300	Bangsia_flavovirens-ML31411491.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Bangsia_flavovirens-ML31411491.wav	1	i
16	Spectrogram 1	1	4.645709045	4.765356725	6451.850	10390.100	Bangsia_flavovirens-ML31411491.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Bangsia_flavovirens-ML31411491.wav	2	a
17	Spectrogram 1	1	4.935764026	5.037283269	5240.583	11518.200	Bangsia_flavovirens-ML31411491.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Bangsia_flavovirens-ML31411491.wav	2	b
18	Spectrogram 1	1	5.135176825	5.265701566	4253.700	11244.700	Bangsia_flavovirens-ML31411491.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Bangsia_flavovirens-ML31411491.wav	2	d
19	Spectrogram 1	1	5.841344907	5.904317721	2657.963	8599.300	Bangsia_flavovirens-ML31411491.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Bangsia_flavovirens-ML31411491.wav	2	j
20	Spectrogram 1	1	6.023901646	6.089164017	2692.922	9125.374	Bangsia_flavovirens-ML31411491.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Bangsia_flavovirens-ML31411491.wav	2	g
21	Spectrogram 1	1	6.264358366	6.324549431	2553.086	9659.900	Bangsia_flavovirens-ML31411491.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Bangsia_flavovirens-ML31411491.wav	2	g
22	Spectrogram 1	1	6.420203371	6.495240989	6563.700	9754.636	Bangsia_flavovirens-ML31411491.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Bangsia_flavovirens-ML31411491.wav	2	h
23	Spectrogram 1	1	6.491943826	6.558090678	5599.900	9405.046	Bangsia_flavovirens-ML31411491.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Bangsia_flavovirens-ML31411491.wav	2	k
24	Spectrogram 1	1	6.552600503	6.587044532	2797.799	8010.400	Bangsia_flavovirens-ML31411491.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Bangsia_flavovirens-ML31411491.wav	2	i
25	Spectrogram 1	1	6.585231688	6.618685296	2797.799	8070.200	Bangsia_flavovirens-ML31411491.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Bangsia_flavovirens-ML31411491.wav	2	i
