Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	1091.165461561	1091.317276726	1227.9	1985.5	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	1	a
2	Spectrogram 1	1	1091.370995938	1091.448071330	1227.9	2011.7	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	1	b
3	Spectrogram 1	1	1091.490112452	1091.550838518	1254.0	2116.2	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	1	b
4	Spectrogram 1	1	1091.581201551	1091.634920764	1045.0	2090.0	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	1	b
5	Spectrogram 1	1	1091.660612561	1091.716667391	1071.1	2090.0	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	1	b
6	Spectrogram 1	1	1091.751701660	1091.800749636	1254.0	2142.3	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	1	b
7	Spectrogram 1	1	1091.826441433	1091.875489410	1254.0	1985.5	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	1	b
8	Spectrogram 1	1	1091.901181207	1091.945557947	1097.3	1907.2	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	1	b
9	Spectrogram 1	1	1091.973585362	1092.013290867	992.8	1907.2	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	1	b
10	Spectrogram 1	1	1092.034311428	1092.062338843	992.8	1672.0	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	1	b
11	Spectrogram 1	1	1092.092701876	1092.123064909	1018.9	1541.4	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	1	c
12	Spectrogram 1	1	1092.155763560	1092.183790975	1045.0	1645.9	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	1	c
13	Spectrogram 1	1	1092.207147154	1092.230503334	1149.5	1567.5	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	1	c
14	Spectrogram 1	1	1092.258530749	1092.277215692	1175.7	1645.9	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	1	c
15	Spectrogram 1	1	1092.305243107	1092.333270522	1123.4	1672.0	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	1	c
16	Spectrogram 1	1	1092.356626701	1092.372976027	1201.8	1724.3	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	1	c
17	Spectrogram 1	1	1092.397500015	1092.417352767	1280.2	1645.9	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	1	c
18	Spectrogram 1	1	1092.432534284	1092.453554845	1254.0	1672.0	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	1	c
19	Spectrogram 1	1	1092.478078833	1092.497931586	1280.2	1698.2	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	1	c
20	Spectrogram 1	1	1092.510777484	1092.531798046	1384.7	1698.2	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	1	c
21	Spectrogram 1	1	1092.541140517	1092.560993270	1410.8	1776.5	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	1	c
22	Spectrogram 1	1	1092.573839168	1092.594859730	1436.9	1828.8	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	1	c
23	Spectrogram 1	1	1092.606537819	1092.627558380	1489.2	1881.0	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	1	c
24	Spectrogram 1	1	1092.634565234	1092.660257031	1515.3	1907.2	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	1	c
25	Spectrogram 1	1	1092.666096076	1092.685948828	1541.4	1933.3	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	1	c
26	Spectrogram 1	1	1092.693316015	1093.257367743	1619.8	3004.4	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	1	d
27	Spectrogram 1	1	1093.455967703	1093.816001520	1436.9	2952.2	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	1	e
28	Spectrogram 1	1	1093.819304582	1093.987760772	2116.2	2508.1	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	1	f
29	Spectrogram 1	1	1093.986109240	1095.137226536	1436.9	2978.3	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	1	g
30	Spectrogram 1	1	1126.962435310	1127.061527186	470.3	1619.8	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	2	a
31	Spectrogram 1	1	1127.082997093	1127.130891500	470.3	1645.9	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	2	b
32	Spectrogram 1	1	1127.177134375	1127.218422657	600.9	1933.3	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	2	b
33	Spectrogram 1	1	1127.256407876	1127.296044627	522.5	1985.5	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	2	b
34	Spectrogram 1	1	1127.329075252	1127.363757409	627.0	1959.4	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	2	b
35	Spectrogram 1	1	1127.398439566	1127.428167128	574.8	1933.3	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	2	b
36	Spectrogram 1	1	1127.466152348	1127.499182973	862.1	1959.4	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	2	b
37	Spectrogram 1	1	1127.519001348	1127.548728911	992.8	1619.8	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	2	c
38	Spectrogram 1	1	1127.578455822	1127.601577260	1123.4	1672.0	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	2	c
39	Spectrogram 1	1	1127.633782120	1127.659380854	1123.4	1776.5	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	2	c
40	Spectrogram 1	1	1127.675896167	1127.700669136	1175.7	1724.3	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	2	c
41	Spectrogram 1	1	1127.727919402	1127.749389309	1254.0	1828.8	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	2	c
42	Spectrogram 1	1	1127.767556153	1127.791503356	1254.0	1776.5	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	2	c
43	Spectrogram 1	1	1127.812147497	1127.831140106	1332.4	1776.5	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	2	c
44	Spectrogram 1	1	1127.845178122	1127.870776857	1332.4	1802.7	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	2	c
45	Spectrogram 1	1	1127.880273162	1127.905046131	1410.8	1881.0	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	2	c
46	Spectrogram 1	1	1127.915781084	1127.938902522	1358.5	1854.9	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	2	c
47	Spectrogram 1	1	1127.947985944	1127.971107382	1436.9	1881.0	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	2	c
48	Spectrogram 1	1	1127.982668101	1128.004138007	1463.0	1933.3	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	2	c
49	Spectrogram 1	1	1128.009092601	1128.033039804	1515.3	1907.2	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	2	c
50	Spectrogram 1	1	1128.039645929	1128.061941602	1567.5	1907.2	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	2	c
51	Spectrogram 1	1	1128.067720291	1128.612725610	1672.0	3030.6	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	2	d
52	Spectrogram 1	1	1128.804299715	1129.115613360	1436.9	2847.7	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	2	e
53	Spectrogram 1	1	1129.118090657	1129.348479269	2090.0	2534.2	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	2	f
54	Spectrogram 1	1	1129.351010593	1130.790266068	1541.4	2926.1	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	2	g
55	Spectrogram 1	1	1264.613267145	1264.712359021	757.6	1593.7	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	3	a
56	Spectrogram 1	1	1264.776768741	1264.841178460	731.5	1672.0	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	3	b
57	Spectrogram 1	1	1264.892375930	1264.951831055	731.5	1698.2	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	3	b
58	Spectrogram 1	1	1264.991467806	1265.047619869	757.6	1672.0	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	3	b
59	Spectrogram 1	1	1265.085605088	1265.138454089	836.0	1698.2	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	3	b
60	Spectrogram 1	1	1265.174787777	1265.217727590	862.1	1776.5	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	3	b
61	Spectrogram 1	1	1265.252938240	1265.292643744	966.6	1593.7	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	3	b
62	Spectrogram 1	1	1265.321838968	1265.359208855	836.0	1567.5	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	3	b
63	Spectrogram 1	1	1265.386068461	1265.419934921	1045.0	1463.0	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	3	c
64	Spectrogram 1	1	1265.444458909	1265.477157560	1045.0	1619.8	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	3	c
65	Spectrogram 1	1	1265.501681548	1265.536715817	1018.9	1645.9	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	3	c
66	Spectrogram 1	1	1265.564743232	1265.592770647	1071.1	1672.0	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	3	c
67	Spectrogram 1	1	1265.612623400	1265.642986433	1201.8	1776.5	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	3	c
68	Spectrogram 1	1	1265.662839185	1265.682691937	1123.4	1672.0	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	3	c
69	Spectrogram 1	1	1265.706048117	1265.732907723	1123.4	1776.5	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	3	c
70	Spectrogram 1	1	1265.749257048	1265.778452272	1097.3	1724.3	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	3	c
71	Spectrogram 1	1	1265.790130362	1265.822829013	1123.4	1698.2	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	3	c
72	Spectrogram 1	1	1265.832171484	1265.861366708	1097.3	1750.4	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	3	c
73	Spectrogram 1	1	1265.874212607	1265.902240022	1071.1	1776.5	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	3	c
74	Spectrogram 1	1	1265.908079067	1265.937274291	1018.9	1776.5	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	3	c
75	Spectrogram 1	1	1265.945448954	1265.973476369	1123.4	1881.0	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	3	c
76	Spectrogram 1	1	1265.980483222	1266.003839402	1227.9	1828.8	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	3	c
77	Spectrogram 1	1	1266.013181873	1266.033034626	1175.7	1881.0	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	3	c
78	Spectrogram 1	1	1266.043544906	1266.064565468	1541.4	1985.5	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	3	c
79	Spectrogram 1	1	1266.076237249	1266.661309539	1724.3	3056.7	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	3	d
80	Spectrogram 1	1	1266.863619194	1267.170804010	1541.4	2873.8	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	3	e
81	Spectrogram 1	1	1267.177410135	1267.420185232	2037.8	2534.2	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	3	f
82	Spectrogram 1	1	1267.420185232	1268.827289875	1489.2	2899.9	Bartramia_longicauda-ML42975.wav	D:\Andean\Scolopacidae\Bartramia_longicauda-ML42975.wav	3	g
