Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	5.569837318	5.715172070	6398.9	7977.9	Bradornis_boehmi-ML278847.wav	E:\Andean\Muscicapidae\Bradornis_boehmi-ML278847.wav	1	a
2	Spectrogram 1	1	6.065296699	6.151176325	4986.2	7202.3	Bradornis_boehmi-ML278847.wav	E:\Andean\Muscicapidae\Bradornis_boehmi-ML278847.wav	1	b
3	Spectrogram 1	1	6.606998956	6.699484707	4820.0	7230.0	Bradornis_boehmi-ML278847.wav	E:\Andean\Muscicapidae\Bradornis_boehmi-ML278847.wav	1	b
4	Spectrogram 1	1	7.412946216	7.624342219	4792.3	7977.9	Bradornis_boehmi-ML278847.wav	E:\Andean\Muscicapidae\Bradornis_boehmi-ML278847.wav	2	a
5	Spectrogram 1	1	8.047134224	8.133013850	4515.3	7645.5	Bradornis_boehmi-ML278847.wav	E:\Andean\Muscicapidae\Bradornis_boehmi-ML278847.wav	2	b
6	Spectrogram 1	1	8.192468976	8.271742477	4404.5	6814.4	Bradornis_boehmi-ML278847.wav	E:\Andean\Muscicapidae\Bradornis_boehmi-ML278847.wav	2	b
7	Spectrogram 1	1	8.324591478	8.410471104	4238.3	6537.4	Bradornis_boehmi-ML278847.wav	E:\Andean\Muscicapidae\Bradornis_boehmi-ML278847.wav	2	b
8	Spectrogram 1	1	9.467451117	9.659028745	5734.1	8227.2	Bradornis_boehmi-ML278847.wav	E:\Andean\Muscicapidae\Bradornis_boehmi-ML278847.wav	3	a
9	Spectrogram 1	1	10.167700376	10.246973877	4764.6	7423.9	Bradornis_boehmi-ML278847.wav	E:\Andean\Muscicapidae\Bradornis_boehmi-ML278847.wav	3	b
10	Spectrogram 1	1	10.359278003	10.445157629	4072.0	6343.5	Bradornis_boehmi-ML278847.wav	E:\Andean\Muscicapidae\Bradornis_boehmi-ML278847.wav	3	b
11	Spectrogram 1	1	10.570674006	10.649947507	3988.9	6980.7	Bradornis_boehmi-ML278847.wav	E:\Andean\Muscicapidae\Bradornis_boehmi-ML278847.wav	3	b
12	Spectrogram 1	1	10.729221008	10.801888384	3933.5	6786.7	Bradornis_boehmi-ML278847.wav	E:\Andean\Muscicapidae\Bradornis_boehmi-ML278847.wav	3	b
