Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	9.691310331	9.735274738	2818.0	4128.2	Calamanthus_fuliginosus-ML181191051.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Acanthizidae\Acanthizidae\Calamanthus_fuliginosus-ML181191051.wav	1	a
2	Spectrogram 1	1	9.885768286	9.931423632	2768.6	4227.1	Calamanthus_fuliginosus-ML181191051.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Acanthizidae\Acanthizidae\Calamanthus_fuliginosus-ML181191051.wav	1	a
3	Spectrogram 1	1	10.071771548	10.176609750	1582.1	6723.8	Calamanthus_fuliginosus-ML181191051.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Acanthizidae\Acanthizidae\Calamanthus_fuliginosus-ML181191051.wav	1	b
4	Spectrogram 1	1	10.286520768	10.338939869	1211.3	5290.0	Calamanthus_fuliginosus-ML181191051.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Acanthizidae\Acanthizidae\Calamanthus_fuliginosus-ML181191051.wav	1	c
5	Spectrogram 1	1	10.386286154	10.433632439	1260.7	5858.6	Calamanthus_fuliginosus-ML181191051.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Acanthizidae\Acanthizidae\Calamanthus_fuliginosus-ML181191051.wav	1	c
6	Spectrogram 1	1	10.538470640	10.585816925	3658.5	5833.9	Calamanthus_fuliginosus-ML181191051.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Acanthizidae\Acanthizidae\Calamanthus_fuliginosus-ML181191051.wav	1	d
7	Spectrogram 1	1	10.692952346	10.819772751	1804.5	2743.9	Calamanthus_fuliginosus-ML181191051.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Acanthizidae\Acanthizidae\Calamanthus_fuliginosus-ML181191051.wav	2	e
8	Spectrogram 1	1	10.883422144	11.023770059	2768.6	5438.3	Calamanthus_fuliginosus-ML181191051.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Acanthizidae\Acanthizidae\Calamanthus_fuliginosus-ML181191051.wav	1	f
9	Spectrogram 1	1	11.088025731	11.175954546	2521.4	4770.9	Calamanthus_fuliginosus-ML181191051.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Acanthizidae\Acanthizidae\Calamanthus_fuliginosus-ML181191051.wav	1	g
10	Spectrogram 1	1	11.315586984	11.347714820	2249.5	3263.0	Calamanthus_fuliginosus-ML181191051.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Acanthizidae\Acanthizidae\Calamanthus_fuliginosus-ML181191051.wav	1	h
11	Spectrogram 1	1	11.400133921	11.440716451	2496.7	5710.3	Calamanthus_fuliginosus-ML181191051.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Acanthizidae\Acanthizidae\Calamanthus_fuliginosus-ML181191051.wav	1	i
12	Spectrogram 1	1	11.496517430	11.569227796	1483.2	2496.7	Calamanthus_fuliginosus-ML181191051.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Acanthizidae\Acanthizidae\Calamanthus_fuliginosus-ML181191051.wav	1	j
13	Spectrogram 1	1	11.601355632	11.650392855	4622.6	5463.1	Calamanthus_fuliginosus-ML181191051.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Acanthizidae\Acanthizidae\Calamanthus_fuliginosus-ML181191051.wav	1	k
14	Spectrogram 1	1	11.714648527	11.767067628	4647.3	5512.5	Calamanthus_fuliginosus-ML181191051.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Acanthizidae\Acanthizidae\Calamanthus_fuliginosus-ML181191051.wav	1	k
15	Spectrogram 1	1	11.819486729	11.858378320	2966.4	3708.0	Calamanthus_fuliginosus-ML181191051.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Acanthizidae\Acanthizidae\Calamanthus_fuliginosus-ML181191051.wav	1	l
