Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	2.522127649	2.623086248	5278.9	7965.1	Calcarius_ornatus-ML517057.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Calcariidae\Calcarius_ornatus-ML517057.wav	1	a
2	Spectrogram 1	1	2.946153765	3.081988972	4905.2	7497.9	Calcarius_ornatus-ML517057.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Calcariidae\Calcarius_ornatus-ML517057.wav	1	b
3	Spectrogram 1	1	3.138892909	3.234344676	4321.2	4741.7	Calcarius_ornatus-ML517057.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Calcariidae\Calcarius_ornatus-ML517057.wav	1	c
4	Spectrogram 1	1	3.274728116	3.390371602	2382.5	5559.2	Calcarius_ornatus-ML517057.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Calcariidae\Calcarius_ornatus-ML517057.wav	1	d
5	Spectrogram 1	1	3.406892100	3.491330201	3410.3	4040.9	Calcarius_ornatus-ML517057.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Calcariidae\Calcarius_ornatus-ML517057.wav	1	e
6	Spectrogram 1	1	3.561083415	3.673055680	2055.5	3503.7	Calcarius_ornatus-ML517057.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Calcariidae\Calcarius_ornatus-ML517057.wav	1	f
7	Spectrogram 1	1	3.705178870	3.848356520	2569.4	6189.9	Calcarius_ornatus-ML517057.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Calcariidae\Calcarius_ornatus-ML517057.wav	1	g
8	Spectrogram 1	1	3.890575571	3.993369781	2289.1	4204.4	Calcarius_ornatus-ML517057.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Calcariidae\Calcarius_ornatus-ML517057.wav	1	h
9	Spectrogram 1	1	4.013561501	4.164081594	1565.0	5045.3	Calcarius_ornatus-ML517057.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Calcariidae\Calcarius_ornatus-ML517057.wav	1	i
10	Spectrogram 1	1	4.226492364	4.254026528	5372.4	6119.8	Calcarius_ornatus-ML517057.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Calcariidae\Calcarius_ornatus-ML517057.wav	1	j
