Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	1.372506554	1.404396121	185.4	568.6	Capito_wallacei-ML75719031.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Capitonidae\Capito_wallacei-ML75719031.wav	1	a
2	Spectrogram 1	1	1.416797619	1.441600616	210.1	568.6	Capito_wallacei-ML75719031.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Capitonidae\Capito_wallacei-ML75719031.wav	1	a
3	Spectrogram 1	1	1.461088685	1.487663325	185.4	568.6	Capito_wallacei-ML75719031.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Capitonidae\Capito_wallacei-ML75719031.wav	1	a
4	Spectrogram 1	1	1.496521538	1.528411106	222.5	618.0	Capito_wallacei-ML75719031.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Capitonidae\Capito_wallacei-ML75719031.wav	1	a
5	Spectrogram 1	1	1.542584247	1.572702171	210.1	593.3	Capito_wallacei-ML75719031.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Capitonidae\Capito_wallacei-ML75719031.wav	1	a
6	Spectrogram 1	1	1.578017099	1.611678309	234.8	605.6	Capito_wallacei-ML75719031.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Capitonidae\Capito_wallacei-ML75719031.wav	1	a
7	Spectrogram 1	1	1.622308165	1.655969375	222.5	568.6	Capito_wallacei-ML75719031.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Capitonidae\Capito_wallacei-ML75719031.wav	1	a
8	Spectrogram 1	1	1.659512661	1.689630585	197.8	642.7	Capito_wallacei-ML75719031.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Capitonidae\Capito_wallacei-ML75719031.wav	1	a
9	Spectrogram 1	1	1.703803726	1.730378366	197.8	580.9	Capito_wallacei-ML75719031.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Capitonidae\Capito_wallacei-ML75719031.wav	1	a
10	Spectrogram 1	1	1.739236579	1.769354504	210.1	580.9	Capito_wallacei-ML75719031.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Capitonidae\Capito_wallacei-ML75719031.wav	1	a
11	Spectrogram 1	1	1.783527645	1.810102285	234.8	568.6	Capito_wallacei-ML75719031.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Capitonidae\Capito_wallacei-ML75719031.wav	1	a
12	Spectrogram 1	1	1.822503783	1.852621708	222.5	556.2	Capito_wallacei-ML75719031.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Capitonidae\Capito_wallacei-ML75719031.wav	1	a
13	Spectrogram 1	1	1.863251564	1.895141131	222.5	593.3	Capito_wallacei-ML75719031.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Capitonidae\Capito_wallacei-ML75719031.wav	1	a
14	Spectrogram 1	1	1.900456059	1.928802341	222.5	580.9	Capito_wallacei-ML75719031.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Capitonidae\Capito_wallacei-ML75719031.wav	1	a
15	Spectrogram 1	1	1.941278680	1.967586231	227.2	576.8	Capito_wallacei-ML75719031.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Capitonidae\Capito_wallacei-ML75719031.wav	1	a
16	Spectrogram 1	1	1.981366376	2.007673927	209.8	576.8	Capito_wallacei-ML75719031.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Capitonidae\Capito_wallacei-ML75719031.wav	1	a
17	Spectrogram 1	1	2.021454073	2.046508884	201.0	568.1	Capito_wallacei-ML75719031.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Capitonidae\Capito_wallacei-ML75719031.wav	1	a
18	Spectrogram 1	1	2.059036289	2.084091099	227.2	585.6	Capito_wallacei-ML75719031.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Capitonidae\Capito_wallacei-ML75719031.wav	1	a
19	Spectrogram 1	1	2.106640429	2.134200720	227.2	568.1	Capito_wallacei-ML75719031.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Capitonidae\Capito_wallacei-ML75719031.wav	1	a
20	Spectrogram 1	1	2.141717163	2.168024714	192.3	550.6	Capito_wallacei-ML75719031.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Capitonidae\Capito_wallacei-ML75719031.wav	1	a
21	Spectrogram 1	1	2.186815822	2.213123373	192.3	550.6	Capito_wallacei-ML75719031.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Capitonidae\Capito_wallacei-ML75719031.wav	1	a
22	Spectrogram 1	1	2.221892557	2.248200108	209.8	541.9	Capito_wallacei-ML75719031.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Capitonidae\Capito_wallacei-ML75719031.wav	1	a
23	Spectrogram 1	1	2.255716551	2.283276842	209.8	550.6	Capito_wallacei-ML75719031.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Capitonidae\Capito_wallacei-ML75719031.wav	1	a
