Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	4.788794650	4.928754418	1285.4	2842.8	Cardinalis_sinuatus-ML16858.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Cardinalis_sinuatus-ML16858.wav	1	a
2	Spectrogram 1	1	5.042139547	5.219303811	1038.2	5611.4	Cardinalis_sinuatus-ML16858.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Cardinalis_sinuatus-ML16858.wav	1	b
3	Spectrogram 1	1	5.304342657	5.492136777	1087.7	5364.2	Cardinalis_sinuatus-ML16858.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Cardinalis_sinuatus-ML16858.wav	1	b
4	Spectrogram 1	1	5.554144269	5.745481674	1137.1	5339.5	Cardinalis_sinuatus-ML16858.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Cardinalis_sinuatus-ML16858.wav	1	b
5	Spectrogram 1	1	5.818119022	6.002369856	1112.4	5438.3	Cardinalis_sinuatus-ML16858.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Cardinalis_sinuatus-ML16858.wav	1	b
6	Spectrogram 1	1	6.080322132	6.259258038	1161.8	5487.8	Cardinalis_sinuatus-ML16858.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Cardinalis_sinuatus-ML16858.wav	1	b
7	Spectrogram 1	1	12.080110662	12.227157001	1236.0	2966.4	Cardinalis_sinuatus-ML16858.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Cardinalis_sinuatus-ML16858.wav	2	a
8	Spectrogram 1	1	12.354715271	12.526564606	1013.5	5314.7	Cardinalis_sinuatus-ML16858.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Cardinalis_sinuatus-ML16858.wav	2	b
9	Spectrogram 1	1	12.613375096	12.792311002	1087.7	5240.6	Cardinalis_sinuatus-ML16858.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Cardinalis_sinuatus-ML16858.wav	2	b
10	Spectrogram 1	1	12.868491635	13.056285754	1038.2	5166.4	Cardinalis_sinuatus-ML16858.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Cardinalis_sinuatus-ML16858.wav	2	b
11	Spectrogram 1	1	13.132466388	13.311402294	1062.9	5191.1	Cardinalis_sinuatus-ML16858.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Cardinalis_sinuatus-ML16858.wav	2	b
12	Spectrogram 1	1	13.387582770	13.582463460	1161.8	5191.1	Cardinalis_sinuatus-ML16858.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Cardinalis_sinuatus-ML16858.wav	2	b
13	Spectrogram 1	1	19.339857671	19.483360725	1310.1	3139.4	Cardinalis_sinuatus-ML16858.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Cardinalis_sinuatus-ML16858.wav	3	b
14	Spectrogram 1	1	19.637493723	19.812886344	1161.8	5388.9	Cardinalis_sinuatus-ML16858.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Cardinalis_sinuatus-ML16858.wav	3	b
15	Spectrogram 1	1	19.903240118	20.089262595	1062.9	5018.1	Cardinalis_sinuatus-ML16858.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Cardinalis_sinuatus-ML16858.wav	3	b
16	Spectrogram 1	1	20.168986513	20.346150777	1087.7	5018.1	Cardinalis_sinuatus-ML16858.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Cardinalis_sinuatus-ML16858.wav	3	b
17	Spectrogram 1	1	20.431189624	20.604810602	1062.9	5092.3	Cardinalis_sinuatus-ML16858.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Cardinalis_sinuatus-ML16858.wav	3	b
18	Spectrogram 1	1	20.680991235	20.863470427	1013.5	5092.3	Cardinalis_sinuatus-ML16858.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Cardinalis_sinuatus-ML16858.wav	3	b
19	Spectrogram 1	1	20.957367398	21.106185379	1458.5	5240.6	Cardinalis_sinuatus-ML16858.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Cardinalidae\Cardinalis_sinuatus-ML16858.wav	3	b
