Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	8.144896091	8.300140030	995.1	3325.8	Celeus_galeatus-ML43165.wav	D:\Andean\Picidae\Celeus_galeatus-ML43165.wav	1	a
2	Spectrogram 1	1	8.498323783	8.637052410	864.2	3273.5	Celeus_galeatus-ML43165.wav	D:\Andean\Picidae\Celeus_galeatus-ML43165.wav	1	a
3	Spectrogram 1	1	8.815417787	8.977267851	864.2	3325.8	Celeus_galeatus-ML43165.wav	D:\Andean\Picidae\Celeus_galeatus-ML43165.wav	1	a
4	Spectrogram 1	1	9.152330166	9.284452668	838.0	3352.0	Celeus_galeatus-ML43165.wav	D:\Andean\Picidae\Celeus_galeatus-ML43165.wav	1	a
5	Spectrogram 1	1	9.482636420	9.627971172	785.6	3247.3	Celeus_galeatus-ML43165.wav	D:\Andean\Picidae\Celeus_galeatus-ML43165.wav	1	a
6	Spectrogram 1	1	9.806336549	9.958277426	864.2	3299.6	Celeus_galeatus-ML43165.wav	D:\Andean\Picidae\Celeus_galeatus-ML43165.wav	1	a
7	Spectrogram 1	1	10.159764241	10.311705118	890.4	3194.9	Celeus_galeatus-ML43165.wav	D:\Andean\Picidae\Celeus_galeatus-ML43165.wav	1	a
8	Spectrogram 1	1	10.509888871	10.655223623	916.6	3090.1	Celeus_galeatus-ML43165.wav	D:\Andean\Picidae\Celeus_galeatus-ML43165.wav	1	a
9	Spectrogram 1	1	20.584037905	20.722766531	942.8	3325.8	Celeus_galeatus-ML43165.wav	D:\Andean\Picidae\Celeus_galeatus-ML43165.wav	2	a
10	Spectrogram 1	1	20.911041096	21.049769723	942.8	3116.3	Celeus_galeatus-ML43165.wav	D:\Andean\Picidae\Celeus_galeatus-ML43165.wav	2	a
11	Spectrogram 1	1	21.234741225	21.366863727	995.1	3194.9	Celeus_galeatus-ML43165.wav	D:\Andean\Picidae\Celeus_galeatus-ML43165.wav	2	a
12	Spectrogram 1	1	21.545229104	21.690563856	942.8	3037.8	Celeus_galeatus-ML43165.wav	D:\Andean\Picidae\Celeus_galeatus-ML43165.wav	2	a
13	Spectrogram 1	1	21.878838421	22.017567048	995.1	3037.8	Celeus_galeatus-ML43165.wav	D:\Andean\Picidae\Celeus_galeatus-ML43165.wav	2	a
14	Spectrogram 1	1	22.195932425	22.344570239	995.1	3090.1	Celeus_galeatus-ML43165.wav	D:\Andean\Picidae\Celeus_galeatus-ML43165.wav	2	a
15	Spectrogram 1	1	22.539450929	22.668270368	916.6	3116.3	Celeus_galeatus-ML43165.wav	D:\Andean\Picidae\Celeus_galeatus-ML43165.wav	2	a
16	Spectrogram 1	1	22.889575559	23.038213373	890.4	3221.1	Celeus_galeatus-ML43165.wav	D:\Andean\Picidae\Celeus_galeatus-ML43165.wav	2	a
17	Spectrogram 1	1	38.159329967	38.317876969	916.6	3483.0	Celeus_galeatus-ML43165.wav	D:\Andean\Picidae\Celeus_galeatus-ML43165.wav	3	a
18	Spectrogram 1	1	38.502848472	38.631667911	785.6	3221.1	Celeus_galeatus-ML43165.wav	D:\Andean\Picidae\Celeus_galeatus-ML43165.wav	3	a
19	Spectrogram 1	1	38.833154726	38.968580290	864.2	3221.1	Celeus_galeatus-ML43165.wav	D:\Andean\Picidae\Celeus_galeatus-ML43165.wav	3	a
20	Spectrogram 1	1	39.153551792	39.282371231	942.8	3064.0	Celeus_galeatus-ML43165.wav	D:\Andean\Picidae\Celeus_galeatus-ML43165.wav	3	a
21	Spectrogram 1	1	39.477251921	39.602768298	1047.5	3221.1	Celeus_galeatus-ML43165.wav	D:\Andean\Picidae\Celeus_galeatus-ML43165.wav	3	a
22	Spectrogram 1	1	39.814164301	39.946286802	942.8	3221.1	Celeus_galeatus-ML43165.wav	D:\Andean\Picidae\Celeus_galeatus-ML43165.wav	3	a
23	Spectrogram 1	1	40.147773617	40.279896119	890.4	3221.1	Celeus_galeatus-ML43165.wav	D:\Andean\Picidae\Celeus_galeatus-ML43165.wav	3	a
