Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	6.109869874	6.253372928	6722.9	7810.6	Certhia_hodgsoni-ML60476.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Certhiidae\Certhia_hodgsoni-ML60476.wav	1	a
2	Spectrogram 1	1	6.271089354	6.393332696	6821.8	8379.1	Certhia_hodgsoni-ML60476.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Certhiidae\Certhia_hodgsoni-ML60476.wav	1	b
3	Spectrogram 1	1	6.552780533	6.636047737	6698.2	7860.0	Certhia_hodgsoni-ML60476.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Certhiidae\Certhia_hodgsoni-ML60476.wav	1	c
4	Spectrogram 1	1	6.637819380	6.706913443	6698.2	7711.7	Certhia_hodgsoni-ML60476.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Certhiidae\Certhia_hodgsoni-ML60476.wav	1	d
5	Spectrogram 1	1	6.715771656	6.779550791	6772.4	7785.9	Certhia_hodgsoni-ML60476.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Certhiidae\Certhia_hodgsoni-ML60476.wav	1	d
6	Spectrogram 1	1	6.850416496	7.036438973	6698.2	7711.7	Certhia_hodgsoni-ML60476.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Certhiidae\Certhia_hodgsoni-ML60476.wav	1	e
7	Spectrogram 1	1	7.119706177	7.505924272	6302.7	7439.8	Certhia_hodgsoni-ML60476.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Certhiidae\Certhia_hodgsoni-ML60476.wav	1	f
8	Spectrogram 1	1	7.589635080	7.878412830	6203.8	7464.5	Certhia_hodgsoni-ML60476.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Certhiidae\Certhia_hodgsoni-ML60476.wav	1	g
9	Spectrogram 1	1	7.929790466	8.243371213	5215.0	6846.5	Certhia_hodgsoni-ML60476.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Certhiidae\Certhia_hodgsoni-ML60476.wav	1	h
10	Spectrogram 1	1	8.307150348	8.447110116	6278.0	6821.8	Certhia_hodgsoni-ML60476.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Certhiidae\Certhia_hodgsoni-ML60476.wav	1	i
