Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	16.365987275	16.624051822	3950.4	9159.3	Chaetura_spinicaudus-ML49332.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Chaetura_spinicaudus-ML49332.wav	1	a
2	Spectrogram 1	1	16.666645000	16.796930014	3391.0	9578.8	Chaetura_spinicaudus-ML49332.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Chaetura_spinicaudus-ML49332.wav	1	b
3	Spectrogram 1	1	16.839523192	16.869588964	3845.5	9753.6	Chaetura_spinicaudus-ML49332.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Chaetura_spinicaudus-ML49332.wav	1	c
4	Spectrogram 1	1	16.919698585	16.944753396	3076.4	6537.3	Chaetura_spinicaudus-ML49332.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Chaetura_spinicaudus-ML49332.wav	1	d
5	Spectrogram 1	1	16.979830130	17.009895903	2866.6	8564.9	Chaetura_spinicaudus-ML49332.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Chaetura_spinicaudus-ML49332.wav	1	e
6	Spectrogram 1	1	19.052069761	19.275057574	4474.7	9159.3	Chaetura_spinicaudus-ML49332.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Chaetura_spinicaudus-ML49332.wav	2	a
7	Spectrogram 1	1	19.359823079	19.480086169	3251.2	9508.8	Chaetura_spinicaudus-ML49332.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Chaetura_spinicaudus-ML49332.wav	2	b
8	Spectrogram 1	1	19.520173866	19.550239639	3146.3	8704.8	Chaetura_spinicaudus-ML49332.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Chaetura_spinicaudus-ML49332.wav	2	c
9	Spectrogram 1	1	19.582810892	19.610371184	2936.6	4404.8	Chaetura_spinicaudus-ML49332.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Chaetura_spinicaudus-ML49332.wav	2	f
10	Spectrogram 1	1	19.617887627	19.645447918	3251.2	6187.7	Chaetura_spinicaudus-ML49332.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Chaetura_spinicaudus-ML49332.wav	2	d
11	Spectrogram 1	1	331.449350318	331.669832649	3810.5	9963.3	Chaetura_spinicaudus-ML49332.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Chaetura_spinicaudus-ML49332.wav	3	a
12	Spectrogram 1	1	331.704909384	331.837699879	3460.9	10103.1	Chaetura_spinicaudus-ML49332.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Chaetura_spinicaudus-ML49332.wav	3	b
13	Spectrogram 1	1	331.855238247	331.872776614	3286.1	8320.2	Chaetura_spinicaudus-ML49332.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Chaetura_spinicaudus-ML49332.wav	3	c
14	Spectrogram 1	1	331.915369792	331.993039704	3076.4	8984.5	Chaetura_spinicaudus-ML49332.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Chaetura_spinicaudus-ML49332.wav	3	g
15	Spectrogram 1	1	331.993039704	332.020599995	3076.4	4824.3	Chaetura_spinicaudus-ML49332.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Chaetura_spinicaudus-ML49332.wav	3	h
16	Spectrogram 1	1	332.020599995	332.048160287	3111.3	4859.3	Chaetura_spinicaudus-ML49332.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Chaetura_spinicaudus-ML49332.wav	3	h
