Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	30.237003924	30.303065175	1280.2	3553.1	Chamaea_fasciata-ML111027.wav	C:\Users\pfmar\Downloads\Andean\Sylviidae\Chamaea_fasciata-ML111027.wav	1	a
2	Spectrogram 1	1	30.679614305	30.748978618	1227.9	3579.2	Chamaea_fasciata-ML111027.wav	C:\Users\pfmar\Downloads\Andean\Sylviidae\Chamaea_fasciata-ML111027.wav	1	a
3	Spectrogram 1	1	31.115618560	31.191588999	1306.3	3605.3	Chamaea_fasciata-ML111027.wav	C:\Users\pfmar\Downloads\Andean\Sylviidae\Chamaea_fasciata-ML111027.wav	1	a
4	Spectrogram 1	1	31.498773815	31.564835066	1410.8	3605.3	Chamaea_fasciata-ML111027.wav	C:\Users\pfmar\Downloads\Andean\Sylviidae\Chamaea_fasciata-ML111027.wav	1	a
5	Spectrogram 1	1	31.627593254	31.683745317	1463.0	3579.2	Chamaea_fasciata-ML111027.wav	C:\Users\pfmar\Downloads\Andean\Sylviidae\Chamaea_fasciata-ML111027.wav	1	b
6	Spectrogram 1	1	31.729988193	31.799352506	1358.5	3579.2	Chamaea_fasciata-ML111027.wav	C:\Users\pfmar\Downloads\Andean\Sylviidae\Chamaea_fasciata-ML111027.wav	1	b
7	Spectrogram 1	1	31.842292319	31.911656633	1358.5	3527.0	Chamaea_fasciata-ML111027.wav	C:\Users\pfmar\Downloads\Andean\Sylviidae\Chamaea_fasciata-ML111027.wav	1	b
8	Spectrogram 1	1	31.947990321	32.014051572	1384.7	3579.2	Chamaea_fasciata-ML111027.wav	C:\Users\pfmar\Downloads\Andean\Sylviidae\Chamaea_fasciata-ML111027.wav	1	b
9	Spectrogram 1	1	32.050385260	32.123052635	1410.8	3553.1	Chamaea_fasciata-ML111027.wav	C:\Users\pfmar\Downloads\Andean\Sylviidae\Chamaea_fasciata-ML111027.wav	1	b
10	Spectrogram 1	1	32.156083261	32.225447574	1358.5	3500.8	Chamaea_fasciata-ML111027.wav	C:\Users\pfmar\Downloads\Andean\Sylviidae\Chamaea_fasciata-ML111027.wav	1	b
11	Spectrogram 1	1	32.261781262	32.331145576	1384.7	3500.8	Chamaea_fasciata-ML111027.wav	C:\Users\pfmar\Downloads\Andean\Sylviidae\Chamaea_fasciata-ML111027.wav	1	b
12	Spectrogram 1	1	36.980619651	37.069802340	1436.9	3553.1	Chamaea_fasciata-ML111027.wav	C:\Users\pfmar\Downloads\Andean\Sylviidae\Chamaea_fasciata-ML111027.wav	2	a
13	Spectrogram 1	1	37.846022037	37.921992475	1436.9	3631.5	Chamaea_fasciata-ML111027.wav	C:\Users\pfmar\Downloads\Andean\Sylviidae\Chamaea_fasciata-ML111027.wav	2	a
14	Spectrogram 1	1	38.232480354	38.305147730	1410.8	3657.6	Chamaea_fasciata-ML111027.wav	C:\Users\pfmar\Downloads\Andean\Sylviidae\Chamaea_fasciata-ML111027.wav	2	a
15	Spectrogram 1	1	38.417451857	38.486816170	1436.9	3579.2	Chamaea_fasciata-ML111027.wav	C:\Users\pfmar\Downloads\Andean\Sylviidae\Chamaea_fasciata-ML111027.wav	2	b
16	Spectrogram 1	1	38.533059046	38.595817234	1463.0	3605.3	Chamaea_fasciata-ML111027.wav	C:\Users\pfmar\Downloads\Andean\Sylviidae\Chamaea_fasciata-ML111027.wav	2	b
17	Spectrogram 1	1	38.642060110	38.711424423	1410.8	3553.1	Chamaea_fasciata-ML111027.wav	C:\Users\pfmar\Downloads\Andean\Sylviidae\Chamaea_fasciata-ML111027.wav	2	b
18	Spectrogram 1	1	38.747758111	38.820425487	1358.5	3553.1	Chamaea_fasciata-ML111027.wav	C:\Users\pfmar\Downloads\Andean\Sylviidae\Chamaea_fasciata-ML111027.wav	2	b
19	Spectrogram 1	1	38.863365300	38.926123488	1410.8	3500.8	Chamaea_fasciata-ML111027.wav	C:\Users\pfmar\Downloads\Andean\Sylviidae\Chamaea_fasciata-ML111027.wav	2	b
