Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	4.502824708	4.532942633	2472.0	3534.9	Charadrius_leschenaultii-ML111059111.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Charadriidae\Charadrius_leschenaultii-ML111059111.wav	1	a
2	Spectrogram 1	1	4.557745630	4.596721768	2348.4	3559.6	Charadrius_leschenaultii-ML111059111.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Charadriidae\Charadrius_leschenaultii-ML111059111.wav	1	a
3	Spectrogram 1	1	4.619753122	4.656957617	2447.3	3683.2	Charadrius_leschenaultii-ML111059111.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Charadriidae\Charadrius_leschenaultii-ML111059111.wav	1	a
4	Spectrogram 1	1	4.672902401	4.713650182	2422.5	3584.4	Charadrius_leschenaultii-ML111059111.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Charadriidae\Charadrius_leschenaultii-ML111059111.wav	1	a
5	Spectrogram 1	1	4.733138251	4.761484533	2397.8	3114.7	Charadrius_leschenaultii-ML111059111.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Charadriidae\Charadrius_leschenaultii-ML111059111.wav	1	b
6	Spectrogram 1	1	5.399275882	5.434708735	2521.4	3658.5	Charadrius_leschenaultii-ML111059111.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Charadriidae\Charadrius_leschenaultii-ML111059111.wav	2	a
7	Spectrogram 1	1	5.455968446	5.494944584	2496.7	3708.0	Charadrius_leschenaultii-ML111059111.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Charadriidae\Charadrius_leschenaultii-ML111059111.wav	2	a
8	Spectrogram 1	1	5.514432653	5.549865506	2422.5	3732.7	Charadrius_leschenaultii-ML111059111.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Charadriidae\Charadrius_leschenaultii-ML111059111.wav	2	a
9	Spectrogram 1	1	5.569353575	5.608329713	2447.3	3658.5	Charadrius_leschenaultii-ML111059111.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Charadriidae\Charadrius_leschenaultii-ML111059111.wav	2	a
10	Spectrogram 1	1	7.164236713	7.204984493	2422.5	3633.8	Charadrius_leschenaultii-ML111059111.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Charadriidae\Charadrius_leschenaultii-ML111059111.wav	3	a
11	Spectrogram 1	1	7.224472562	7.261677058	2373.1	3633.8	Charadrius_leschenaultii-ML111059111.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Charadriidae\Charadrius_leschenaultii-ML111059111.wav	3	a
12	Spectrogram 1	1	7.279393484	7.318369622	2373.1	3757.4	Charadrius_leschenaultii-ML111059111.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Charadriidae\Charadrius_leschenaultii-ML111059111.wav	3	a
13	Spectrogram 1	1	7.339629334	7.373290544	2620.3	3609.1	Charadrius_leschenaultii-ML111059111.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Charadriidae\Charadrius_leschenaultii-ML111059111.wav	3	b
