Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	1.422149730	1.484714464	6910.900	11560.500	Chlorochrysa_phoenicotis-ML31406391.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Chlorochrysa_phoenicotis-ML31406391.wav	1	a
2	Spectrogram 1	1	1.633517073	1.748500907	6561.300	10826.400	Chlorochrysa_phoenicotis-ML31406391.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Chlorochrysa_phoenicotis-ML31406391.wav	1	b
3	Spectrogram 1	1	1.995377963	2.162780899	5897.100	9887.000	Chlorochrysa_phoenicotis-ML31406391.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Chlorochrysa_phoenicotis-ML31406391.wav	1	c
4	Spectrogram 1	1	2.340329467	2.548314932	5862.100	9096.000	Chlorochrysa_phoenicotis-ML31406391.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Chlorochrysa_phoenicotis-ML31406391.wav	1	d
5	Spectrogram 1	1	9.959674302	10.018857158	7260.500	11666.900	Chlorochrysa_phoenicotis-ML31406391.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Chlorochrysa_phoenicotis-ML31406391.wav	2	a
6	Spectrogram 1	1	10.132150054	10.230224501	6841.000	10974.700	Chlorochrysa_phoenicotis-ML31406391.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Chlorochrysa_phoenicotis-ML31406391.wav	2	b
7	Spectrogram 1	1	10.360426784	10.510920332	6421.500	9837.600	Chlorochrysa_phoenicotis-ML31406391.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Chlorochrysa_phoenicotis-ML31406391.wav	2	c
8	Spectrogram 1	1	10.685087023	10.881235917	5267.800	9096.000	Chlorochrysa_phoenicotis-ML31406391.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Chlorochrysa_phoenicotis-ML31406391.wav	2	d
9	Spectrogram 1	1	16.044066694	16.111704244	5967.000	11805.200	Chlorochrysa_phoenicotis-ML31406391.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Chlorochrysa_phoenicotis-ML31406391.wav	3	a
10	Spectrogram 1	1	16.282489056	16.390709136	6526.400	10861.300	Chlorochrysa_phoenicotis-ML31406391.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Chlorochrysa_phoenicotis-ML31406391.wav	3	b
11	Spectrogram 1	1	16.534438929	16.671404967	5337.800	9882.400	Chlorochrysa_phoenicotis-ML31406391.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Chlorochrysa_phoenicotis-ML31406391.wav	3	c
12	Spectrogram 1	1	16.840498841	16.987610512	5512.600	9218.200	Chlorochrysa_phoenicotis-ML31406391.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Chlorochrysa_phoenicotis-ML31406391.wav	3	c
13	Spectrogram 1	1	17.241251323	17.447545849	5617.400	9323.100	Chlorochrysa_phoenicotis-ML31406391.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Chlorochrysa_phoenicotis-ML31406391.wav	3	d
14	Spectrogram 1	1	17.728049177	17.936096497	5734.100	9096.000	Chlorochrysa_phoenicotis-ML31406391.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Chlorochrysa_phoenicotis-ML31406391.wav	3	d
15	Spectrogram 1	1	18.297190120	18.538716319	5833.000	9442.100	Chlorochrysa_phoenicotis-ML31406391.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Chlorochrysa_phoenicotis-ML31406391.wav	3	d
