Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	25.892573067	25.976655312	838.0	3116.3	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	1	a
2	Spectrogram 1	1	26.049059468	26.123799241	759.4	3064.0	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	1	a
3	Spectrogram 1	1	26.196203397	26.282621260	759.4	3116.3	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	1	a
4	Spectrogram 1	1	26.345682944	26.429765189	680.9	3116.3	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	1	a
5	Spectrogram 1	1	26.513847434	26.595594061	811.8	3221.1	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	1	a
6	Spectrogram 1	1	26.672669453	26.747409226	733.3	3116.3	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	1	a
7	Spectrogram 1	1	26.819813382	26.899224391	707.1	3090.1	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	1	a
8	Spectrogram 1	1	26.978635400	27.051039556	759.4	3116.3	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	1	a
9	Spectrogram 1	1	27.130450565	27.209861575	680.9	3194.9	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	1	a
10	Spectrogram 1	1	27.282265730	27.361676740	680.9	3194.9	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	1	a
11	Spectrogram 1	1	27.438752131	27.515827523	680.9	3116.3	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	1	a
12	Spectrogram 1	1	27.588231678	27.660635834	733.3	3221.1	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	1	a
13	Spectrogram 1	1	27.735375607	27.814786617	680.9	3194.9	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	1	a
14	Spectrogram 1	1	77.870224691	77.926279521	995.1	2933.0	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	2	a
15	Spectrogram 1	1	78.012697384	78.094444011	838.0	3064.0	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	2	a
16	Spectrogram 1	1	78.178526256	78.267279737	838.0	3011.6	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	2	a
17	Spectrogram 1	1	78.330341421	78.426101756	864.2	3247.3	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	2	a
18	Spectrogram 1	1	78.500841530	78.584923775	838.0	3247.3	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	2	a
19	Spectrogram 1	1	78.664334784	78.748417029	733.3	3116.3	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	2	a
20	Spectrogram 1	1	78.820821185	78.904903430	707.1	3221.1	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	2	a
21	Spectrogram 1	1	78.979643204	79.059054213	759.4	3221.1	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	2	a
22	Spectrogram 1	1	79.131458368	79.213204996	680.9	3221.1	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	2	a
23	Spectrogram 1	1	79.283273533	79.362684543	759.4	3221.1	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	2	a
24	Spectrogram 1	1	79.430417462	79.519170943	811.8	3325.8	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	2	a
25	Spectrogram 1	1	79.593910717	79.670986108	811.8	3247.3	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	2	a
26	Spectrogram 1	1	79.743390264	79.822801273	733.3	3325.8	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	2	a
27	Spectrogram 1	1	79.895205429	79.972280820	628.5	3273.5	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	2	a
28	Spectrogram 1	1	80.056363065	80.126431603	680.9	3221.1	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	2	a
29	Spectrogram 1	1	80.194164523	80.273575532	680.9	3325.8	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	2	a
30	Spectrogram 1	1	80.350650924	80.430061933	759.4	3221.1	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	2	a
31	Spectrogram 1	1	91.727006330	91.806417340	942.8	3037.8	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	3	a
32	Spectrogram 1	1	91.892835203	91.965239358	942.8	3090.1	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	3	a
33	Spectrogram 1	1	92.037643514	92.124061377	785.6	3037.8	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	3	a
34	Spectrogram 1	1	92.201136768	92.278212160	759.4	3142.5	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	3	a
35	Spectrogram 1	1	92.350616315	92.444041032	864.2	3142.5	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	3	a
36	Spectrogram 1	1	92.528123277	92.600527433	838.0	3116.3	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	3	a
37	Spectrogram 1	1	92.682274060	92.761685070	733.3	3168.7	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	3	a
38	Spectrogram 1	1	92.829417989	92.911164617	864.2	3142.5	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	3	a
39	Spectrogram 1	1	92.995246862	93.067651017	759.4	3116.3	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	3	a
40	Spectrogram 1	1	93.147062027	93.219466182	864.2	3142.5	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	3	a
41	Spectrogram 1	1	93.298877192	93.378288201	942.8	3194.9	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	3	a
42	Spectrogram 1	1	93.462370446	93.530103366	864.2	2645.0	Chloropicus_namaquus-ML51594.wav	D:\Andean\Picidae\Chloropicus_namaquus-ML51594.wav	3	a
