Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	3.466299797	3.599430019	3822.7	5651.0	Cinnyris_afer-ML1572.wav	E:\Andean\Nectariniidae\Cinnyris_afer-ML1572.wav	1	a
2	Spectrogram 1	1	3.868026080	3.949772707	1662.1	5097.0	Cinnyris_afer-ML1572.wav	E:\Andean\Nectariniidae\Cinnyris_afer-ML1572.wav	1	b
3	Spectrogram 1	1	4.059546749	4.129615287	3656.5	5180.1	Cinnyris_afer-ML1572.wav	E:\Andean\Nectariniidae\Cinnyris_afer-ML1572.wav	1	c
4	Spectrogram 1	1	4.183334499	4.260409891	5290.9	7507.0	Cinnyris_afer-ML1572.wav	E:\Andean\Nectariniidae\Cinnyris_afer-ML1572.wav	1	d
5	Spectrogram 1	1	4.295444159	4.360841461	3656.5	4487.6	Cinnyris_afer-ML1572.wav	E:\Andean\Nectariniidae\Cinnyris_afer-ML1572.wav	1	e
6	Spectrogram 1	1	4.388868876	4.447259324	3711.9	5401.7	Cinnyris_afer-ML1572.wav	E:\Andean\Nectariniidae\Cinnyris_afer-ML1572.wav	1	c
7	Spectrogram 1	1	4.479957975	4.521999098	5567.9	7756.3	Cinnyris_afer-ML1572.wav	E:\Andean\Nectariniidae\Cinnyris_afer-ML1572.wav	1	f
8	Spectrogram 1	1	4.543019659	4.582725164	5429.4	6371.2	Cinnyris_afer-ML1572.wav	E:\Andean\Nectariniidae\Cinnyris_afer-ML1572.wav	1	g
9	Spectrogram 1	1	4.603745725	4.662136173	3656.5	4459.9	Cinnyris_afer-ML1572.wav	E:\Andean\Nectariniidae\Cinnyris_afer-ML1572.wav	1	e
10	Spectrogram 1	1	4.690163588	4.750889654	3822.7	5346.3	Cinnyris_afer-ML1572.wav	E:\Andean\Nectariniidae\Cinnyris_afer-ML1572.wav	1	c
11	Spectrogram 1	1	4.792930777	4.832636281	5595.6	7784.0	Cinnyris_afer-ML1572.wav	E:\Andean\Nectariniidae\Cinnyris_afer-ML1572.wav	1	f
12	Spectrogram 1	1	4.839643135	4.877013022	5346.3	5983.4	Cinnyris_afer-ML1572.wav	E:\Andean\Nectariniidae\Cinnyris_afer-ML1572.wav	1	g
13	Spectrogram 1	1	4.912047291	4.977444593	3518.0	4459.9	Cinnyris_afer-ML1572.wav	E:\Andean\Nectariniidae\Cinnyris_afer-ML1572.wav	1	e
14	Spectrogram 1	1	5.000800772	5.059191220	3822.7	5429.4	Cinnyris_afer-ML1572.wav	E:\Andean\Nectariniidae\Cinnyris_afer-ML1572.wav	1	c
15	Spectrogram 1	1	5.087218635	5.129259758	5900.3	7700.9	Cinnyris_afer-ML1572.wav	E:\Andean\Nectariniidae\Cinnyris_afer-ML1572.wav	1	f
16	Spectrogram 1	1	5.154951555	5.189985823	5595.6	6232.7	Cinnyris_afer-ML1572.wav	E:\Andean\Nectariniidae\Cinnyris_afer-ML1572.wav	1	g
17	Spectrogram 1	1	5.220348856	5.274068069	3545.7	4487.6	Cinnyris_afer-ML1572.wav	E:\Andean\Nectariniidae\Cinnyris_afer-ML1572.wav	1	e
18	Spectrogram 1	1	5.306766720	5.360485932	3711.9	5207.8	Cinnyris_afer-ML1572.wav	E:\Andean\Nectariniidae\Cinnyris_afer-ML1572.wav	1	c
19	Spectrogram 1	1	5.386177729	5.437561323	5678.7	7562.4	Cinnyris_afer-ML1572.wav	E:\Andean\Nectariniidae\Cinnyris_afer-ML1572.wav	1	f
