Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	2.711306101	2.812289732	887.6	7007.4	Cisticola_dambo-ML279788.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_dambo-ML279788.wav	1	a
2	Spectrogram 1	1	2.934533074	3.083351055	1074.5	3784.0	Cisticola_dambo-ML279788.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_dambo-ML279788.wav	1	b
3	Spectrogram 1	1	3.288861601	3.590040849	1167.9	3573.8	Cisticola_dambo-ML279788.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_dambo-ML279788.wav	1	c
4	Spectrogram 1	1	3.673308053	3.753031971	654.0	6703.8	Cisticola_dambo-ML279788.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_dambo-ML279788.wav	1	a
5	Spectrogram 1	1	3.873503671	4.027636580	1167.9	3527.1	Cisticola_dambo-ML279788.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_dambo-ML279788.wav	1	b
6	Spectrogram 1	1	4.181769489	4.353618825	1167.9	3503.7	Cisticola_dambo-ML279788.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_dambo-ML279788.wav	1	b
7	Spectrogram 1	1	4.573292239	4.732740076	981.0	3270.1	Cisticola_dambo-ML279788.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_dambo-ML279788.wav	1	b
8	Spectrogram 1	1	22.696225624	22.845043605	1097.8	3760.6	Cisticola_dambo-ML279788.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_dambo-ML279788.wav	2	b
9	Spectrogram 1	1	23.009806371	23.163939280	1121.2	3433.6	Cisticola_dambo-ML279788.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_dambo-ML279788.wav	2	b
10	Spectrogram 1	1	23.479811788	23.756188039	1167.9	3246.8	Cisticola_dambo-ML279788.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_dambo-ML279788.wav	1	c
11	Spectrogram 1	1	24.034335933	24.177838987	1144.5	3597.1	Cisticola_dambo-ML279788.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_dambo-ML279788.wav	2	b
12	Spectrogram 1	1	24.330200253	24.475474949	1074.5	3410.3	Cisticola_dambo-ML279788.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_dambo-ML279788.wav	2	b
