Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	0.356100170	0.423422590	5372.4	6914.0	Cisticola_rufus-ML282249061.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_rufus-ML282249061.wav	1	a
2	Spectrogram 1	1	0.623618208	0.712200340	4484.7	5022.0	Cisticola_rufus-ML282249061.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_rufus-ML282249061.wav	1	b
3	Spectrogram 1	1	0.928340741	1.002749732	2429.2	3036.5	Cisticola_rufus-ML282249061.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_rufus-ML282249061.wav	1	c
4	Spectrogram 1	1	2.752723972	2.827132962	5349.0	6680.4	Cisticola_rufus-ML282249061.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_rufus-ML282249061.wav	2	a
5	Spectrogram 1	1	3.016698724	3.115910712	4508.1	4975.3	Cisticola_rufus-ML282249061.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_rufus-ML282249061.wav	2	b
6	Spectrogram 1	1	3.297513484	3.389638901	2476.0	3083.3	Cisticola_rufus-ML282249061.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_rufus-ML282249061.wav	2	c
7	Spectrogram 1	1	3.572118093	3.632353942	2359.2	2849.7	Cisticola_rufus-ML282249061.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_rufus-ML282249061.wav	2	d
8	Spectrogram 1	1	3.696133077	3.814833134	1565.0	2919.8	Cisticola_rufus-ML282249061.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_rufus-ML282249061.wav	2	e
9	Spectrogram 1	1	3.864439128	3.922903335	1378.1	2756.2	Cisticola_rufus-ML282249061.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_rufus-ML282249061.wav	2	f
10	Spectrogram 1	1	3.935304833	4.025658608	1588.3	3059.9	Cisticola_rufus-ML282249061.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_rufus-ML282249061.wav	2	g
11	Spectrogram 1	1	4.059319818	4.153216877	1635.1	3410.3	Cisticola_rufus-ML282249061.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_rufus-ML282249061.wav	2	h
12	Spectrogram 1	1	4.206366156	4.344554282	1635.1	4227.8	Cisticola_rufus-ML282249061.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_rufus-ML282249061.wav	2	i
13	Spectrogram 1	1	5.224726408	5.295592113	5185.5	7007.4	Cisticola_rufus-ML282249061.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_rufus-ML282249061.wav	3	a
14	Spectrogram 1	1	5.495787731	5.589684791	4531.5	5115.4	Cisticola_rufus-ML282249061.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_rufus-ML282249061.wav	3	b
15	Spectrogram 1	1	5.786337123	5.876690898	2429.2	3036.5	Cisticola_rufus-ML282249061.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_rufus-ML282249061.wav	3	
