Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	9.659282051	9.698258189	3457.0	4344.6	Cisticola_tinniens-ML176712801.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_tinniens-ML176712801.wav	1	a
2	Spectrogram 1	1	9.835578575	9.884298747	3854.1	5956.3	Cisticola_tinniens-ML176712801.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_tinniens-ML176712801.wav	1	b
3	Spectrogram 1	1	9.883855836	9.951621167	2359.2	4111.0	Cisticola_tinniens-ML176712801.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_tinniens-ML176712801.wav	1	c
4	Spectrogram 1	1	9.952506989	10.061463011	2312.4	4181.1	Cisticola_tinniens-ML176712801.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_tinniens-ML176712801.wav	1	d
5	Spectrogram 1	1	10.069435403	10.131442895	2335.8	4227.8	Cisticola_tinniens-ML176712801.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_tinniens-ML176712801.wav	1	e
6	Spectrogram 1	1	10.132328716	10.158017534	2242.4	4344.6	Cisticola_tinniens-ML176712801.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_tinniens-ML176712801.wav	1	f
7	Spectrogram 1	1	10.158017534	10.286461625	1588.3	3994.2	Cisticola_tinniens-ML176712801.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_tinniens-ML176712801.wav	1	g
8	Spectrogram 1	1	10.294434017	10.353784046	1261.3	3340.2	Cisticola_tinniens-ML176712801.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_tinniens-ML176712801.wav	1	h
9	Spectrogram 1	1	10.359984795	10.449452748	1167.9	4391.3	Cisticola_tinniens-ML176712801.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_tinniens-ML176712801.wav	1	i
10	Spectrogram 1	1	10.451224391	10.531834131	1214.6	2522.7	Cisticola_tinniens-ML176712801.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Cisticola_tinniens-ML176712801.wav	1	j
