Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	13.020299085	13.516912661	420.4	1074.5	Columbina_passerina-ML106225.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Columbina_passerina-ML106225.wav	1	a
2	Spectrogram 1	1	14.127919069	14.619549900	420.4	1004.4	Columbina_passerina-ML106225.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Columbina_passerina-ML106225.wav	1	a
3	Spectrogram 1	1	15.260659615	15.758934107	420.4	1027.8	Columbina_passerina-ML106225.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Columbina_passerina-ML106225.wav	1	a
4	Spectrogram 1	1	16.340665933	16.847244999	443.8	1027.8	Columbina_passerina-ML106225.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Columbina_passerina-ML106225.wav	1	a
5	Spectrogram 1	1	17.448285917	17.934934004	350.4	1051.1	Columbina_passerina-ML106225.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Columbina_passerina-ML106225.wav	1	a
6	Spectrogram 1	1	18.517081925	19.005390926	397.1	1074.5	Columbina_passerina-ML106225.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Columbina_passerina-ML106225.wav	1	a
7	Spectrogram 1	1	19.579236362	20.077510853	397.1	1051.1	Columbina_passerina-ML106225.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Columbina_passerina-ML106225.wav	1	a
8	Spectrogram 1	1	20.713635734	21.188657416	397.1	1051.1	Columbina_passerina-ML106225.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Columbina_passerina-ML106225.wav	1	a
9	Spectrogram 1	1	21.809438481	22.341399210	420.4	1004.4	Columbina_passerina-ML106225.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Columbina_passerina-ML106225.wav	1	a
10	Spectrogram 1	1	62.233695386	62.752016096	467.2	1051.1	Columbina_passerina-ML106225.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Columbina_passerina-ML106225.wav	2	a
11	Spectrogram 1	1	63.324896880	63.843217589	420.4	1004.4	Columbina_passerina-ML106225.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Columbina_passerina-ML106225.wav	2	a
12	Spectrogram 1	1	64.402458355	64.907139046	420.4	1051.1	Columbina_passerina-ML106225.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Columbina_passerina-ML106225.wav	2	a
13	Spectrogram 1	1	65.452739792	65.957420483	513.9	1051.1	Columbina_passerina-ML106225.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Columbina_passerina-ML106225.wav	2	a
14	Spectrogram 1	1	66.489381211	67.021341940	443.8	1074.5	Columbina_passerina-ML106225.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Columbina_passerina-ML106225.wav	2	a
15	Spectrogram 1	1	67.607862742	68.112543433	420.4	1027.8	Columbina_passerina-ML106225.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Columbidae\Columbidae\Columbina_passerina-ML106225.wav	2	a
