Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	5.817086171	5.949777574	2011.7	2560.3	Cyanoderma_ambiguum-ML198991.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Cyanoderma_ambiguum-ML198991.wav	1	a
2	Spectrogram 1	1	6.099695939	6.248007678	2011.7	2586.4	Cyanoderma_ambiguum-ML198991.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Cyanoderma_ambiguum-ML198991.wav	1	b
3	Spectrogram 1	1	6.329754305	6.476898234	2011.7	2586.4	Cyanoderma_ambiguum-ML198991.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Cyanoderma_ambiguum-ML198991.wav	1	a
4	Spectrogram 1	1	6.544631154	6.683600420	2011.7	2586.4	Cyanoderma_ambiguum-ML198991.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Cyanoderma_ambiguum-ML198991.wav	1	a
5	Spectrogram 1	1	17.108165247	17.240127659	2063.9	2586.4	Cyanoderma_ambiguum-ML198991.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Cyanoderma_ambiguum-ML198991.wav	2	a
6	Spectrogram 1	1	17.411795577	17.569449786	2011.7	2586.4	Cyanoderma_ambiguum-ML198991.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Cyanoderma_ambiguum-ML198991.wav	2	a
7	Spectrogram 1	1	17.650028605	17.755131411	2063.9	2403.6	Cyanoderma_ambiguum-ML198991.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Cyanoderma_ambiguum-ML198991.wav	2	c
8	Spectrogram 1	1	17.864905453	17.995700057	2037.8	2560.3	Cyanoderma_ambiguum-ML198991.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Cyanoderma_ambiguum-ML198991.wav	2	a
9	Spectrogram 1	1	18.086789156	18.203570052	2037.8	2586.4	Cyanoderma_ambiguum-ML198991.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Cyanoderma_ambiguum-ML198991.wav	2	a
10	Spectrogram 1	1	24.975917620	25.096201943	2011.7	2586.4	Cyanoderma_ambiguum-ML198991.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Cyanoderma_ambiguum-ML198991.wav	3	a
11	Spectrogram 1	1	25.253856153	25.375308285	2011.7	2560.3	Cyanoderma_ambiguum-ML198991.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Cyanoderma_ambiguum-ML198991.wav	3	a
12	Spectrogram 1	1	25.486250136	25.610037886	2063.9	2586.4	Cyanoderma_ambiguum-ML198991.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Cyanoderma_ambiguum-ML198991.wav	3	a
13	Spectrogram 1	1	25.704630412	25.840096251	2011.7	2586.4	Cyanoderma_ambiguum-ML198991.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Cyanoderma_ambiguum-ML198991.wav	3	a
14	Spectrogram 1	1	25.939360013	26.066651190	2011.7	2586.4	Cyanoderma_ambiguum-ML198991.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Cyanoderma_ambiguum-ML198991.wav	3	a
