Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	2.079082721	2.186432254	4425.7	5001.8	Cyornis_tickelliae-ML77083951.wav	E:\Andean\Muscicapidae\Cyornis_tickelliae-ML77083951.wav	1	a
2	Spectrogram 1	1	2.224417473	2.295433318	3247.3	3744.8	Cyornis_tickelliae-ML77083951.wav	E:\Andean\Muscicapidae\Cyornis_tickelliae-ML77083951.wav	1	a
3	Spectrogram 1	1	2.356539975	2.412692038	3168.7	3613.9	Cyornis_tickelliae-ML77083951.wav	E:\Andean\Muscicapidae\Cyornis_tickelliae-ML77083951.wav	1	a
4	Spectrogram 1	1	2.437465007	2.536556883	3456.8	3980.5	Cyornis_tickelliae-ML77083951.wav	E:\Andean\Muscicapidae\Cyornis_tickelliae-ML77083951.wav	1	a
5	Spectrogram 1	1	2.566284446	2.612527322	2645.0	3011.6	Cyornis_tickelliae-ML77083951.wav	E:\Andean\Muscicapidae\Cyornis_tickelliae-ML77083951.wav	1	a
6	Spectrogram 1	1	2.640603353	2.711619198	2959.2	3430.6	Cyornis_tickelliae-ML77083951.wav	E:\Andean\Muscicapidae\Cyornis_tickelliae-ML77083951.wav	1	a
7	Spectrogram 1	1	2.738043698	2.799150355	2985.4	3430.6	Cyornis_tickelliae-ML77083951.wav	E:\Andean\Muscicapidae\Cyornis_tickelliae-ML77083951.wav	1	a
8	Spectrogram 1	1	2.825574856	2.878423856	3064.0	4268.6	Cyornis_tickelliae-ML77083951.wav	E:\Andean\Muscicapidae\Cyornis_tickelliae-ML77083951.wav	1	b
9	Spectrogram 1	1	2.918060607	2.998985639	5316.1	5839.8	Cyornis_tickelliae-ML77083951.wav	E:\Andean\Muscicapidae\Cyornis_tickelliae-ML77083951.wav	1	a
10	Spectrogram 1	1	3.026235905	3.090645625	5761.3	6389.8	Cyornis_tickelliae-ML77083951.wav	E:\Andean\Muscicapidae\Cyornis_tickelliae-ML77083951.wav	1	c
11	Spectrogram 1	1	3.097251750	3.176525251	4111.5	5735.1	Cyornis_tickelliae-ML77083951.wav	E:\Andean\Muscicapidae\Cyornis_tickelliae-ML77083951.wav	1	d
12	Spectrogram 1	1	3.279745955	3.354064862	1492.7	3561.5	Cyornis_tickelliae-ML77083951.wav	E:\Andean\Muscicapidae\Cyornis_tickelliae-ML77083951.wav	1	e
13	Spectrogram 1	1	10.328042713	10.432089183	4530.5	5001.8	Cyornis_tickelliae-ML77083951.wav	E:\Andean\Muscicapidae\Cyornis_tickelliae-ML77083951.wav	2	a
14	Spectrogram 1	1	10.488241247	10.557605560	4897.1	5263.7	Cyornis_tickelliae-ML77083951.wav	E:\Andean\Muscicapidae\Cyornis_tickelliae-ML77083951.wav	2	a
15	Spectrogram 1	1	10.592287717	10.650091311	2933.0	3378.2	Cyornis_tickelliae-ML77083951.wav	E:\Andean\Muscicapidae\Cyornis_tickelliae-ML77083951.wav	2	a
16	Spectrogram 1	1	10.691379593	10.783865344	3430.6	3823.4	Cyornis_tickelliae-ML77083951.wav	E:\Andean\Muscicapidae\Cyornis_tickelliae-ML77083951.wav	2	a
17	Spectrogram 1	1	10.849926595	10.927548565	3561.5	4006.7	Cyornis_tickelliae-ML77083951.wav	E:\Andean\Muscicapidae\Cyornis_tickelliae-ML77083951.wav	2	a
18	Spectrogram 1	1	10.965533784	11.036549629	2775.9	3142.5	Cyornis_tickelliae-ML77083951.wav	E:\Andean\Muscicapidae\Cyornis_tickelliae-ML77083951.wav	2	a
19	Spectrogram 1	1	11.099307817	11.178581318	4897.1	7515.9	Cyornis_tickelliae-ML77083951.wav	E:\Andean\Muscicapidae\Cyornis_tickelliae-ML77083951.wav	2	f
20	Spectrogram 1	1	16.607812785	16.700298536	4399.5	4792.3	Cyornis_tickelliae-ML77083951.wav	E:\Andean\Muscicapidae\Cyornis_tickelliae-ML77083951.wav	3	a
21	Spectrogram 1	1	16.746541412	16.807648069	3247.3	3640.1	Cyornis_tickelliae-ML77083951.wav	E:\Andean\Muscicapidae\Cyornis_tickelliae-ML77083951.wav	3	a
22	Spectrogram 1	1	16.875360851	16.934815976	3090.1	3430.6	Cyornis_tickelliae-ML77083951.wav	E:\Andean\Muscicapidae\Cyornis_tickelliae-ML77083951.wav	3	a
