Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	181.222842263	181.242886111	4527.5	5468.9	Cypseloides_niger-ML164200.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Cypseloides_niger-ML164200.wav	1	a
2	Spectrogram 1	1	181.338094391	181.365654683	4502.7	5617.6	Cypseloides_niger-ML164200.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Cypseloides_niger-ML164200.wav	1	a
3	Spectrogram 1	1	181.578620571	181.618708268	3982.4	6261.7	Cypseloides_niger-ML164200.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Cypseloides_niger-ML164200.wav	1	b
4	Spectrogram 1	1	181.721432991	181.738971358	4279.7	6088.3	Cypseloides_niger-ML164200.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Cypseloides_niger-ML164200.wav	1	c
5	Spectrogram 1	1	181.919365993	181.946926285	3932.9	5097.3	Cypseloides_niger-ML164200.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Cypseloides_niger-ML164200.wav	1	d
6	Spectrogram 1	1	182.117298996	182.144859287	3908.1	5196.4	Cypseloides_niger-ML164200.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Cypseloides_niger-ML164200.wav	1	d
7	Spectrogram 1	1	182.372858062	182.397912872	3982.4	5047.7	Cypseloides_niger-ML164200.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Cypseloides_niger-ML164200.wav	1	d
8	Spectrogram 1	1	182.543230773	182.560769140	5122.1	6459.9	Cypseloides_niger-ML164200.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Cypseloides_niger-ML164200.wav	1	e
9	Spectrogram 1	1	182.693559636	182.713603484	3883.3	6162.6	Cypseloides_niger-ML164200.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Cypseloides_niger-ML164200.wav	1	c
10	Spectrogram 1	1	182.833866574	182.856415903	3932.9	6187.4	Cypseloides_niger-ML164200.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Apodidae\Apodidae\Cypseloides_niger-ML164200.wav	1	c
