Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	11.389343562	11.431562613	6091.6	6979.2	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	1	a
2	Spectrogram 1	1	11.594931982	11.683041305	6955.9	7656.6	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	1	b
3	Spectrogram 1	1	11.828054566	11.923506333	6909.1	7750.0	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	1	b
4	Spectrogram 1	1	11.991423936	12.024464932	4152.9	7609.9	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	1	c
5	Spectrogram 1	1	12.108903033	12.140108418	4199.6	7493.1	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	1	c
6	Spectrogram 1	1	12.242902628	12.277779235	4199.6	7469.7	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	1	c
7	Spectrogram 1	1	12.380573445	12.415450052	4199.6	7516.5	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	1	c
8	Spectrogram 1	1	12.516408651	12.549449648	4106.2	7399.7	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	1	c
9	Spectrogram 1	1	12.657750690	12.687120465	4106.2	7423.0	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	1	c
10	Spectrogram 1	1	12.791750286	12.821120060	4199.6	7446.4	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	1	c
11	Spectrogram 1	1	12.925749881	12.962462099	4316.4	7423.0	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	1	c
12	Spectrogram 1	1	13.070763142	13.100132916	4246.3	7516.5	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	1	c
13	Spectrogram 1	1	13.204762737	13.235968122	4316.4	7236.2	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	1	c
14	Spectrogram 1	1	13.346104776	13.375474550	4223.0	7516.5	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	1	c
15	Spectrogram 1	1	13.489282379	13.520487764	4223.0	7376.3	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	1	c
16	Spectrogram 1	1	13.628788807	13.663665414	4176.3	7446.4	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	1	c
17	Spectrogram 1	1	13.788486955	13.825199173	4526.6	7423.0	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	1	c
18	Spectrogram 1	1	16.445498003	16.487717053	6185.0	6909.1	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	2	a
19	Spectrogram 1	1	16.676784976	16.764894298	6769.0	7633.2	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	2	b
20	Spectrogram 1	1	16.906236337	17.003523715	7025.9	7866.8	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	2	b
21	Spectrogram 1	1	17.056756431	17.087961816	4690.1	7539.8	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	2	c
22	Spectrogram 1	1	17.177906750	17.218290189	4479.9	7469.7	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	2	c
23	Spectrogram 1	1	17.317413178	17.357796617	4386.5	7563.2	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	2	c
24	Spectrogram 1	1	17.456919606	17.489960602	4386.5	7539.8	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	2	c
25	Spectrogram 1	1	17.589083590	17.631302641	4363.1	7423.0	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	2	c
26	Spectrogram 1	1	17.732261240	17.761631014	4339.8	7539.8	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	2	c
27	Spectrogram 1	1	17.877274500	17.912151107	4293.0	7493.1	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	2	c
28	Spectrogram 1	1	18.014945318	18.051657535	4199.6	7446.4	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	2	c
29	Spectrogram 1	1	18.147109302	18.180150298	4199.6	7539.8	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	2	c
30	Spectrogram 1	1	18.286615447	18.321492054	4136.6	7467.6	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	2	c
31	Spectrogram 1	1	18.433464319	18.470176536	4371.2	7326.8	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	2	c
32	Spectrogram 1	1	18.582148801	18.615189797	4441.5	7350.3	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	2	c
33	Spectrogram 1	1	29.209597019	29.248144848	6083.6	7045.3	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	3	a
34	Spectrogram 1	1	29.434459354	29.529911120	6998.4	7772.5	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	3	b
35	Spectrogram 1	1	29.674924381	29.764869315	7092.2	7913.2	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	3	b
36	Spectrogram 1	1	29.827280085	29.858485470	4207.0	7514.5	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	3	c
37	Spectrogram 1	1	29.953937237	29.985142622	4230.4	7467.6	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	3	c
38	Spectrogram 1	1	30.087936832	30.122813439	4066.2	7467.6	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	3	c
39	Spectrogram 1	1	30.229278734	30.260484119	4160.1	7537.9	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	3	c
40	Spectrogram 1	1	30.365113940	30.399990547	4136.6	7373.7	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	3	c
41	Spectrogram 1	1	30.500949146	30.533990142	4042.8	7444.1	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	3	c
42	Spectrogram 1	1	30.640455574	30.667989737	4253.9	7397.2	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	3	c
43	Spectrogram 1	1	30.779962002	30.811167387	4160.1	7420.6	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	3	c
44	Spectrogram 1	1	30.917632819	30.952509426	4136.6	7467.6	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	3	c
45	Spectrogram 1	1	31.058974858	31.090180243	4042.8	7491.0	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	3	c
46	Spectrogram 1	1	31.205823730	31.238864726	4183.5	7420.6	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	3	c
47	Spectrogram 1	1	31.347165768	31.383877986	4089.7	7467.6	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	3	c
48	Spectrogram 1	1	31.492179029	31.528891247	4160.1	7397.2	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	3	c
49	Spectrogram 1	1	31.646370344	31.681246951	4160.1	7467.6	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	3	c
50	Spectrogram 1	1	31.802397270	31.837273877	4066.2	7514.5	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	3	c
51	Spectrogram 1	1	31.952917213	31.993300653	4207.0	7186.1	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	3	c
52	Spectrogram 1	1	32.123466488	32.160178706	5028.0	6365.1	Dicaeum_minullum-ML146083.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicaeidae\Dicaeidae\Dicaeum_minullum-ML146083.wav	3	d
