Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	2.438881182	2.486607065	2195.657	2569.386	Dicrurus_andamanensis-ML172807971.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicruridae\Dicruridae\Dicrurus_andamanensis-ML172807971.wav	1	a
2	Spectrogram 1	1	2.622980700	2.824359470	2547.600	4348.500	Dicrurus_andamanensis-ML172807971.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicruridae\Dicruridae\Dicrurus_andamanensis-ML172807971.wav	1	b
3	Spectrogram 1	1	3.086948817	3.110854806	1773.129	2229.578	Dicrurus_andamanensis-ML172807971.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicruridae\Dicruridae\Dicrurus_andamanensis-ML172807971.wav	1	c
4	Spectrogram 1	1	3.170968720	3.220851423	2262.100	2635.500	Dicrurus_andamanensis-ML172807971.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicruridae\Dicruridae\Dicrurus_andamanensis-ML172807971.wav	1	a
5	Spectrogram 1	1	3.390163928	3.615507765	2481.700	4392.400	Dicrurus_andamanensis-ML172807971.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicruridae\Dicruridae\Dicrurus_andamanensis-ML172807971.wav	1	b
6	Spectrogram 1	1	3.861784127	3.884283882	1860.908	2352.468	Dicrurus_andamanensis-ML172807971.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicruridae\Dicruridae\Dicrurus_andamanensis-ML172807971.wav	1	c
7	Spectrogram 1	1	3.941687355	3.980794333	2196.200	2547.600	Dicrurus_andamanensis-ML172807971.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicruridae\Dicruridae\Dicrurus_andamanensis-ML172807971.wav	1	a
8	Spectrogram 1	1	4.157347157	4.386464341	2333.600	4286.200	Dicrurus_andamanensis-ML172807971.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicruridae\Dicruridae\Dicrurus_andamanensis-ML172807971.wav	1	b
9	Spectrogram 1	1	4.646463320	4.667556840	1755.573	2176.911	Dicrurus_andamanensis-ML172807971.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicruridae\Dicruridae\Dicrurus_andamanensis-ML172807971.wav	1	c
10	Spectrogram 1	1	4.730083023	4.775839586	2143.100	2476.500	Dicrurus_andamanensis-ML172807971.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicruridae\Dicruridae\Dicrurus_andamanensis-ML172807971.wav	1	a
11	Spectrogram 1	1	5.008962169	5.254934029	2619.300	4357.600	Dicrurus_andamanensis-ML172807971.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicruridae\Dicruridae\Dicrurus_andamanensis-ML172807971.wav	1	b
12	Spectrogram 1	1	26.445349394	26.700468513	2595.500	4601.536	Dicrurus_andamanensis-ML172807971.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicruridae\Dicruridae\Dicrurus_andamanensis-ML172807971.wav	2	b
13	Spectrogram 1	1	26.738505760	26.777880331	1860.908	2212.022	Dicrurus_andamanensis-ML172807971.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicruridae\Dicruridae\Dicrurus_andamanensis-ML172807971.wav	2	c
