Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	8.046674791	8.076044565	1494.9	4508.1	Dicrurus_leucophaeus-ML179465.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicruridae\Dicruridae\Dicrurus_leucophaeus-ML179465.wav	1	a
2	Spectrogram 1	1	8.369742308	8.413796970	1074.5	4858.5	Dicrurus_leucophaeus-ML179465.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicruridae\Dicruridae\Dicrurus_leucophaeus-ML179465.wav	1	b
3	Spectrogram 1	1	8.512919958	8.567988285	934.3	4765.0	Dicrurus_leucophaeus-ML179465.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicruridae\Dicruridae\Dicrurus_leucophaeus-ML179465.wav	1	b
4	Spectrogram 1	1	8.634070277	8.731357655	1004.4	4624.9	Dicrurus_leucophaeus-ML179465.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicruridae\Dicruridae\Dicrurus_leucophaeus-ML179465.wav	1	c
5	Spectrogram 1	1	8.758891818	8.841494308	981.0	5092.1	Dicrurus_leucophaeus-ML179465.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicruridae\Dicruridae\Dicrurus_leucophaeus-ML179465.wav	1	d
6	Spectrogram 1	1	8.913083133	9.032397841	1121.2	5255.6	Dicrurus_leucophaeus-ML179465.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicruridae\Dicruridae\Dicrurus_leucophaeus-ML179465.wav	1	e
7	Spectrogram 1	1	9.115000332	9.188424767	1097.8	5395.7	Dicrurus_leucophaeus-ML179465.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicruridae\Dicruridae\Dicrurus_leucophaeus-ML179465.wav	1	f
8	Spectrogram 1	1	9.320588752	9.401355631	1074.5	4881.8	Dicrurus_leucophaeus-ML179465.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicruridae\Dicruridae\Dicrurus_leucophaeus-ML179465.wav	1	g
9	Spectrogram 1	1	9.491300565	9.610615273	887.6	5115.4	Dicrurus_leucophaeus-ML179465.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicruridae\Dicruridae\Dicrurus_leucophaeus-ML179465.wav	1	h
10	Spectrogram 1	1	9.713410139	9.794177019	981.0	4695.0	Dicrurus_leucophaeus-ML179465.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicruridae\Dicruridae\Dicrurus_leucophaeus-ML179465.wav	1	i
11	Spectrogram 1	1	9.957546388	10.062176209	1074.5	4508.1	Dicrurus_leucophaeus-ML179465.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicruridae\Dicruridae\Dicrurus_leucophaeus-ML179465.wav	1	j
12	Spectrogram 1	1	10.157627976	10.247572910	1214.6	3363.6	Dicrurus_leucophaeus-ML179465.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicruridae\Dicruridae\Dicrurus_leucophaeus-ML179465.wav	1	k
13	Spectrogram 1	1	10.396257644	10.451325970	1261.3	4578.2	Dicrurus_leucophaeus-ML179465.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicruridae\Dicruridae\Dicrurus_leucophaeus-ML179465.wav	1	l
14	Spectrogram 1	1	10.614695340	10.702804663	1214.6	4835.1	Dicrurus_leucophaeus-ML179465.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicruridae\Dicruridae\Dicrurus_leucophaeus-ML179465.wav	1	m
15	Spectrogram 1	1	10.827626204	10.939598468	1191.3	4975.3	Dicrurus_leucophaeus-ML179465.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicruridae\Dicruridae\Dicrurus_leucophaeus-ML179465.wav	1	n
16	Spectrogram 1	1	11.031379204	11.117652916	1191.3	5092.1	Dicrurus_leucophaeus-ML179465.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicruridae\Dicruridae\Dicrurus_leucophaeus-ML179465.wav	1	m
17	Spectrogram 1	1	11.242474457	11.343433056	1144.5	4881.8	Dicrurus_leucophaeus-ML179465.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicruridae\Dicruridae\Dicrurus_leucophaeus-ML179465.wav	1	o
18	Spectrogram 1	1	11.493953675	11.593076663	957.7	4811.8	Dicrurus_leucophaeus-ML179465.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Dicruridae\Dicruridae\Dicrurus_leucophaeus-ML179465.wav	1	p
