Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	19.834677894	19.905697321	4207.8	9180.8	Diglossa_sittoides-ML168141.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Diglossa_sittoides-ML168141.wav	1	a
2	Spectrogram 1	1	19.934443280	20.000389891	4523.5	9286.1	Diglossa_sittoides-ML168141.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Diglossa_sittoides-ML168141.wav	1	a
3	Spectrogram 1	1	20.027444911	20.093391522	3997.3	9286.1	Diglossa_sittoides-ML168141.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Diglossa_sittoides-ML168141.wav	1	a
4	Spectrogram 1	1	20.115373725	20.179629397	3918.3	9417.7	Diglossa_sittoides-ML168141.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Diglossa_sittoides-ML168141.wav	1	a
5	Spectrogram 1	1	20.203302540	20.272631028	3970.9	9444.0	Diglossa_sittoides-ML168141.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Diglossa_sittoides-ML168141.wav	1	a
6	Spectrogram 1	1	20.294613232	20.362250782	4076.2	9601.8	Diglossa_sittoides-ML168141.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Diglossa_sittoides-ML168141.wav	1	a
7	Spectrogram 1	1	20.394378618	20.456943351	3760.4	10364.9	Diglossa_sittoides-ML168141.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Diglossa_sittoides-ML168141.wav	1	b
8	Spectrogram 1	1	20.470470861	20.522889962	4602.4	8128.3	Diglossa_sittoides-ML168141.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Diglossa_sittoides-ML168141.wav	1	c
9	Spectrogram 1	1	20.546563104	20.615891593	3892.0	10549.1	Diglossa_sittoides-ML168141.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Diglossa_sittoides-ML168141.wav	1	b
10	Spectrogram 1	1	20.620964409	20.675074449	4444.6	7654.7	Diglossa_sittoides-ML168141.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Diglossa_sittoides-ML168141.wav	1	c
11	Spectrogram 1	1	20.713966040	20.786676406	3892.0	10549.1	Diglossa_sittoides-ML168141.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Diglossa_sittoides-ML168141.wav	1	b
12	Spectrogram 1	1	20.795131099	20.849241139	5681.3	7391.6	Diglossa_sittoides-ML168141.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Diglossa_sittoides-ML168141.wav	1	d
13	Spectrogram 1	1	33.431405393	33.490588249	4997.1	9180.8	Diglossa_sittoides-ML168141.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Diglossa_sittoides-ML168141.wav	2	a
14	Spectrogram 1	1	33.519334208	33.585280819	5023.4	9365.0	Diglossa_sittoides-ML168141.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Diglossa_sittoides-ML168141.wav	2	a
15	Spectrogram 1	1	33.608953961	33.681664327	4391.9	9496.6	Diglossa_sittoides-ML168141.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Diglossa_sittoides-ML168141.wav	2	a
16	Spectrogram 1	1	33.705337469	33.771284080	3865.7	9549.2	Diglossa_sittoides-ML168141.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Diglossa_sittoides-ML168141.wav	2	a
17	Spectrogram 1	1	33.798339100	33.859212895	3997.3	9365.0	Diglossa_sittoides-ML168141.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Diglossa_sittoides-ML168141.wav	2	a
18	Spectrogram 1	1	33.884576976	33.958978281	4865.6	9601.8	Diglossa_sittoides-ML168141.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Diglossa_sittoides-ML168141.wav	2	a
19	Spectrogram 1	1	33.985675888	34.056695315	3865.7	11259.5	Diglossa_sittoides-ML168141.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Diglossa_sittoides-ML168141.wav	2	b
20	Spectrogram 1	1	34.060077193	34.105732539	5444.4	7970.5	Diglossa_sittoides-ML168141.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Diglossa_sittoides-ML168141.wav	2	c
