Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	9.475838490	9.801820736	1378.1	3457.0	Drymocichla_incana-ML23449.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Drymocichla_incana-ML23449.wav	1	a
2	Spectrogram 1	1	9.957725287	10.234101539	1798.6	5278.9	Drymocichla_incana-ML23449.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Drymocichla_incana-ML23449.wav	1	b
3	Spectrogram 1	1	10.358116523	10.641579345	1635.1	4414.7	Drymocichla_incana-ML23449.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Drymocichla_incana-ML23449.wav	1	c
4	Spectrogram 1	1	10.786854041	11.089804932	1635.1	5489.1	Drymocichla_incana-ML23449.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Drymocichla_incana-ML23449.wav	1	b
5	Spectrogram 1	1	13.909734605	14.187882499	1821.9	4928.5	Drymocichla_incana-ML23449.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Drymocichla_incana-ML23449.wav	2	d
6	Spectrogram 1	1	14.372133333	14.664454368	1681.8	4391.3	Drymocichla_incana-ML23449.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Drymocichla_incana-ML23449.wav	2	c
7	Spectrogram 1	1	14.823346440	15.115667475	1782.1	5156.1	Drymocichla_incana-ML23449.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Drymocichla_incana-ML23449.wav	2	d
8	Spectrogram 1	1	15.289844219	15.599881680	1751.9	5699.4	Drymocichla_incana-ML23449.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Drymocichla_incana-ML23449.wav	2	b
9	Spectrogram 1	1	15.795051638	16.083829388	1734.5	5512.5	Drymocichla_incana-ML23449.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Drymocichla_incana-ML23449.wav	2	b
10	Spectrogram 1	1	16.253907081	16.563944542	1568.2	5655.1	Drymocichla_incana-ML23449.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Pictures\Desktop\Andean nature\Cantos\Cisticolidae\Drymocichla_incana-ML23449.wav	2	b
