Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	3.094203510	3.126408370	940.5	4389.1	Dumetia_atriceps-ML86079771.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Dumetia_atriceps-ML86079771.wav	1	a
2	Spectrogram 1	1	3.137143324	3.170999715	888.3	4389.1	Dumetia_atriceps-ML86079771.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Dumetia_atriceps-ML86079771.wav	1	a
3	Spectrogram 1	1	3.184211965	3.218068356	888.3	4389.1	Dumetia_atriceps-ML86079771.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Dumetia_atriceps-ML86079771.wav	1	a
4	Spectrogram 1	1	3.237060965	3.270091591	914.4	4389.1	Dumetia_atriceps-ML86079771.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Dumetia_atriceps-ML86079771.wav	1	a
5	Spectrogram 1	1	3.328720951	3.365880405	992.8	4389.1	Dumetia_atriceps-ML86079771.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Dumetia_atriceps-ML86079771.wav	1	a
6	Spectrogram 1	1	3.393130671	3.426987062	888.3	4363.0	Dumetia_atriceps-ML86079771.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Dumetia_atriceps-ML86079771.wav	1	a
7	Spectrogram 1	1	3.448456968	3.479836062	940.5	4389.1	Dumetia_atriceps-ML86079771.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Dumetia_atriceps-ML86079771.wav	1	a
8	Spectrogram 1	1	3.495525609	3.530207766	992.8	4389.1	Dumetia_atriceps-ML86079771.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Dumetia_atriceps-ML86079771.wav	1	a
9	Spectrogram 1	1	4.115184859	4.154821609	940.5	4389.1	Dumetia_atriceps-ML86079771.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Dumetia_atriceps-ML86079771.wav	2	a
10	Spectrogram 1	1	4.174639984	4.207670610	914.4	4415.2	Dumetia_atriceps-ML86079771.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Dumetia_atriceps-ML86079771.wav	2	a
11	Spectrogram 1	1	4.225837454	4.263822673	966.6	4363.0	Dumetia_atriceps-ML86079771.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Dumetia_atriceps-ML86079771.wav	2	a
12	Spectrogram 1	1	4.281989517	4.315020142	914.4	4389.1	Dumetia_atriceps-ML86079771.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Dumetia_atriceps-ML86079771.wav	2	a
13	Spectrogram 1	1	4.366217612	4.405854362	914.4	4389.1	Dumetia_atriceps-ML86079771.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Dumetia_atriceps-ML86079771.wav	2	a
14	Spectrogram 1	1	4.424021206	4.458703363	888.3	4389.1	Dumetia_atriceps-ML86079771.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Dumetia_atriceps-ML86079771.wav	2	a
15	Spectrogram 1	1	4.475218676	4.509900832	940.5	4415.2	Dumetia_atriceps-ML86079771.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Dumetia_atriceps-ML86079771.wav	2	a
16	Spectrogram 1	1	4.798918805	4.836904024	862.1	4363.0	Dumetia_atriceps-ML86079771.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Dumetia_atriceps-ML86079771.wav	3	a
17	Spectrogram 1	1	4.848464743	4.884798431	862.1	4389.1	Dumetia_atriceps-ML86079771.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Dumetia_atriceps-ML86079771.wav	3	a
18	Spectrogram 1	1	4.896359150	4.931041306	836.0	4336.8	Dumetia_atriceps-ML86079771.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Dumetia_atriceps-ML86079771.wav	3	a
19	Spectrogram 1	1	4.942602025	4.977284182	862.1	4389.1	Dumetia_atriceps-ML86079771.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Dumetia_atriceps-ML86079771.wav	3	a
20	Spectrogram 1	1	4.993799495	5.023527058	836.0	4415.2	Dumetia_atriceps-ML86079771.wav	C:\Users\pfmar\Downloads\Andean\Timaliidae\Dumetia_atriceps-ML86079771.wav	3	a
