Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	3.496640659	3.544366542	2732.9	6446.8	Emberiza_cirlus-ML107026071.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Emberizidae\Emberizidae\Emberiza_cirlus-ML107026071.wav	1	a
2	Spectrogram 1	1	3.553544597	3.584749982	2873.0	5302.3	Emberiza_cirlus-ML107026071.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Emberizidae\Emberizidae\Emberiza_cirlus-ML107026071.wav	1	b
3	Spectrogram 1	1	3.614119756	3.665516861	2779.6	6610.3	Emberiza_cirlus-ML107026071.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Emberizidae\Emberizidae\Emberiza_cirlus-ML107026071.wav	1	a
4	Spectrogram 1	1	3.672859305	3.707735912	3059.9	5302.3	Emberiza_cirlus-ML107026071.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Emberizidae\Emberizidae\Emberiza_cirlus-ML107026071.wav	1	b
5	Spectrogram 1	1	3.729763243	3.782995959	3036.5	6657.0	Emberiza_cirlus-ML107026071.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Emberizidae\Emberizidae\Emberiza_cirlus-ML107026071.wav	1	a
6	Spectrogram 1	1	3.788502791	3.823379398	2989.8	5349.0	Emberiza_cirlus-ML107026071.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Emberizidae\Emberizidae\Emberiza_cirlus-ML107026071.wav	1	b
7	Spectrogram 1	1	3.847242340	3.900475056	2756.2	6657.0	Emberiza_cirlus-ML107026071.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Emberizidae\Emberizidae\Emberiza_cirlus-ML107026071.wav	1	a
8	Spectrogram 1	1	3.905981889	3.942694107	2849.7	5465.8	Emberiza_cirlus-ML107026071.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Emberizidae\Emberizidae\Emberiza_cirlus-ML107026071.wav	1	b
9	Spectrogram 1	1	3.961050215	4.017954153	2896.4	6703.8	Emberiza_cirlus-ML107026071.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Emberizidae\Emberizidae\Emberiza_cirlus-ML107026071.wav	1	a
10	Spectrogram 1	1	4.021625375	4.062008815	2849.7	5559.2	Emberiza_cirlus-ML107026071.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Emberizidae\Emberizidae\Emberiza_cirlus-ML107026071.wav	1	b
11	Spectrogram 1	1	4.078529313	4.135433250	2919.8	6750.5	Emberiza_cirlus-ML107026071.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Emberizidae\Emberizidae\Emberiza_cirlus-ML107026071.wav	1	a
12	Spectrogram 1	1	4.139104472	4.179487912	2919.8	5489.1	Emberiza_cirlus-ML107026071.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Emberizidae\Emberizidae\Emberiza_cirlus-ML107026071.wav	1	b
13	Spectrogram 1	1	4.197844021	4.254747959	2919.8	6773.8	Emberiza_cirlus-ML107026071.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Emberizidae\Emberizidae\Emberiza_cirlus-ML107026071.wav	1	a
