Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	4.087995188	4.120693839	4432.2	5872.6	Enicurus_scouleri-ML203669711.wav	E:\Andean\Muscicapidae\Enicurus_scouleri-ML203669711.wav	1	a
2	Spectrogram 1	1	4.151056872	4.183755523	4543.0	5900.3	Enicurus_scouleri-ML203669711.wav	E:\Andean\Muscicapidae\Enicurus_scouleri-ML203669711.wav	1	a
3	Spectrogram 1	1	4.211782938	4.258495297	4570.7	5983.4	Enicurus_scouleri-ML203669711.wav	E:\Andean\Muscicapidae\Enicurus_scouleri-ML203669711.wav	1	a
4	Spectrogram 1	1	4.410310462	4.578474952	4515.3	6371.2	Enicurus_scouleri-ML203669711.wav	E:\Andean\Muscicapidae\Enicurus_scouleri-ML203669711.wav	1	b
5	Spectrogram 1	1	4.739632589	4.877434046	4847.7	6565.1	Enicurus_scouleri-ML203669711.wav	E:\Andean\Muscicapidae\Enicurus_scouleri-ML203669711.wav	1	b
6	Spectrogram 1	1	5.096982131	5.118002692	3878.1	4875.4	Enicurus_scouleri-ML203669711.wav	E:\Andean\Muscicapidae\Enicurus_scouleri-ML203669711.wav	1	c
7	Spectrogram 1	1	5.150701343	5.174057522	4404.5	5124.7	Enicurus_scouleri-ML203669711.wav	E:\Andean\Muscicapidae\Enicurus_scouleri-ML203669711.wav	1	c
8	Spectrogram 1	1	5.255804149	5.309523362	4349.1	6731.3	Enicurus_scouleri-ML203669711.wav	E:\Andean\Muscicapidae\Enicurus_scouleri-ML203669711.wav	1	d
9	Spectrogram 1	1	5.386598753	5.524400210	6205.0	7423.9	Enicurus_scouleri-ML203669711.wav	E:\Andean\Muscicapidae\Enicurus_scouleri-ML203669711.wav	1	e
10	Spectrogram 1	1	5.573448187	5.610818073	5983.4	6786.7	Enicurus_scouleri-ML203669711.wav	E:\Andean\Muscicapidae\Enicurus_scouleri-ML203669711.wav	1	f
11	Spectrogram 1	1	5.666872904	5.774311328	4099.7	6232.7	Enicurus_scouleri-ML203669711.wav	E:\Andean\Muscicapidae\Enicurus_scouleri-ML203669711.wav	1	g
12	Spectrogram 1	1	5.828030540	5.954153908	3961.2	5983.4	Enicurus_scouleri-ML203669711.wav	E:\Andean\Muscicapidae\Enicurus_scouleri-ML203669711.wav	1	g
13	Spectrogram 1	1	5.991523795	6.110640309	3795.0	5623.3	Enicurus_scouleri-ML203669711.wav	E:\Andean\Muscicapidae\Enicurus_scouleri-ML203669711.wav	1	g
14	Spectrogram 1	1	6.255448620	6.320845922	4930.8	7590.1	Enicurus_scouleri-ML203669711.wav	E:\Andean\Muscicapidae\Enicurus_scouleri-ML203669711.wav	1	d
15	Spectrogram 1	1	6.358215838	6.418941904	5097.0	5484.8	Enicurus_scouleri-ML203669711.wav	E:\Andean\Muscicapidae\Enicurus_scouleri-ML203669711.wav	1	h
16	Spectrogram 1	1	6.442298083	6.547400890	4404.5	7119.2	Enicurus_scouleri-ML203669711.wav	E:\Andean\Muscicapidae\Enicurus_scouleri-ML203669711.wav	1	b
17	Spectrogram 1	1	6.715332637	6.748031288	2964.0	4266.0	Enicurus_scouleri-ML203669711.wav	E:\Andean\Muscicapidae\Enicurus_scouleri-ML203669711.wav	1	i
18	Spectrogram 1	1	7.173113750	7.191798693	4875.4	5789.5	Enicurus_scouleri-ML203669711.wav	E:\Andean\Muscicapidae\Enicurus_scouleri-ML203669711.wav	1	j
19	Spectrogram 1	1	7.175449368	7.203476783	3019.4	3573.4	Enicurus_scouleri-ML203669711.wav	E:\Andean\Muscicapidae\Enicurus_scouleri-ML203669711.wav	1	k
20	Spectrogram 1	1	7.226832962	7.254860377	4099.7	5540.2	Enicurus_scouleri-ML203669711.wav	E:\Andean\Muscicapidae\Enicurus_scouleri-ML203669711.wav	1	l
21	Spectrogram 1	1	7.259531613	7.299237118	6094.2	7728.6	Enicurus_scouleri-ML203669711.wav	E:\Andean\Muscicapidae\Enicurus_scouleri-ML203669711.wav	1	m
22	Spectrogram 1	1	7.329600151	7.352956330	5207.8	5900.3	Enicurus_scouleri-ML203669711.wav	E:\Andean\Muscicapidae\Enicurus_scouleri-ML203669711.wav	1	k
23	Spectrogram 1	1	7.397333070	7.413682396	4543.0	5041.6	Enicurus_scouleri-ML203669711.wav	E:\Andean\Muscicapidae\Enicurus_scouleri-ML203669711.wav	1	k
24	Spectrogram 1	1	7.423024868	7.451052283	5346.3	6149.6	Enicurus_scouleri-ML203669711.wav	E:\Andean\Muscicapidae\Enicurus_scouleri-ML203669711.wav	1	n
25	Spectrogram 1	1	7.658922278	7.883141598	4432.2	6121.9	Enicurus_scouleri-ML203669711.wav	E:\Andean\Muscicapidae\Enicurus_scouleri-ML203669711.wav	1	o
26	Spectrogram 1	1	7.978901933	8.013936202	4598.4	5374.0	Enicurus_scouleri-ML203669711.wav	E:\Andean\Muscicapidae\Enicurus_scouleri-ML203669711.wav	1	k
