Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	57.812284753	57.849654639	858.7	3434.9	Eugralla_paradoxa-ML521452.wav	D:\Andean\Rhinocryptidae\Eugralla_paradoxa-ML521452.wav	1	a
2	Spectrogram 1	1	57.905709469	57.957093064	831.0	3490.3	Eugralla_paradoxa-ML521452.wav	D:\Andean\Rhinocryptidae\Eugralla_paradoxa-ML521452.wav	1	a
3	Spectrogram 1	1	58.027161601	58.069202724	775.6	3545.7	Eugralla_paradoxa-ML521452.wav	D:\Andean\Rhinocryptidae\Eugralla_paradoxa-ML521452.wav	1	a
4	Spectrogram 1	1	58.134600026	58.185983620	886.4	3684.2	Eugralla_paradoxa-ML521452.wav	D:\Andean\Rhinocryptidae\Eugralla_paradoxa-ML521452.wav	1	a
5	Spectrogram 1	1	58.246709686	58.307435752	775.6	3767.3	Eugralla_paradoxa-ML521452.wav	D:\Andean\Rhinocryptidae\Eugralla_paradoxa-ML521452.wav	1	a
6	Spectrogram 1	1	58.372833054	58.424216648	886.4	3656.5	Eugralla_paradoxa-ML521452.wav	D:\Andean\Rhinocryptidae\Eugralla_paradoxa-ML521452.wav	1	a
7	Spectrogram 1	1	58.494285186	58.545668780	831.0	3601.1	Eugralla_paradoxa-ML521452.wav	D:\Andean\Rhinocryptidae\Eugralla_paradoxa-ML521452.wav	1	a
8	Spectrogram 1	1	60.974711419	61.016752541	775.6	3739.6	Eugralla_paradoxa-ML521452.wav	D:\Andean\Rhinocryptidae\Eugralla_paradoxa-ML521452.wav	2	a
9	Spectrogram 1	1	61.085272659	61.121606347	775.6	3628.8	Eugralla_paradoxa-ML521452.wav	D:\Andean\Rhinocryptidae\Eugralla_paradoxa-ML521452.wav	2	a
10	Spectrogram 1	1	61.190970660	61.240516599	775.6	3711.9	Eugralla_paradoxa-ML521452.wav	D:\Andean\Rhinocryptidae\Eugralla_paradoxa-ML521452.wav	2	a
11	Spectrogram 1	1	61.306577849	61.359426850	747.9	3767.3	Eugralla_paradoxa-ML521452.wav	D:\Andean\Rhinocryptidae\Eugralla_paradoxa-ML521452.wav	2	a
12	Spectrogram 1	1	61.418881976	61.471730977	803.3	3711.9	Eugralla_paradoxa-ML521452.wav	D:\Andean\Rhinocryptidae\Eugralla_paradoxa-ML521452.wav	2	a
13	Spectrogram 1	1	61.547701415	61.590641228	831.0	3656.5	Eugralla_paradoxa-ML521452.wav	D:\Andean\Rhinocryptidae\Eugralla_paradoxa-ML521452.wav	2	a
14	Spectrogram 1	1	61.663308604	61.716157605	831.0	3739.6	Eugralla_paradoxa-ML521452.wav	D:\Andean\Rhinocryptidae\Eugralla_paradoxa-ML521452.wav	2	a
15	Spectrogram 1	1	61.802037231	61.835067856	720.2	3601.1	Eugralla_paradoxa-ML521452.wav	D:\Andean\Rhinocryptidae\Eugralla_paradoxa-ML521452.wav	2	a
16	Spectrogram 1	1	64.398244388	64.431275014	803.3	3795.0	Eugralla_paradoxa-ML521452.wav	D:\Andean\Rhinocryptidae\Eugralla_paradoxa-ML521452.wav	3	a
17	Spectrogram 1	1	64.500639327	64.543579140	886.4	3795.0	Eugralla_paradoxa-ML521452.wav	D:\Andean\Rhinocryptidae\Eugralla_paradoxa-ML521452.wav	3	a
18	Spectrogram 1	1	64.612943454	64.659186329	803.3	3767.3	Eugralla_paradoxa-ML521452.wav	D:\Andean\Rhinocryptidae\Eugralla_paradoxa-ML521452.wav	3	a
19	Spectrogram 1	1	64.718641455	64.771490456	969.5	3739.6	Eugralla_paradoxa-ML521452.wav	D:\Andean\Rhinocryptidae\Eugralla_paradoxa-ML521452.wav	3	a
20	Spectrogram 1	1	64.837551706	64.893703770	914.1	3767.3	Eugralla_paradoxa-ML521452.wav	D:\Andean\Rhinocryptidae\Eugralla_paradoxa-ML521452.wav	3	a
21	Spectrogram 1	1	64.966371146	65.019220146	886.4	3822.7	Eugralla_paradoxa-ML521452.wav	D:\Andean\Rhinocryptidae\Eugralla_paradoxa-ML521452.wav	3	a
22	Spectrogram 1	1	65.085281397	65.141433460	941.8	3711.9	Eugralla_paradoxa-ML521452.wav	D:\Andean\Rhinocryptidae\Eugralla_paradoxa-ML521452.wav	3	a
23	Spectrogram 1	1	65.217403899	65.266949837	858.7	3767.3	Eugralla_paradoxa-ML521452.wav	D:\Andean\Rhinocryptidae\Eugralla_paradoxa-ML521452.wav	3	a
