Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	70.699978020	70.762388791	981.0	5372.4	Falco_newtoni-ML95947.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Falconidae\Falconidae\Falco_newtoni-ML95947.wav	1	a
2	Spectrogram 1	1	70.797265398	70.852333725	700.7	5138.8	Falco_newtoni-ML95947.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Falconidae\Falconidae\Falco_newtoni-ML95947.wav	1	a
3	Spectrogram 1	1	70.905566441	70.962470378	747.5	5092.1	Falco_newtoni-ML95947.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Falconidae\Falconidae\Falco_newtoni-ML95947.wav	1	a
4	Spectrogram 1	1	71.001018207	71.061593367	840.9	5045.3	Falco_newtoni-ML95947.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Falconidae\Falconidae\Falco_newtoni-ML95947.wav	1	a
5	Spectrogram 1	1	71.101976806	71.157045133	654.0	4951.9	Falco_newtoni-ML95947.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Falconidae\Falconidae\Falco_newtoni-ML95947.wav	1	a
6	Spectrogram 1	1	71.204771016	71.261674954	747.5	4811.8	Falco_newtoni-ML95947.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Falconidae\Falconidae\Falco_newtoni-ML95947.wav	1	a
7	Spectrogram 1	1	71.302058394	71.362633553	840.9	4951.9	Falco_newtoni-ML95947.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Falconidae\Falconidae\Falco_newtoni-ML95947.wav	1	a
8	Spectrogram 1	1	71.406688215	71.463592153	840.9	5045.3	Falco_newtoni-ML95947.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Falconidae\Falconidae\Falco_newtoni-ML95947.wav	1	a
9	Spectrogram 1	1	71.507646814	71.571893195	840.9	4905.2	Falco_newtoni-ML95947.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Falconidae\Falconidae\Falco_newtoni-ML95947.wav	1	a
10	Spectrogram 1	1	71.615947857	71.678358627	747.5	4905.2	Falco_newtoni-ML95947.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Falconidae\Falconidae\Falco_newtoni-ML95947.wav	1	a
11	Spectrogram 1	1	71.718742067	71.777481615	840.9	4951.9	Falco_newtoni-ML95947.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Falconidae\Falconidae\Falco_newtoni-ML95947.wav	1	a
12	Spectrogram 1	1	71.828878721	71.889453880	794.2	4998.6	Falco_newtoni-ML95947.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Falconidae\Falconidae\Falco_newtoni-ML95947.wav	1	a
13	Spectrogram 1	1	71.939015374	71.999590534	654.0	4905.2	Falco_newtoni-ML95947.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Falconidae\Falconidae\Falco_newtoni-ML95947.wav	1	a
14	Spectrogram 1	1	82.821967140	82.882542300	654.0	5278.9	Falco_newtoni-ML95947.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Falconidae\Falconidae\Falco_newtoni-ML95947.wav	2	a
15	Spectrogram 1	1	82.917418907	82.977994066	747.5	5045.3	Falco_newtoni-ML95947.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Falconidae\Falconidae\Falco_newtoni-ML95947.wav	2	a
16	Spectrogram 1	1	83.018377506	83.080788276	934.3	5045.3	Falco_newtoni-ML95947.wav	G:\Unidades compartidas\Dani Cloud\Trabajo\Andean Nature\Cantos\Falconidae\Falconidae\Falco_newtoni-ML95947.wav	2	a
