Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	20.488698957	20.538194649	3557.9	5512.5	Fringilla_coelebs-ML202479.wav	E:\Escritorio\Cantos\Fringillidae\Fringilla_coelebs-ML202479.wav	1	a
2	Spectrogram 1	1	20.608902781	20.647792253	3513.9	5512.5	Fringilla_coelebs-ML202479.wav	E:\Escritorio\Cantos\Fringillidae\Fringilla_coelebs-ML202479.wav	1	a
3	Spectrogram 1	1	20.722035791	20.760925264	3503.3	5512.5	Fringilla_coelebs-ML202479.wav	E:\Escritorio\Cantos\Fringillidae\Fringilla_coelebs-ML202479.wav	1	a
4	Spectrogram 1	1	20.835168802	20.888199901	3503.3	5538.3	Fringilla_coelebs-ML202479.wav	E:\Escritorio\Cantos\Fringillidae\Fringilla_coelebs-ML202479.wav	1	a
5	Spectrogram 1	1	20.948301812	20.994262098	3503.3	5512.5	Fringilla_coelebs-ML202479.wav	E:\Escritorio\Cantos\Fringillidae\Fringilla_coelebs-ML202479.wav	1	a
6	Spectrogram 1	1	21.061434823	21.110930515	3374.5	5512.5	Fringilla_coelebs-ML202479.wav	E:\Escritorio\Cantos\Fringillidae\Fringilla_coelebs-ML202479.wav	1	a
7	Spectrogram 1	1	21.174567834	21.227598932	3348.7	5486.7	Fringilla_coelebs-ML202479.wav	E:\Escritorio\Cantos\Fringillidae\Fringilla_coelebs-ML202479.wav	1	a
8	Spectrogram 1	1	21.287700844	21.337196536	3374.5	5538.3	Fringilla_coelebs-ML202479.wav	E:\Escritorio\Cantos\Fringillidae\Fringilla_coelebs-ML202479.wav	1	a
9	Spectrogram 1	1	21.404369262	21.453864954	3374.5	5486.7	Fringilla_coelebs-ML202479.wav	E:\Escritorio\Cantos\Fringillidae\Fringilla_coelebs-ML202479.wav	1	a
10	Spectrogram 1	1	21.513966866	21.563462558	3400.2	5486.7	Fringilla_coelebs-ML202479.wav	E:\Escritorio\Cantos\Fringillidae\Fringilla_coelebs-ML202479.wav	1	a
