Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	2.787544417	2.851181736	2042.5	4172.8	Fringilla_teydea-ML77751771.wav	E:\Escritorio\Cantos\Fringillidae\Fringilla_teydea-ML77751771.wav	1	a
2	Spectrogram 1	1	3.013810438	3.077447757	1932.7	4216.7	Fringilla_teydea-ML77751771.wav	E:\Escritorio\Cantos\Fringillidae\Fringilla_teydea-ML77751771.wav	1	a
3	Spectrogram 1	1	3.204722394	3.268359712	1866.8	4216.7	Fringilla_teydea-ML77751771.wav	E:\Escritorio\Cantos\Fringillidae\Fringilla_teydea-ML77751771.wav	1	a
4	Spectrogram 1	1	3.370886503	3.430988415	1822.9	4150.8	Fringilla_teydea-ML77751771.wav	E:\Escritorio\Cantos\Fringillidae\Fringilla_teydea-ML77751771.wav	1	a
5	Spectrogram 1	1	3.522908986	3.583010898	1822.9	4085.0	Fringilla_teydea-ML77751771.wav	E:\Escritorio\Cantos\Fringillidae\Fringilla_teydea-ML77751771.wav	1	a
6	Spectrogram 1	1	3.696143909	3.756245821	1844.8	4128.9	Fringilla_teydea-ML77751771.wav	E:\Escritorio\Cantos\Fringillidae\Fringilla_teydea-ML77751771.wav	1	a
7	Spectrogram 1	1	3.858772611	3.918874523	1844.8	4106.9	Fringilla_teydea-ML77751771.wav	E:\Escritorio\Cantos\Fringillidae\Fringilla_teydea-ML77751771.wav	1	a
8	Spectrogram 1	1	4.000188875	4.067361600	1822.9	4128.9	Fringilla_teydea-ML77751771.wav	E:\Escritorio\Cantos\Fringillidae\Fringilla_teydea-ML77751771.wav	1	a
9	Spectrogram 1	1	10.548353657	10.598351856	2118.0	3974.8	Fringilla_teydea-ML77751771.wav	E:\Escritorio\Cantos\Fringillidae\Fringilla_teydea-ML77751771.wav	2	a
10	Spectrogram 1	1	10.783345194	10.833343394	2118.0	3974.8	Fringilla_teydea-ML77751771.wav	E:\Escritorio\Cantos\Fringillidae\Fringilla_teydea-ML77751771.wav	2	a
11	Spectrogram 1	1	10.958338892	11.005837181	1914.9	3945.8	Fringilla_teydea-ML77751771.wav	E:\Escritorio\Cantos\Fringillidae\Fringilla_teydea-ML77751771.wav	2	a
12	Spectrogram 1	1	11.123332950	11.178330969	1972.9	3945.8	Fringilla_teydea-ML77751771.wav	E:\Escritorio\Cantos\Fringillidae\Fringilla_teydea-ML77751771.wav	2	a
13	Spectrogram 1	1	11.293326828	11.340825117	1740.8	3916.8	Fringilla_teydea-ML77751771.wav	E:\Escritorio\Cantos\Fringillidae\Fringilla_teydea-ML77751771.wav	2	a
14	Spectrogram 1	1	11.425822056	11.480820075	1827.8	3945.8	Fringilla_teydea-ML77751771.wav	E:\Escritorio\Cantos\Fringillidae\Fringilla_teydea-ML77751771.wav	2	a
15	Spectrogram 1	1	11.563317104	11.615815214	1769.8	3945.8	Fringilla_teydea-ML77751771.wav	E:\Escritorio\Cantos\Fringillidae\Fringilla_teydea-ML77751771.wav	2	a
