Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	67.569902781	67.702025283	875.2	1123.4	Gallinago_undulata-ML102340.wav	D:\Andean\Scolopacidae\Gallinago_undulata-ML102340.wav	1	a
2	Spectrogram 1	1	67.886996785	68.091786663	914.4	1214.8	Gallinago_undulata-ML102340.wav	D:\Andean\Scolopacidae\Gallinago_undulata-ML102340.wav	1	b
3	Spectrogram 1	1	68.256939790	68.488154168	901.3	1254.0	Gallinago_undulata-ML102340.wav	D:\Andean\Scolopacidae\Gallinago_undulata-ML102340.wav	1	b
4	Spectrogram 1	1	68.593852169	68.725974671	875.2	1332.4	Gallinago_undulata-ML102340.wav	D:\Andean\Scolopacidae\Gallinago_undulata-ML102340.wav	1	c
5	Spectrogram 1	1	68.897733923	69.142160551	823.0	1436.9	Gallinago_undulata-ML102340.wav	D:\Andean\Scolopacidae\Gallinago_undulata-ML102340.wav	1	d
6	Spectrogram 1	1	69.320525928	69.584770931	770.7	1293.2	Gallinago_undulata-ML102340.wav	D:\Andean\Scolopacidae\Gallinago_undulata-ML102340.wav	1	e
7	Spectrogram 1	1	69.657438307	69.796166934	823.0	1358.5	Gallinago_undulata-ML102340.wav	D:\Andean\Scolopacidae\Gallinago_undulata-ML102340.wav	1	c
8	Spectrogram 1	1	69.941501686	70.185928314	757.6	1332.4	Gallinago_undulata-ML102340.wav	D:\Andean\Scolopacidae\Gallinago_undulata-ML102340.wav	1	d
9	Spectrogram 1	1	70.390718192	70.654963195	940.5	1254.0	Gallinago_undulata-ML102340.wav	D:\Andean\Scolopacidae\Gallinago_undulata-ML102340.wav	1	b
10	Spectrogram 1	1	70.740842821	70.872965323	744.6	1332.4	Gallinago_undulata-ML102340.wav	D:\Andean\Scolopacidae\Gallinago_undulata-ML102340.wav	1	c
11	Spectrogram 1	1	71.031512325	71.295757328	666.2	1332.4	Gallinago_undulata-ML102340.wav	D:\Andean\Scolopacidae\Gallinago_undulata-ML102340.wav	1	d
12	Spectrogram 1	1	71.467516580	71.731761583	901.3	1293.2	Gallinago_undulata-ML102340.wav	D:\Andean\Scolopacidae\Gallinago_undulata-ML102340.wav	1	b
13	Spectrogram 1	1	71.837459585	71.962975961	849.1	1319.3	Gallinago_undulata-ML102340.wav	D:\Andean\Scolopacidae\Gallinago_undulata-ML102340.wav	1	c
14	Spectrogram 1	1	72.134735214	72.372555717	744.6	1201.8	Gallinago_undulata-ML102340.wav	D:\Andean\Scolopacidae\Gallinago_undulata-ML102340.wav	1	d
15	Spectrogram 1	1	72.610376220	72.821772222	836.0	1149.5	Gallinago_undulata-ML102340.wav	D:\Andean\Scolopacidae\Gallinago_undulata-ML102340.wav	1	b
16	Spectrogram 1	1	88.623577578	88.795336830	823.0	1136.5	Gallinago_undulata-ML102340.wav	D:\Andean\Scolopacidae\Gallinago_undulata-ML102340.wav	2	a
17	Spectrogram 1	1	88.993520583	89.178492085	966.6	1254.0	Gallinago_undulata-ML102340.wav	D:\Andean\Scolopacidae\Gallinago_undulata-ML102340.wav	2	b
18	Spectrogram 1	1	89.310614587	89.436130963	809.9	1345.5	Gallinago_undulata-ML102340.wav	D:\Andean\Scolopacidae\Gallinago_undulata-ML102340.wav	2	c
19	Spectrogram 1	1	89.581465715	89.812680093	757.6	1476.1	Gallinago_undulata-ML102340.wav	D:\Andean\Scolopacidae\Gallinago_undulata-ML102340.wav	2	d
20	Spectrogram 1	1	89.991045470	90.222259848	757.6	1332.4	Gallinago_undulata-ML102340.wav	D:\Andean\Scolopacidae\Gallinago_undulata-ML102340.wav	2	e
21	Spectrogram 1	1	90.354382350	90.453474226	836.0	1371.6	Gallinago_undulata-ML102340.wav	D:\Andean\Scolopacidae\Gallinago_undulata-ML102340.wav	2	c
22	Spectrogram 1	1	90.618627353	90.849841731	770.7	1410.8	Gallinago_undulata-ML102340.wav	D:\Andean\Scolopacidae\Gallinago_undulata-ML102340.wav	2	d
23	Spectrogram 1	1	91.041419359	91.252815361	953.6	1306.3	Gallinago_undulata-ML102340.wav	D:\Andean\Scolopacidae\Gallinago_undulata-ML102340.wav	2	b
24	Spectrogram 1	1	91.378331738	91.523666490	823.0	1410.8	Gallinago_undulata-ML102340.wav	D:\Andean\Scolopacidae\Gallinago_undulata-ML102340.wav	2	c
25	Spectrogram 1	1	91.675607367	91.926640120	679.3	1436.9	Gallinago_undulata-ML102340.wav	D:\Andean\Scolopacidae\Gallinago_undulata-ML102340.wav	2	d
26	Spectrogram 1	1	92.085187122	92.303189250	914.4	1306.3	Gallinago_undulata-ML102340.wav	D:\Andean\Scolopacidae\Gallinago_undulata-ML102340.wav	2	b
