Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	2.952937912	3.111484914	941.8	1551.3	Gallus_lafayettii-ML75093271.wav	D:\Andean\Phasianidae\Gallus_lafayettii-ML75093271.wav	1	a
2	Spectrogram 1	1	3.921040397	4.110225448	886.4	1856.0	Gallus_lafayettii-ML75093271.wav	D:\Andean\Phasianidae\Gallus_lafayettii-ML75093271.wav	1	b
3	Spectrogram 1	1	4.252698142	4.299410500	1246.5	1551.3	Gallus_lafayettii-ML75093271.wav	D:\Andean\Phasianidae\Gallus_lafayettii-ML75093271.wav	1	c
4	Spectrogram 1	1	4.306417354	4.472246226	886.4	1468.2	Gallus_lafayettii-ML75093271.wav	D:\Andean\Phasianidae\Gallus_lafayettii-ML75093271.wav	1	d
6	Spectrogram 1	1	19.886879095	20.048036732	886.4	1551.3	Gallus_lafayettii-ML75093271.wav	D:\Andean\Phasianidae\Gallus_lafayettii-ML75093271.wav	2	a
7	Spectrogram 1	1	20.835139972	21.000968844	886.4	1772.9	Gallus_lafayettii-ML75093271.wav	D:\Andean\Phasianidae\Gallus_lafayettii-ML75093271.wav	2	b
8	Spectrogram 1	1	21.157455245	21.197160750	1301.9	1634.4	Gallus_lafayettii-ML75093271.wav	D:\Andean\Phasianidae\Gallus_lafayettii-ML75093271.wav	2	c
9	Spectrogram 1	1	21.204167603	21.381674565	941.8	1468.2	Gallus_lafayettii-ML75093271.wav	D:\Andean\Phasianidae\Gallus_lafayettii-ML75093271.wav	2	d
10	Spectrogram 1	1	37.500034529	37.656520930	858.7	1495.9	Gallus_lafayettii-ML75093271.wav	D:\Andean\Phasianidae\Gallus_lafayettii-ML75093271.wav	3	a
11	Spectrogram 1	1	38.434281698	38.609453042	858.7	1717.5	Gallus_lafayettii-ML75093271.wav	D:\Andean\Phasianidae\Gallus_lafayettii-ML75093271.wav	3	b
12	Spectrogram 1	1	38.765939443	38.817323037	1246.5	1662.1	Gallus_lafayettii-ML75093271.wav	D:\Andean\Phasianidae\Gallus_lafayettii-ML75093271.wav	3	c
13	Spectrogram 1	1	38.821994273	38.992494382	886.4	1495.9	Gallus_lafayettii-ML75093271.wav	D:\Andean\Phasianidae\Gallus_lafayettii-ML75093271.wav	3	d
