Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	10.244088584	10.731078941	1331.900	4291.600	Geospiza_septentrionalis-ML86756.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Geospiza_septentrionalis-ML86756.wav	1	a
2	Spectrogram 1	1	10.732769880	10.837608082	2170.500	2787.100	Geospiza_septentrionalis-ML86756.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Geospiza_septentrionalis-ML86756.wav	1	b
3	Spectrogram 1	1	11.347607083	11.873489032	1208.600	3971.000	Geospiza_septentrionalis-ML86756.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Geospiza_septentrionalis-ML86756.wav	1	a
4	Spectrogram 1	1	11.873397514	11.969781022	2269.100	2737.800	Geospiza_septentrionalis-ML86756.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Geospiza_septentrionalis-ML86756.wav	2	b
5	Spectrogram 1	1	25.390021415	25.858411447	1282.600	4168.300	Geospiza_septentrionalis-ML86756.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Geospiza_septentrionalis-ML86756.wav	2	a
6	Spectrogram 1	1	25.858411447	25.958176832	2244.500	2935.100	Geospiza_septentrionalis-ML86756.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Geospiza_septentrionalis-ML86756.wav	2	b
7	Spectrogram 1	1	26.357238375	26.825628407	1282.600	4094.300	Geospiza_septentrionalis-ML86756.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Geospiza_septentrionalis-ML86756.wav	2	a
8	Spectrogram 1	1	26.821009723	26.923702854	2071.800	3009.100	Geospiza_septentrionalis-ML86756.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Geospiza_septentrionalis-ML86756.wav	2	b
9	Spectrogram 1	1	31.873497070	32.368942121	1233.200	4316.300	Geospiza_septentrionalis-ML86756.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Geospiza_septentrionalis-ML86756.wav	3	a
10	Spectrogram 1	1	32.367462223	32.467227609	2195.100	3107.700	Geospiza_septentrionalis-ML86756.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Geospiza_septentrionalis-ML86756.wav	3	b
11	Spectrogram 1	1	32.754476154	33.227939001	1282.600	4217.600	Geospiza_septentrionalis-ML86756.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Geospiza_septentrionalis-ML86756.wav	3	a
12	Spectrogram 1	1	33.229629940	33.336159081	2145.800	3107.700	Geospiza_septentrionalis-ML86756.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Geospiza_septentrionalis-ML86756.wav	3	b
13	Spectrogram 1	1	41.421584065	41.893355974	1183.900	4119.000	Geospiza_septentrionalis-ML86756.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Geospiza_septentrionalis-ML86756.wav	4	a
14	Spectrogram 1	1	41.893355974	42.003266992	2071.800	2861.100	Geospiza_septentrionalis-ML86756.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Geospiza_septentrionalis-ML86756.wav	4	a
15	Spectrogram 1	1	42.300872211	42.754043793	1233.200	3897.000	Geospiza_septentrionalis-ML86756.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Geospiza_septentrionalis-ML86756.wav	4	a
16	Spectrogram 1	1	42.754043793	42.867336689	2121.100	3009.100	Geospiza_septentrionalis-ML86756.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Geospiza_septentrionalis-ML86756.wav	4	b
17	Spectrogram 1	1	45.096322408	45.566403378	1307.200	4291.600	Geospiza_septentrionalis-ML86756.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Geospiza_septentrionalis-ML86756.wav	5	a
18	Spectrogram 1	1	45.566403378	45.667859702	2145.800	2935.100	Geospiza_septentrionalis-ML86756.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Geospiza_septentrionalis-ML86756.wav	5	b
19	Spectrogram 1	1	46.788978746	47.279350981	1159.200	3995.600	Geospiza_septentrionalis-ML86756.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Geospiza_septentrionalis-ML86756.wav	5	a
20	Spectrogram 1	1	47.281041919	47.390952938	2195.100	2861.100	Geospiza_septentrionalis-ML86756.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Geospiza_septentrionalis-ML86756.wav	5	b
