Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	3.418091868	3.475484232	7142.5	10218.9	Geospizopsis_plebejus-ML210394.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Geospizopsis_plebejus-ML210394.wav	1	a
2	Spectrogram 1	1	3.547224687	4.178540691	5919.0	8471.0	Geospizopsis_plebejus-ML210394.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Geospizopsis_plebejus-ML210394.wav	1	b
3	Spectrogram 1	1	4.235933055	4.345935086	2458.0	6862.9	Geospizopsis_plebejus-ML210394.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Geospizopsis_plebejus-ML210394.wav	1	c
4	Spectrogram 1	1	4.386558568	4.410472053	2388.1	10009.2	Geospizopsis_plebejus-ML210394.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Geospizopsis_plebejus-ML210394.wav	1	d
5	Spectrogram 1	1	4.422428795	4.451124977	2353.2	9589.7	Geospizopsis_plebejus-ML210394.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Geospizopsis_plebejus-ML210394.wav	1	d
6	Spectrogram 1	1	4.530068921	4.649636346	2597.9	6932.8	Geospizopsis_plebejus-ML210394.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Geospizopsis_plebejus-ML210394.wav	1	c
7	Spectrogram 1	1	4.687868479	4.706999267	2283.2	9589.7	Geospizopsis_plebejus-ML210394.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Geospizopsis_plebejus-ML210394.wav	1	d
8	Spectrogram 1	1	4.721347358	4.750043540	2178.4	9379.9	Geospizopsis_plebejus-ML210394.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Geospizopsis_plebejus-ML210394.wav	1	d
9	Spectrogram 1	1	4.855292317	4.967685697	2667.8	6932.8	Geospizopsis_plebejus-ML210394.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Geospizopsis_plebejus-ML210394.wav	1	c
10	Spectrogram 1	1	5.027439966	5.051353451	2318.2	9449.8	Geospizopsis_plebejus-ML210394.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Thraupidae\Geospizopsis_plebejus-ML210394.wav	1	d
