Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	81.171200461	81.262289560	3148.0	5740.4	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	1	a
2	Spectrogram 1	1	81.266960795	81.330022479	2888.7	4592.3	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	1	a
3	Spectrogram 1	1	81.411769107	81.500522588	2888.7	6407.0	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	1	a
4	Spectrogram 1	1	81.505193823	81.570591125	2999.8	4888.6	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	1	a
5	Spectrogram 1	1	81.654673370	81.736419998	2962.8	6184.8	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	1	a
6	Spectrogram 1	1	81.743426851	81.818166625	2925.8	4740.5	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	1	a
7	Spectrogram 1	1	81.888235163	81.969981790	2888.7	6036.7	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	1	a
8	Spectrogram 1	1	81.981659879	82.042385945	2888.7	4666.4	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	1	a
9	Spectrogram 1	1	82.112454483	82.203543582	2703.5	6110.8	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	1	a
10	Spectrogram 1	1	82.208214818	82.271276502	2740.6	4518.3	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	1	a
11	Spectrogram 1	1	82.336673804	82.423091667	2740.6	5962.6	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	1	a
12	Spectrogram 1	1	82.432434138	82.500167058	2777.6	4222.0	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	1	a
14	Spectrogram 1	1	82.557134818	82.666135882	2185.1	4851.6	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	1	b
15	Spectrogram 1	1	82.717333351	82.836243603	2111.0	4851.6	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	1	b
16	Spectrogram 1	1	82.884138010	82.999745199	1999.9	4740.5	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	1	b
17	Spectrogram 1	1	83.044336543	83.161595263	2148.0	4851.6	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	1	b
18	Spectrogram 1	1	83.217747326	83.328399922	2074.0	4851.6	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	1	b
19	Spectrogram 1	1	83.396112804	83.510068462	2074.0	4851.6	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	1	b
20	Spectrogram 1	1	98.914948094	99.002479251	2962.8	5592.3	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	2	a
21	Spectrogram 1	1	99.007433845	99.061934377	2888.7	4481.2	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	2	a
22	Spectrogram 1	1	99.147814003	99.236996692	2925.8	5888.6	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	2	a
23	Spectrogram 1	1	99.241951286	99.303057943	2888.7	4518.3	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	2	a
24	Spectrogram 1	1	99.375725319	99.466559538	2851.7	6481.1	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	2	a
25	Spectrogram 1	1	99.471514132	99.535923852	2851.7	4851.6	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	2	a
26	Spectrogram 1	1	99.608591228	99.699425448	2814.7	5999.7	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	2	a
27	Spectrogram 1	1	99.702728510	99.763835167	2851.7	4555.3	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	2	a
28	Spectrogram 1	1	99.833199481	99.917427575	2851.7	6036.7	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	2	a
29	Spectrogram 1	1	99.924033700	99.990094951	2814.7	4407.2	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	2	a
30	Spectrogram 1	1	100.054504671	100.145338891	2814.7	5814.5	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	2	a
31	Spectrogram 1	1	100.146990836	100.216355150	2592.4	4481.2	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	2	a
32	Spectrogram 1	1	100.289022526	100.389765933	2259.1	4888.6	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	2	b
33	Spectrogram 1	1	100.444266925	100.553267989	2148.0	4814.5	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	2	b
34	Spectrogram 1	1	100.601162396	100.718421116	2074.0	4703.4	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	2	b
35	Spectrogram 1	1	100.769618586	100.886877306	2036.9	4888.6	Geothlypis_speciosa-ML49210581.wav	D:\Andean\Parulidae\Geothlypis_speciosa-ML49210581.wav	2	b
