Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	91.403648851	91.493224710	979.7	1267.1	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	1	a
2	Spectrogram 1	1	91.714807096	91.823241030	953.6	1306.3	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	1	a
3	Spectrogram 1	1	91.997678227	92.101397642	966.6	1332.4	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	1	a
4	Spectrogram 1	1	92.289978396	92.398412330	992.8	1358.5	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	1	a
5	Spectrogram 1	1	92.582278565	92.709570574	966.6	1332.4	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	1	a
6	Spectrogram 1	1	92.869864215	92.997156225	953.6	1358.5	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	1	a
7	Spectrogram 1	1	93.152735347	93.289456394	953.6	1371.6	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	1	a
8	Spectrogram 1	1	93.459179072	93.591185600	914.4	1384.7	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	1	a
9	Spectrogram 1	1	93.760908279	93.892914807	966.6	1384.7	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	1	a
10	Spectrogram 1	1	94.062637486	94.199358533	992.8	1332.4	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	1	a
11	Spectrogram 1	1	94.383224768	94.519945815	979.7	1371.6	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	1	a
12	Spectrogram 1	1	94.699097532	94.831104060	940.5	1358.5	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	1	a
13	Spectrogram 1	1	95.019684814	95.151691342	1005.8	1358.5	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	1	a
14	Spectrogram 1	1	95.349701134	95.462849586	966.6	1371.6	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	1	a
15	Spectrogram 1	1	95.665573897	95.792865906	992.8	1345.5	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	1	a
16	Spectrogram 1	1	108.161656244	108.241803064	927.5	1254.0	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	2	a
17	Spectrogram 1	1	108.472814488	108.576533903	940.5	1280.2	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	2	a
18	Spectrogram 1	1	108.765114657	108.873548591	966.6	1319.3	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	2	a
19	Spectrogram 1	1	109.052700307	109.165848760	966.6	1358.5	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	2	a
20	Spectrogram 1	1	109.349714995	109.491150561	966.6	1358.5	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	2	a
21	Spectrogram 1	1	109.665587759	109.797594286	1058.1	1345.5	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	2	a
22	Spectrogram 1	1	109.943744371	110.099323493	966.6	1358.5	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	2	a
23	Spectrogram 1	1	110.259617134	110.386909143	966.6	1397.7	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	2	a
24	Spectrogram 1	1	110.561346341	110.693352869	979.7	1358.5	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	2	a
25	Spectrogram 1	1	110.867790067	111.013940151	979.7	1358.5	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	2	a
26	Spectrogram 1	1	111.180447372	111.321882938	953.6	1358.5	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	2	a
27	Spectrogram 1	1	111.501034655	111.647184739	966.6	1358.5	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	2	a
28	Spectrogram 1	1	111.816907418	111.967772021	940.5	1358.5	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	2	a
29	Spectrogram 1	1	112.161067294	112.326075454	966.6	1358.5	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	2	a
30	Spectrogram 1	1	112.500512652	112.632519180	953.6	1345.5	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	2	a
31	Spectrogram 1	1	112.811670897	112.948391943	966.6	1358.5	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	2	a
32	Spectrogram 1	1	113.132258179	113.264264707	979.7	1345.5	Glaucidium_jardinii-ML59682.wav	D:\Andean\Strigidae\Glaucidium_jardinii-ML59682.wav	2	a
