Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	1.870206596	1.986881369	1038.2	1804.5	Haliaeetus_pelagicus-ML21723301.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Accipitridae\Accipitridae\Haliaeetus_pelagicus-ML21723301.wav	1	a
2	Spectrogram 1	1	2.002099818	2.100174265	1779.8	2447.3	Haliaeetus_pelagicus-ML21723301.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Accipitridae\Accipitridae\Haliaeetus_pelagicus-ML21723301.wav	1	b
3	Spectrogram 1	1	2.181339325	2.286177527	964.1	1730.4	Haliaeetus_pelagicus-ML21723301.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Accipitridae\Accipitridae\Haliaeetus_pelagicus-ML21723301.wav	1	a
4	Spectrogram 1	1	2.300841467	2.400606853	1384.3	1829.3	Haliaeetus_pelagicus-ML21723301.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Accipitridae\Accipitridae\Haliaeetus_pelagicus-ML21723301.wav	1	c
5	Spectrogram 1	1	2.595619316	2.719057845	1557.3	2397.8	Haliaeetus_pelagicus-ML21723301.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Accipitridae\Accipitridae\Haliaeetus_pelagicus-ML21723301.wav	1	b
6	Spectrogram 1	1	2.889842657	3.033572450	1186.5	2521.4	Haliaeetus_pelagicus-ML21723301.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Accipitridae\Accipitridae\Haliaeetus_pelagicus-ML21723301.wav	1	d
7	Spectrogram 1	1	3.182375060	3.322722975	420.2	2076.5	Haliaeetus_pelagicus-ML21723301.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Accipitridae\Accipitridae\Haliaeetus_pelagicus-ML21723301.wav	1	e
8	Spectrogram 1	1	3.464221445	3.599496545	494.4	2101.2	Haliaeetus_pelagicus-ML21723301.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Accipitridae\Accipitridae\Haliaeetus_pelagicus-ML21723301.wav	1	e
9	Spectrogram 1	1	3.763517603	3.890338008	519.1	2051.7	Haliaeetus_pelagicus-ML21723301.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Accipitridae\Accipitridae\Haliaeetus_pelagicus-ML21723301.wav	1	e
10	Spectrogram 1	1	4.044213434	4.181179472	395.5	2125.9	Haliaeetus_pelagicus-ML21723301.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Accipitridae\Accipitridae\Haliaeetus_pelagicus-ML21723301.wav	1	e
11	Spectrogram 1	1	4.341818652	4.465257180	519.1	2051.7	Haliaeetus_pelagicus-ML21723301.wav	C:\Users\User\OneDrive - Pontificia Universidad Javeriana\Desktop\Andean nature\Cantos\Accipitridae\Accipitridae\Haliaeetus_pelagicus-ML21723301.wav	1	e
