Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	50.936355144	50.950393159	1662.1	4432.2	Hemitriccus_cinnamomeipectus-ML74342121.wav	C:\Users\pfmar\Downloads\Andean\Tyrannidae\Hemitriccus_cinnamomeipectus-ML74342121.wav	1	a
2	Spectrogram 1	1	50.959476581	50.989204144	1052.6	4515.3	Hemitriccus_cinnamomeipectus-ML74342121.wav	C:\Users\pfmar\Downloads\Andean\Tyrannidae\Hemitriccus_cinnamomeipectus-ML74342121.wav	1	b
3	Spectrogram 1	1	51.001590629	51.032969723	1080.3	4626.1	Hemitriccus_cinnamomeipectus-ML74342121.wav	C:\Users\pfmar\Downloads\Andean\Tyrannidae\Hemitriccus_cinnamomeipectus-ML74342121.wav	1	c
4	Spectrogram 1	1	51.041227379	51.072606473	1080.3	4543.0	Hemitriccus_cinnamomeipectus-ML74342121.wav	C:\Users\pfmar\Downloads\Andean\Tyrannidae\Hemitriccus_cinnamomeipectus-ML74342121.wav	1	d
5	Spectrogram 1	1	51.082515661	51.111417458	1108.0	4210.6	Hemitriccus_cinnamomeipectus-ML74342121.wav	C:\Users\pfmar\Downloads\Andean\Tyrannidae\Hemitriccus_cinnamomeipectus-ML74342121.wav	1	e
6	Spectrogram 1	1	51.122152412	51.151054209	997.2	3324.1	Hemitriccus_cinnamomeipectus-ML74342121.wav	C:\Users\pfmar\Downloads\Andean\Tyrannidae\Hemitriccus_cinnamomeipectus-ML74342121.wav	1	f
7	Spectrogram 1	1	51.173349881	51.197297084	747.9	3047.1	Hemitriccus_cinnamomeipectus-ML74342121.wav	C:\Users\pfmar\Downloads\Andean\Tyrannidae\Hemitriccus_cinnamomeipectus-ML74342121.wav	1	g
9	Spectrogram 1	1	55.792990395	55.808679942	1772.9	4792.3	Hemitriccus_cinnamomeipectus-ML74342121.wav	C:\Users\pfmar\Downloads\Andean\Tyrannidae\Hemitriccus_cinnamomeipectus-ML74342121.wav	2	h
10	Spectrogram 1	1	55.816111832	55.847903809	1080.3	4709.2	Hemitriccus_cinnamomeipectus-ML74342121.wav	C:\Users\pfmar\Downloads\Andean\Tyrannidae\Hemitriccus_cinnamomeipectus-ML74342121.wav	2	c
11	Spectrogram 1	1	55.859051645	55.887953443	1052.6	4709.2	Hemitriccus_cinnamomeipectus-ML74342121.wav	C:\Users\pfmar\Downloads\Andean\Tyrannidae\Hemitriccus_cinnamomeipectus-ML74342121.wav	2	c
