Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	298.466036527	298.522091357	1828.8	2325.2	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	1	a
2	Spectrogram 1	1	298.657557196	298.750981913	2377.4	3161.2	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	1	b
3	Spectrogram 1	1	298.879440899	298.968194380	2429.7	3265.7	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	1	b
4	Spectrogram 1	1	299.048770543	299.083804812	1698.2	2952.2	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	1	c
5	Spectrogram 1	1	299.104825373	299.132852789	1698.2	2952.2	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	1	c
6	Spectrogram 1	1	299.155041159	299.180732956	1645.9	2926.1	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	1	c
7	Spectrogram 1	1	299.205256944	299.230948741	1698.2	2978.3	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	1	c
8	Spectrogram 1	1	299.256640538	299.283500144	1672.0	2926.1	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	1	c
9	Spectrogram 1	1	299.310359751	299.334883739	1724.3	2926.1	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	1	c
10	Spectrogram 1	1	299.357072109	299.387435142	1750.4	2926.1	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	1	c
11	Spectrogram 1	1	299.415462557	299.441154354	1698.2	2952.2	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	1	c
12	Spectrogram 1	1	299.462174916	299.494873566	1724.3	2899.9	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	1	c
13	Spectrogram 1	1	299.522900981	299.553264014	1567.5	2978.3	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	1	c
14	Spectrogram 1	1	299.576620194	299.606983227	1698.2	2821.6	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	1	c
15	Spectrogram 1	1	299.636178451	299.664205866	1698.2	2821.6	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	1	c
16	Spectrogram 1	1	299.700407944	299.731938785	1280.2	2769.3	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	1	d
17	Spectrogram 1	1	299.758798392	299.790329234	1227.9	2717.1	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	1	d
18	Spectrogram 1	1	299.821860075	299.855726535	1645.9	2638.7	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	1	c
19	Spectrogram 1	1	299.887257377	299.923459455	1175.7	2560.3	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	1	e
20	Spectrogram 1	1	299.958493724	299.998199229	1097.3	2481.9	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	1	e
21	Spectrogram 1	1	300.040240351	300.077610238	1149.5	2325.2	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	1	f
22	Spectrogram 1	1	300.131329450	300.176874000	1175.7	2246.8	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	1	f
23	Spectrogram 1	1	300.255117200	300.321682311	836.0	3840.5	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	1	g
26	Spectrogram 1	1	309.963421770	310.088377328	1593.7	2586.4	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	2	a
27	Spectrogram 1	1	310.195815753	310.326610356	2299.1	3239.6	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	2	b
28	Spectrogram 1	1	310.415363837	310.515795408	2429.7	3396.3	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	2	b
29	Spectrogram 1	1	310.550012968	310.586346656	1907.2	3030.6	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	2	c
30	Spectrogram 1	1	310.602861969	310.639195657	1933.3	3004.4	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	2	c
31	Spectrogram 1	1	310.652407907	310.682135470	1933.3	3004.4	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	2	c
32	Spectrogram 1	1	310.701953845	310.730029877	1881.0	3030.6	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	2	c
33	Spectrogram 1	1	310.754802846	310.781227346	1907.2	3030.6	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	2	c
34	Spectrogram 1	1	310.804348784	310.834076347	1959.4	2978.3	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	2	c
35	Spectrogram 1	1	310.855546253	310.885273816	1933.3	2926.1	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	2	c
36	Spectrogram 1	1	310.906743723	310.938122817	1854.9	2899.9	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	2	c
37	Spectrogram 1	1	310.959592723	310.990971817	1854.9	2821.6	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	2	c
38	Spectrogram 1	1	311.015744786	311.045472349	1802.7	2769.3	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	2	c
39	Spectrogram 1	1	311.071896850	311.101624413	1541.4	2821.6	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	2	d
40	Spectrogram 1	1	311.128048913	311.166034132	1541.4	2821.6	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	2	d
41	Spectrogram 1	1	311.189155570	311.223837727	1593.7	2821.6	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	2	d
42	Spectrogram 1	1	311.246959164	311.281641321	1567.5	2821.6	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	2	d
43	Spectrogram 1	1	311.311368884	311.344399509	1567.5	2717.1	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	2	d
44	Spectrogram 1	1	311.377430135	311.410460760	1436.9	2508.1	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	2	h
45	Spectrogram 1	1	311.441839854	311.479825074	1698.2	2508.1	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	2	c
46	Spectrogram 1	1	311.512855699	311.554143981	1358.5	2429.7	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	2	h
47	Spectrogram 1	1	311.597083794	311.640023607	1306.3	2351.3	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	2	h
48	Spectrogram 1	1	311.696175670	311.745721608	1201.8	3631.5	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	2	i
51	Spectrogram 1	1	322.125438829	322.244555343	1672.0	2429.7	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	3	a
52	Spectrogram 1	1	322.337980060	322.459432192	2325.2	3370.2	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	3	b
53	Spectrogram 1	1	322.564534998	322.655624097	2325.2	3605.3	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	3	b
54	Spectrogram 1	1	322.726664716	322.759363367	1619.8	3030.6	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	3	c
55	Spectrogram 1	1	322.780383929	322.813082580	1619.8	3030.6	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	3	c
56	Spectrogram 1	1	322.837606568	322.862130556	1619.8	3030.6	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	3	c
57	Spectrogram 1	1	322.884318926	322.907675105	1645.9	3004.4	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	3	c
58	Spectrogram 1	1	322.933366902	322.956723082	1619.8	2978.3	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	3	c
59	Spectrogram 1	1	322.984750497	323.011610103	1619.8	3004.4	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	3	c
60	Spectrogram 1	1	323.038469709	323.062993697	1619.8	3056.7	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	3	c
61	Spectrogram 1	1	323.088685494	323.117880718	1672.0	2952.2	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	3	c
62	Spectrogram 1	1	323.143572515	323.170432122	1593.7	3004.4	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	3	c
63	Spectrogram 1	1	323.197291728	323.225319143	1724.3	2795.4	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	3	d
64	Spectrogram 1	1	323.253346558	323.281373973	1593.7	2743.2	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	3	d
65	Spectrogram 1	1	323.308233579	323.340932230	1593.7	2743.2	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	3	d
66	Spectrogram 1	1	323.368959645	323.401658296	1698.2	2664.8	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	3	d
67	Spectrogram 1	1	323.430853520	323.461216553	1619.8	2612.6	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	3	d
68	Spectrogram 1	1	323.499754249	323.527781664	1672.0	2534.2	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	3	d
69	Spectrogram 1	1	323.566319359	323.596682392	1619.8	2560.3	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	3	d
70	Spectrogram 1	1	323.636387897	323.672589975	1489.2	2455.8	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	3	d
71	Spectrogram 1	1	323.713463288	323.757840029	966.6	2403.6	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	3	e
72	Spectrogram 1	1	323.812727050	323.859439408	1254.0	4023.3	Herpsilochmus_motacilloides-ML35805.wav	C:\Users\pfmar\Downloads\Andean\Thamnophilidae\Herpsilochmus_motacilloides-ML35805.wav	3	i
