Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	13.069834759	13.137567679	4936.1	7991.7	Heterocercus_linteatus-ML88855.wav	C:\Users\pfmar\Downloads\Pipridae\Heterocercus_linteatus-ML88855.wav	1	a
2	Spectrogram 1	1	13.255516384	13.290550653	4544.3	5562.9	Heterocercus_linteatus-ML88855.wav	C:\Users\pfmar\Downloads\Pipridae\Heterocercus_linteatus-ML88855.wav	1	b
3	Spectrogram 1	1	13.934011640	13.970213717	1488.7	5171.1	Heterocercus_linteatus-ML88855.wav	C:\Users\pfmar\Downloads\Pipridae\Heterocercus_linteatus-ML88855.wav	1	c
4	Spectrogram 1	1	14.070801922	15.392026939	1371.1	5053.6	Heterocercus_linteatus-ML88855.wav	C:\Users\pfmar\Downloads\Pipridae\Heterocercus_linteatus-ML88855.wav	1	d
5	Spectrogram 1	1	15.773527970	16.131910256	1997.9	3878.3	Heterocercus_linteatus-ML88855.wav	C:\Users\pfmar\Downloads\Pipridae\Heterocercus_linteatus-ML88855.wav	1	e
6	Spectrogram 1	1	96.386062934	96.427351216	4896.9	7247.4	Heterocercus_linteatus-ML88855.wav	C:\Users\pfmar\Downloads\Pipridae\Heterocercus_linteatus-ML88855.wav	2	a
7	Spectrogram 1	1	96.622700319	96.653063352	1645.4	3684.2	Heterocercus_linteatus-ML88855.wav	C:\Users\pfmar\Downloads\Pipridae\Heterocercus_linteatus-ML88855.wav	2	b
8	Spectrogram 1	1	97.026833361	97.065371056	2077.6	4764.6	Heterocercus_linteatus-ML88855.wav	C:\Users\pfmar\Downloads\Pipridae\Heterocercus_linteatus-ML88855.wav	2	c
9	Spectrogram 1	1	97.158795455	98.386162673	1579.0	4903.1	Heterocercus_linteatus-ML88855.wav	C:\Users\pfmar\Downloads\Pipridae\Heterocercus_linteatus-ML88855.wav	1	d
10	Spectrogram 1	1	98.779708600	98.822917531	1689.8	4764.6	Heterocercus_linteatus-ML88855.wav	C:\Users\pfmar\Downloads\Pipridae\Heterocercus_linteatus-ML88855.wav	2	c
11	Spectrogram 1	1	98.870797698	99.976712784	1385.1	4875.4	Heterocercus_linteatus-ML88855.wav	C:\Users\pfmar\Downloads\Pipridae\Heterocercus_linteatus-ML88855.wav	2	d
12	Spectrogram 1	1	147.670683353	147.730241610	4875.4	7119.2	Heterocercus_linteatus-ML88855.wav	C:\Users\pfmar\Downloads\Pipridae\Heterocercus_linteatus-ML88855.wav	3	a
13	Spectrogram 1	1	147.858700595	147.890231437	4598.4	5318.6	Heterocercus_linteatus-ML88855.wav	C:\Users\pfmar\Downloads\Pipridae\Heterocercus_linteatus-ML88855.wav	3	b
14	Spectrogram 1	1	148.493312933	148.533018437	1551.3	4903.1	Heterocercus_linteatus-ML88855.wav	C:\Users\pfmar\Downloads\Pipridae\Heterocercus_linteatus-ML88855.wav	3	c
15	Spectrogram 1	1	148.621771918	149.812937058	1274.2	5263.2	Heterocercus_linteatus-ML88855.wav	C:\Users\pfmar\Downloads\Pipridae\Heterocercus_linteatus-ML88855.wav	3	d
16	Spectrogram 1	1	150.193637525	150.236846456	1412.8	4764.6	Heterocercus_linteatus-ML88855.wav	C:\Users\pfmar\Downloads\Pipridae\Heterocercus_linteatus-ML88855.wav	3	c
17	Spectrogram 1	1	150.282389993	151.339257103	1606.7	5235.5	Heterocercus_linteatus-ML88855.wav	C:\Users\pfmar\Downloads\Pipridae\Heterocercus_linteatus-ML88855.wav	3	d
18	Spectrogram 1	1	249.814532032	249.862426439	5097.0	7285.4	Heterocercus_linteatus-ML88855.wav	C:\Users\pfmar\Downloads\Pipridae\Heterocercus_linteatus-ML88855.wav	4	a
19	Spectrogram 1	1	249.997852003	250.040791816	4820.0	5429.4	Heterocercus_linteatus-ML88855.wav	C:\Users\pfmar\Downloads\Pipridae\Heterocercus_linteatus-ML88855.wav	4	b
20	Spectrogram 1	1	250.580842542	250.618827761	3047.1	4847.7	Heterocercus_linteatus-ML88855.wav	C:\Users\pfmar\Downloads\Pipridae\Heterocercus_linteatus-ML88855.wav	4	c
21	Spectrogram 1	1	250.712963870	252.020976636	1329.6	5124.7	Heterocercus_linteatus-ML88855.wav	C:\Users\pfmar\Downloads\Pipridae\Heterocercus_linteatus-ML88855.wav	4	d
22	Spectrogram 1	1	252.513131414	252.567631946	1800.6	4681.5	Heterocercus_linteatus-ML88855.wav	C:\Users\pfmar\Downloads\Pipridae\Heterocercus_linteatus-ML88855.wav	4	c
23	Spectrogram 1	1	252.660117697	253.535429271	1939.1	4543.0	Heterocercus_linteatus-ML88855.wav	C:\Users\pfmar\Downloads\Pipridae\Heterocercus_linteatus-ML88855.wav	4	d
