Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	8.025544683	8.480363553	394.8	3327.2	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	a
2	Spectrogram 1	1	8.516764610	8.570365528	282.0	3665.6	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	b
3	Spectrogram 1	1	8.587594395	8.618223491	338.4	4173.1	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
4	Spectrogram 1	1	8.639280994	8.669910090	338.4	4229.5	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
5	Spectrogram 1	1	8.692881912	8.715853734	56.4	4285.9	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
6	Spectrogram 1	1	8.734996919	8.765626015	394.8	4567.9	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
7	Spectrogram 1	1	8.780940563	8.807741022	394.8	5188.2	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
8	Spectrogram 1	1	8.832627162	8.857513303	338.4	3778.4	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
9	Spectrogram 1	1	8.865170577	8.907285584	394.8	5019.1	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
10	Spectrogram 1	1	8.928343087	8.953229228	451.2	5131.8	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
11	Spectrogram 1	1	8.978115368	9.006830146	338.4	4737.1	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
12	Spectrogram 1	1	9.029801967	9.056602426	169.2	4624.3	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
13	Spectrogram 1	1	9.066174019	9.085317204	112.8	3440.0	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
14	Spectrogram 1	1	9.092974478	9.110203344	394.8	4285.9	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
15	Spectrogram 1	1	9.115946300	9.133175166	225.6	3496.4	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
16	Spectrogram 1	1	9.138918122	9.156146988	169.2	3665.6	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
17	Spectrogram 1	1	9.161889944	9.188690403	225.6	3270.8	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
18	Spectrogram 1	1	9.188690403	9.211662225	338.4	3552.8	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
19	Spectrogram 1	1	9.219319499	9.261434506	451.2	4511.5	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
20	Spectrogram 1	1	9.278663372	9.309292468	394.8	4849.9	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
21	Spectrogram 1	1	9.328435653	9.355236112	282.0	4624.3	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
22	Spectrogram 1	1	9.372464978	9.424151578	282.0	4680.7	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
23	Spectrogram 1	1	9.433723170	9.472009540	451.2	5131.8	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
24	Spectrogram 1	1	9.479666814	9.517953184	282.0	4906.3	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
25	Spectrogram 1	1	9.535182051	9.577297058	338.4	4680.7	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
26	Spectrogram 1	1	9.584954332	9.628983657	394.8	4342.3	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
27	Spectrogram 1	1	9.638555249	9.676841619	394.8	4229.5	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
28	Spectrogram 1	1	9.690241849	9.726613900	338.4	4398.7	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
29	Spectrogram 1	1	9.743842767	9.784043455	394.8	4624.3	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
30	Spectrogram 1	1	9.797443685	9.841473010	394.8	4680.7	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
31	Spectrogram 1	1	9.852958921	9.889330973	282.0	4737.1	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
32	Spectrogram 1	1	9.900816528	9.941017216	169.2	4624.3	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
33	Spectrogram 1	1	9.956331764	9.998446771	338.4	4680.7	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
34	Spectrogram 1	1	10.008018363	10.048219052	394.8	4624.3	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
35	Spectrogram 1	1	10.063533600	10.105648607	394.8	4737.1	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
36	Spectrogram 1	1	10.120963155	10.155420888	282.0	4962.7	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
37	Spectrogram 1	1	10.182221347	10.668458245	394.8	3891.2	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	d
38	Spectrogram 1	1	10.709488204	10.753517529	282.0	5075.4	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	b
39	Spectrogram 1	1	10.757346166	10.805204129	563.9	3778.4	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
40	Spectrogram 1	1	10.818604358	10.849233454	394.8	3947.6	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
41	Spectrogram 1	1	10.854976410	10.893262780	394.8	3947.6	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
42	Spectrogram 1	1	10.900920054	10.944949379	338.4	4004.0	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
43	Spectrogram 1	1	10.954520972	10.996635979	169.2	4116.8	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
44	Spectrogram 1	1	10.998550297	11.038750986	282.0	4060.4	Hydrobates_markhami-ML223861.wav	C:\Users\Carlos PC\Desktop\Marcelo\Hydrobatidae\Hydrobates_markhami-ML223861.wav	1	c
