Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	13.013993775	13.312867408	479.3	1832.8	Hylopezus_paraensis-ML127444.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Hylopezus_paraensis-ML127444.wav	1	a
2	Spectrogram 1	1	13.407248556	13.685148601	507.5	1861.0	Hylopezus_paraensis-ML127444.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Hylopezus_paraensis-ML127444.wav	1	a
3	Spectrogram 1	1	13.821476925	14.067916588	507.5	1889.2	Hylopezus_paraensis-ML127444.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Hylopezus_paraensis-ML127444.wav	1	a
4	Spectrogram 1	1	14.214731707	14.518848738	451.2	1804.6	Hylopezus_paraensis-ML127444.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Hylopezus_paraensis-ML127444.wav	1	a
5	Spectrogram 1	1	14.639446871	14.922590313	479.3	1889.2	Hylopezus_paraensis-ML127444.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Hylopezus_paraensis-ML127444.wav	1	a
6	Spectrogram 1	1	15.053675240	15.347305477	507.5	1748.2	Hylopezus_paraensis-ML127444.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Hylopezus_paraensis-ML127444.wav	1	a
7	Spectrogram 1	1	148.733666509	148.990592966	451.2	1776.4	Hylopezus_paraensis-ML127444.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Hylopezus_paraensis-ML127444.wav	2	a
8	Spectrogram 1	1	149.116434496	149.389091145	423.0	1776.4	Hylopezus_paraensis-ML127444.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Hylopezus_paraensis-ML127444.wav	2	a
9	Spectrogram 1	1	149.504445880	149.756128940	479.3	1776.4	Hylopezus_paraensis-ML127444.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Hylopezus_paraensis-ML127444.wav	2	a
10	Spectrogram 1	1	149.929161044	150.196574295	479.3	1889.2	Hylopezus_paraensis-ML127444.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Hylopezus_paraensis-ML127444.wav	2	a
11	Spectrogram 1	1	150.369606399	150.600315871	423.0	1776.4	Hylopezus_paraensis-ML127444.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Hylopezus_paraensis-ML127444.wav	2	a
12	Spectrogram 1	1	150.747130989	151.025031035	563.9	1889.2	Hylopezus_paraensis-ML127444.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Hylopezus_paraensis-ML127444.wav	2	a
13	Spectrogram 1	1	377.525805895	377.814192735	423.0	1776.4	Hylopezus_paraensis-ML127444.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Hylopezus_paraensis-ML127444.wav	3	a
14	Spectrogram 1	1	377.940034265	378.212690913	507.5	1748.2	Hylopezus_paraensis-ML127444.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Hylopezus_paraensis-ML127444.wav	3	a
15	Spectrogram 1	1	378.317558855	378.584972106	479.3	1832.8	Hylopezus_paraensis-ML127444.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Hylopezus_paraensis-ML127444.wav	3	a
16	Spectrogram 1	1	378.742274019	379.020174064	563.9	1776.4	Hylopezus_paraensis-ML127444.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Hylopezus_paraensis-ML127444.wav	3	a
17	Spectrogram 1	1	379.182719374	379.439645831	479.3	1776.4	Hylopezus_paraensis-ML127444.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Hylopezus_paraensis-ML127444.wav	3	a
18	Spectrogram 1	1	379.596947743	379.874847789	479.3	1861.0	Hylopezus_paraensis-ML127444.wav	C:\Users\Carlos PC\Desktop\Marcelo\Grallariidae\Hylopezus_paraensis-ML127444.wav	3	a
