Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	25.957579002	26.135085964	2252.6	3506.2	Hylophilus_pectoralis-ML117169.wav	C:\Users\pfmar\Downloads\Andean\Vireonidae\Hylophilus_pectoralis-ML117169.wav	1	a
2	Spectrogram 1	1	26.188805176	26.354634048	2135.0	3584.5	Hylophilus_pectoralis-ML117169.wav	C:\Users\pfmar\Downloads\Andean\Vireonidae\Hylophilus_pectoralis-ML117169.wav	1	b
3	Spectrogram 1	1	26.403682025	26.576517751	2252.6	3800.0	Hylophilus_pectoralis-ML117169.wav	C:\Users\pfmar\Downloads\Andean\Vireonidae\Hylophilus_pectoralis-ML117169.wav	1	c
4	Spectrogram 1	1	26.630236963	26.796065836	2330.9	3604.1	Hylophilus_pectoralis-ML117169.wav	C:\Users\pfmar\Downloads\Andean\Vireonidae\Hylophilus_pectoralis-ML117169.wav	1	b
5	Spectrogram 1	1	26.845113812	27.024956392	2193.8	3760.8	Hylophilus_pectoralis-ML117169.wav	C:\Users\pfmar\Downloads\Andean\Vireonidae\Hylophilus_pectoralis-ML117169.wav	1	c
6	Spectrogram 1	1	27.071668750	27.235162005	2644.3	3760.8	Hylophilus_pectoralis-ML117169.wav	C:\Users\pfmar\Downloads\Andean\Vireonidae\Hylophilus_pectoralis-ML117169.wav	1	d
7	Spectrogram 1	1	27.293552453	27.464052561	2644.3	3780.4	Hylophilus_pectoralis-ML117169.wav	C:\Users\pfmar\Downloads\Andean\Vireonidae\Hylophilus_pectoralis-ML117169.wav	1	d
8	Spectrogram 1	1	27.513100538	27.685936264	2605.1	3800.0	Hylophilus_pectoralis-ML117169.wav	C:\Users\pfmar\Downloads\Andean\Vireonidae\Hylophilus_pectoralis-ML117169.wav	1	d
9	Spectrogram 1	1	27.732648622	27.905484349	2605.1	3760.8	Hylophilus_pectoralis-ML117169.wav	C:\Users\pfmar\Downloads\Andean\Vireonidae\Hylophilus_pectoralis-ML117169.wav	1	d
10	Spectrogram 1	1	27.961539179	28.122696815	2605.1	3858.8	Hylophilus_pectoralis-ML117169.wav	C:\Users\pfmar\Downloads\Andean\Vireonidae\Hylophilus_pectoralis-ML117169.wav	1	d
11	Spectrogram 1	1	32.982819157	33.160326119	2389.7	3447.4	Hylophilus_pectoralis-ML117169.wav	C:\Users\pfmar\Downloads\Andean\Vireonidae\Hylophilus_pectoralis-ML117169.wav	2	e
12	Spectrogram 1	1	33.232730274	33.403230383	2154.6	3721.6	Hylophilus_pectoralis-ML117169.wav	C:\Users\pfmar\Downloads\Andean\Vireonidae\Hylophilus_pectoralis-ML117169.wav	2	f
13	Spectrogram 1	1	33.459285213	33.627449703	2174.2	3643.3	Hylophilus_pectoralis-ML117169.wav	C:\Users\pfmar\Downloads\Andean\Vireonidae\Hylophilus_pectoralis-ML117169.wav	2	b
14	Spectrogram 1	1	33.681168915	33.849333406	2428.9	3604.1	Hylophilus_pectoralis-ML117169.wav	C:\Users\pfmar\Downloads\Andean\Vireonidae\Hylophilus_pectoralis-ML117169.wav	2	d
15	Spectrogram 1	1	33.900717000	34.071217108	2448.4	3564.9	Hylophilus_pectoralis-ML117169.wav	C:\Users\pfmar\Downloads\Andean\Vireonidae\Hylophilus_pectoralis-ML117169.wav	2	d
16	Spectrogram 1	1	34.124936321	34.293100811	2370.1	3858.8	Hylophilus_pectoralis-ML117169.wav	C:\Users\pfmar\Downloads\Andean\Vireonidae\Hylophilus_pectoralis-ML117169.wav	2	c
17	Spectrogram 1	1	34.339813169	34.510313278	2585.6	3702.1	Hylophilus_pectoralis-ML117169.wav	C:\Users\pfmar\Downloads\Andean\Vireonidae\Hylophilus_pectoralis-ML117169.wav	2	d
18	Spectrogram 1	1	34.568703726	34.732196980	2566.0	3721.6	Hylophilus_pectoralis-ML117169.wav	C:\Users\pfmar\Downloads\Andean\Vireonidae\Hylophilus_pectoralis-ML117169.wav	2	d
19	Spectrogram 1	1	34.783580574	34.954080683	2585.6	3721.6	Hylophilus_pectoralis-ML117169.wav	C:\Users\pfmar\Downloads\Andean\Vireonidae\Hylophilus_pectoralis-ML117169.wav	2	d
20	Spectrogram 1	1	35.005464277	35.171293149	2566.0	3780.4	Hylophilus_pectoralis-ML117169.wav	C:\Users\pfmar\Downloads\Andean\Vireonidae\Hylophilus_pectoralis-ML117169.wav	2	d
21	Spectrogram 1	1	35.229683598	35.397848088	2566.0	3819.6	Hylophilus_pectoralis-ML117169.wav	C:\Users\pfmar\Downloads\Andean\Vireonidae\Hylophilus_pectoralis-ML117169.wav	2	d
22	Spectrogram 1	1	35.460909772	35.582361904	2507.2	3721.6	Hylophilus_pectoralis-ML117169.wav	C:\Users\pfmar\Downloads\Andean\Vireonidae\Hylophilus_pectoralis-ML117169.wav	2	g
23	Spectrogram 1	1	35.612724937	35.701478418	2879.4	3643.3	Hylophilus_pectoralis-ML117169.wav	C:\Users\pfmar\Downloads\Andean\Vireonidae\Hylophilus_pectoralis-ML117169.wav	2	h
24	Spectrogram 1	1	38.858828019	39.031663745	2135.0	3604.1	Hylophilus_pectoralis-ML117169.wav	C:\Users\pfmar\Downloads\Andean\Vireonidae\Hylophilus_pectoralis-ML117169.wav	3	a
25	Spectrogram 1	1	39.092389811	39.255883066	2409.3	3643.3	Hylophilus_pectoralis-ML117169.wav	C:\Users\pfmar\Downloads\Andean\Vireonidae\Hylophilus_pectoralis-ML117169.wav	3	b
26	Spectrogram 1	1	39.307266660	39.477766768	2428.9	3741.2	Hylophilus_pectoralis-ML117169.wav	C:\Users\pfmar\Downloads\Andean\Vireonidae\Hylophilus_pectoralis-ML117169.wav	3	b
27	Spectrogram 1	1	39.536157216	39.701986089	2487.6	3819.6	Hylophilus_pectoralis-ML117169.wav	C:\Users\pfmar\Downloads\Andean\Vireonidae\Hylophilus_pectoralis-ML117169.wav	3	b
28	Spectrogram 1	1	39.755705301	39.921534173	2566.0	3741.2	Hylophilus_pectoralis-ML117169.wav	C:\Users\pfmar\Downloads\Andean\Vireonidae\Hylophilus_pectoralis-ML117169.wav	3	d
