Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	4.117236443	4.372823062	845.9	4737.1	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	a
2	Spectrogram 1	1	4.777778485	4.963659663	958.7	3383.6	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	b
3	Spectrogram 1	1	5.000172037	5.056600251	1409.8	4906.3	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	c
4	Spectrogram 1	1	5.103070546	5.391850233	789.5	3722.0	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	a
5	Spectrogram 1	1	5.584370024	5.647436852	1353.5	5131.8	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	c
6	Spectrogram 1	1	5.766931895	5.849914564	1353.5	3834.8	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	b
7	Spectrogram 1	1	5.883107631	5.989325447	1748.2	5131.8	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	c
8	Spectrogram 1	1	6.059030889	6.341171962	563.9	4906.3	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	a
10	Spectrogram 1	1	6.427473937	6.510456606	1015.1	4793.5	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	c
11	Spectrogram 1	1	6.596758581	6.669783330	1240.7	4737.1	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	c
12	Spectrogram 1	1	6.686379864	6.825790747	1071.5	4849.9	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	b
13	Spectrogram 1	1	6.839067974	6.895496188	1127.9	4849.9	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	c
14	Spectrogram 1	1	6.965201630	7.267258544	902.3	4962.7	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	a
15	Spectrogram 1	1	7.278988315	7.338735836	1015.1	4737.1	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	c
16	Spectrogram 1	1	7.501381867	7.567768002	1127.9	4793.5	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	c
17	Spectrogram 1	1	7.587683842	7.703859578	958.7	5470.2	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	b
18	Spectrogram 1	1	7.733733339	7.800119474	789.5	4962.7	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	c
19	Spectrogram 1	1	7.886421449	8.195116976	845.9	3891.2	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	a
20	Spectrogram 1	1	8.497173890	8.606711013	1240.7	3609.2	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	b
21	Spectrogram 1	1	8.775995657	9.058136730	845.9	4906.3	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	a
22	Spectrogram 1	1	9.257295135	9.333639190	1127.9	5075.4	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	c
23	Spectrogram 1	1	9.393386712	9.509562448	1127.9	3778.4	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	b
24	Spectrogram 1	1	9.556032742	9.622418877	958.7	4906.3	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	c
25	Spectrogram 1	1	9.692124319	9.974265392	733.1	4849.9	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	a
26	Spectrogram 1	1	10.126953560	10.196659001	1015.1	5075.4	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	c
27	Spectrogram 1	1	10.259725830	10.359305032	1071.5	3834.8	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	b
28	Spectrogram 1	1	10.502035222	10.558463437	1015.1	4793.5	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	c
29	Spectrogram 1	1	10.588337197	10.877116884	789.5	5131.8	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	a
30	Spectrogram 1	1	11.129384197	11.262156467	1071.5	4737.1	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	b
31	Spectrogram 1	1	11.378332203	11.454676258	1297.1	4962.7	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	c
32	Spectrogram 1	1	11.474592099	11.872908908	1015.1	5470.2	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	a
33	Spectrogram 1	1	11.886186135	11.952572270	845.9	4229.5	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	c
34	Spectrogram 1	1	12.035554938	12.131814834	1071.5	3158.1	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	c
35	Spectrogram 1	1	12.423913828	12.752525196	958.7	4398.7	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	a
36	Spectrogram 1	1	12.935087501	13.021389476	1015.1	3552.8	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	b
37	Spectrogram 1	1	13.403109752	13.605587464	958.7	3383.6	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	a
38	Spectrogram 1	1	13.811384482	13.904325071	1015.1	3496.4	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	1	b
39	Spectrogram 1	1	66.218162323	66.323782017	1579.0	3778.4	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	2	b
40	Spectrogram 1	1	66.642988203	66.896475468	1015.1	5808.6	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	2	a
41	Spectrogram 1	1	67.330689765	67.441003668	958.7	6710.9	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	2	b
42	Spectrogram 1	1	67.694490933	67.962060824	845.9	6485.3	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	2	a
43	Spectrogram 1	1	68.354027930	68.450259207	845.9	7105.6	Indicator_indicator-ML58597.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_indicator-ML58597.wav	2	b
