Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	song	element
1	Spectrogram 1	1	16.253581510	16.673673813	1240.7	4511.5	Indicator_meliphilus-ML43552.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_meliphilus-ML43552.wav	1	a
2	Spectrogram 1	1	16.971557446	17.437478000	1184.3	3722.0	Indicator_meliphilus-ML43552.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_meliphilus-ML43552.wav	1	a
3	Spectrogram 1	1	17.750637716	18.178368061	1297.1	4060.4	Indicator_meliphilus-ML43552.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_meliphilus-ML43552.wav	1	a
4	Spectrogram 1	1	18.522079945	18.957448331	1015.1	3778.4	Indicator_meliphilus-ML43552.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_meliphilus-ML43552.wav	1	a
5	Spectrogram 1	1	19.293522173	19.736528601	1184.3	4906.3	Indicator_meliphilus-ML43552.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_meliphilus-ML43552.wav	1	a
6	Spectrogram 1	1	20.057326360	20.477418662	1297.1	4849.9	Indicator_meliphilus-ML43552.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_meliphilus-ML43552.wav	1	a
7	Spectrogram 1	1	20.798216421	21.279413058	1071.5	4962.7	Indicator_meliphilus-ML43552.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_meliphilus-ML43552.wav	1	a
8	Spectrogram 1	1	21.554382565	22.027941161	1240.7	4793.5	Indicator_meliphilus-ML43552.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_meliphilus-ML43552.wav	1	a
9	Spectrogram 1	1	22.386929436	22.807021739	1240.7	4624.3	Indicator_meliphilus-ML43552.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_meliphilus-ML43552.wav	1	a
10	Spectrogram 1	1	23.196561874	23.647206344	1409.8	4680.7	Indicator_meliphilus-ML43552.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_meliphilus-ML43552.wav	1	a
11	Spectrogram 1	1	24.021470395	24.456838782	1409.8	4906.3	Indicator_meliphilus-ML43552.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_meliphilus-ML43552.wav	1	a
12	Spectrogram 1	1	24.892207168	25.312299471	1240.7	4624.3	Indicator_meliphilus-ML43552.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_meliphilus-ML43552.wav	1	a
13	Spectrogram 1	1	25.801134150	26.213588411	1466.2	4342.3	Indicator_meliphilus-ML43552.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_meliphilus-ML43552.wav	1	a
14	Spectrogram 1	1	26.687147007	27.153067560	1297.1	4285.9	Indicator_meliphilus-ML43552.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_meliphilus-ML43552.wav	1	a
15	Spectrogram 1	1	27.580797905	28.092546710	1184.3	4455.1	Indicator_meliphilus-ML43552.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_meliphilus-ML43552.wav	1	a
16	Spectrogram 1	1	30.933176286	31.246336003	1522.6	3327.2	Indicator_meliphilus-ML43552.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_meliphilus-ML43552.wav	2	a
17	Spectrogram 1	1	31.643514180	32.025416273	1240.7	3440.0	Indicator_meliphilus-ML43552.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_meliphilus-ML43552.wav	2	a
18	Spectrogram 1	1	32.552441162	32.865600878	1409.8	3496.4	Indicator_meliphilus-ML43552.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_meliphilus-ML43552.wav	2	a
19	Spectrogram 1	1	33.323883390	33.637043107	1353.5	3609.2	Indicator_meliphilus-ML43552.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_meliphilus-ML43552.wav	2	a
20	Spectrogram 1	1	33.988393033	34.423761419	1409.8	4285.9	Indicator_meliphilus-ML43552.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_meliphilus-ML43552.wav	2	a
21	Spectrogram 1	1	34.790387429	35.271584066	1184.3	4060.4	Indicator_meliphilus-ML43552.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_meliphilus-ML43552.wav	2	a
22	Spectrogram 1	1	35.607657908	36.050664337	1184.3	4173.1	Indicator_meliphilus-ML43552.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_meliphilus-ML43552.wav	2	a
23	Spectrogram 1	1	36.417290346	36.822106565	1240.7	4116.8	Indicator_meliphilus-ML43552.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_meliphilus-ML43552.wav	2	a
24	Spectrogram 1	1	37.204008658	37.677567254	1409.8	4398.7	Indicator_meliphilus-ML43552.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_meliphilus-ML43552.wav	2	a
25	Spectrogram 1	1	38.067107754	38.510114182	1071.5	4567.9	Indicator_meliphilus-ML43552.wav	C:\Users\Carlos PC\Desktop\Marcelo\Indicatoridae\Indicator_meliphilus-ML43552.wav	2	a
